t1	0	1
t10	0	0
t100	1	1
t101	1	1
t102	1	1
t103	0	0
t104	0	1
t105	0	1
t106	0	1
t107	0	0
t108	0	0
t109	0	1
t11	0	1
t110	0	1
t111	1	1
t112	0	0
t113	1	1
t114	0	0
t115	0	1
t116	0	0
t117	0	0
t118	0	0
t119	0	0
t12	0	0
t120	0	0
t121	1	1
t122	1	1
t123	0	1
t124	1	1
t125	1	1
t126	0	1
t127	1	1
t128	1	1
t129	0	1
t13	0	0
t130	1	1
t131	0	1
t132	1	1
t133	1	1
t134	1	1
t135	1	1
t136	0	1
t137	0	0
t138	0	1
t139	1	1
t14	1	1
t140	0	1
t141	0	0
t142	1	1
t143	0	1
t144	1	1
t145	0	0
t146	1	1
t147	0	0
t148	1	1
t149	1	1
t15	0	1
t150	1	1
t151	0	1
t152	0	1
t153	0	0
t154	0	1
t155	1	1
t156	0	0
t157	0	1
t158	0	1
t159	1	1
t16	1	1
t160	1	1
t161	0	1
t162	1	1
t163	1	1
t164	1	1
t165	0	1
t166	1	1
t167	0	1
t168	1	1
t169	1	1
t17	0	1
t170	1	1
t171	0	0
t172	0	1
t173	1	1
t174	0	1
t175	0	0
t176	0	0
t177	1	1
t178	0	0
t179	0	0
t18	1	1
t180	0	0
t181	1	1
t182	0	1
t183	0	0
t184	1	1
t185	0	0
t186	0	0
t187	1	0
t188	0	0
t189	1	1
t19	0	0
t190	0	1
t191	0	1
t192	0	0
t193	0	0
t194	1	1
t195	0	0
t196	0	1
t197	1	1
t198	1	1
t199	1	1
t2	1	1
t20	1	1
t200	0	0
t201	0	0
t202	0	1
t203	0	0
t204	0	1
t205	0	1
t206	0	0
t207	0	0
t208	1	1
t209	1	1
t21	0	1
t210	1	1
t211	0	0
t212	0	0
t213	0	1
t214	0	1
t215	1	1
t216	0	0
t217	0	0
t218	0	1
t219	0	1
t22	1	1
t220	0	1
t221	1	1
t222	1	1
t223	1	1
t224	0	1
t225	1	1
t226	0	0
t227	0	1
t228	0	0
t229	1	1
t23	0	0
t230	1	1
t231	1	1
t232	1	1
t233	0	0
t234	0	1
t235	0	1
t236	0	1
t237	0	0
t238	0	0
t239	0	1
t24	1	1
t240	1	1
t241	1	1
t242	1	1
t243	1	1
t244	0	0
t245	0	1
t246	1	1
t247	0	0
t248	1	1
t249	1	1
t25	1	1
t250	0	0
t251	1	1
t252	1	1
t253	0	0
t254	0	0
t255	1	1
t256	0	0
t257	0	0
t258	0	0
t259	1	1
t26	0	0
t260	1	1
t261	0	0
t262	1	1
t263	1	1
t264	0	1
t265	1	1
t266	0	1
t267	0	0
t268	1	1
t269	1	1
t27	0	1
t270	1	1
t271	0	0
t272	0	1
