Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1362306850
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_KNOWN2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Estimating values for taxa and Sites
	Buteo_rufinus       
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Buteo_rufinus - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-305.450387	1	2158	0.612293	0.612293	0.612293	0.612293	2.050056	2.050056	0.000000	0.612293	1	0.437903	0.526113	0.035768	0.000216	
502000	-305.454428	1	1359	0.628837	0.628837	0.628837	0.628837	2.137666	2.137666	0.000000	0.628837	1	0.434192	0.528857	0.036716	0.000236	
503000	-305.659173	1	1264	0.583891	0.583891	0.583891	0.583891	1.914278	1.914278	0.000000	0.583891	1	0.444427	0.521029	0.034356	0.000188	
504000	-305.771808	1	1483	0.525293	0.525293	0.525293	0.525293	2.326626	2.326626	0.000000	0.525293	1	0.454913	0.495833	0.049004	0.000251	
505000	-306.219310	1	2102	0.491689	0.491689	0.491689	0.491689	1.897624	1.897624	0.000000	0.491689	1	0.465438	0.491230	0.043149	0.000183	
506000	-306.181024	1	1350	0.427731	0.427731	0.427731	0.427731	2.100111	2.100111	0.427731	0.427731	1	0.238325	0.187203	0.478845	0.095627	
507000	-305.358793	1	827	0.599280	0.599280	0.599280	0.599280	2.168527	2.168527	0.000000	0.599280	1	0.440015	0.520682	0.039067	0.000235	
508000	-305.423140	1	2357	0.561596	0.561596	0.561596	0.561596	2.054736	2.054736	0.000000	0.561596	1	0.448586	0.511800	0.039404	0.000211	
509000	-305.362856	1	977	0.572083	0.572083	0.572083	0.572083	2.176011	2.176011	0.000000	0.572083	1	0.445674	0.512883	0.041210	0.000232	
510000	-306.026687	1	892	0.530503	0.530503	0.530503	0.530503	1.843668	1.843668	0.000000	0.530503	1	0.456657	0.506352	0.036819	0.000172	
511000	-306.344318	1	854	0.411435	0.411435	0.411435	0.411435	1.957036	1.957036	0.411435	0.411435	1	0.243258	0.187463	0.476339	0.092940	
512000	-301.166606	1	1850	0.395188	0.395188	0.395188	0.395188	1.266692	2.624060	0.395188	1.266692	1	0.277279	0.220228	0.345739	0.156754	
513000	-301.235193	1	1830	0.429827	0.429827	0.429827	0.429827	1.308978	2.741882	0.429827	1.308978	1	0.282534	0.234718	0.328880	0.153868	
514000	-305.647126	1	523	0.550830	0.550830	0.550830	0.550830	1.938611	1.938611	0.000000	0.550830	1	0.451562	0.510756	0.037493	0.000190	
515000	-304.828239	1	429	0.303890	0.303890	0.303890	0.303890	1.746652	1.746652	0.303890	1.746652	1	0.161610	0.138897	0.351231	0.348262	
516000	-301.041336	1	1170	0.415154	0.415154	0.415154	0.415154	1.338547	3.062416	0.415154	1.338547	1	0.279734	0.219164	0.349625	0.151477	
517000	-306.548920	1	689	0.461344	0.461344	0.461344	0.461344	2.377460	2.377460	0.461344	0.461344	1	0.230947	0.189148	0.478559	0.101346	
518000	-302.039047	1	954	0.464484	0.464484	0.464484	0.464484	1.256501	2.429299	0.464484	1.256501	1	0.293189	0.263852	0.293757	0.149202	
519000	-301.235193	1	1830	0.429827	0.429827	0.429827	0.429827	1.308978	2.741882	0.429827	1.308978	1	0.282534	0.234718	0.328880	0.153868	
520000	-302.816780	1	2531	0.676638	0.334925	0.676638	0.334925	2.243501	2.243501	0.334925	0.676638	1	0.199697	0.238259	0.409732	0.152312	
521000	-305.736856	1	864	0.670359	0.670359	0.670359	0.670359	2.220282	2.220282	0.000000	0.670359	1	0.425884	0.537407	0.036448	0.000262	
522000	-305.696323	1	2866	0.556201	0.556201	0.556201	0.556201	1.912079	1.912079	0.000000	0.556201	1	0.450493	0.512974	0.036348	0.000185	
523000	-303.008353	1	2475	0.431085	0.431085	0.431085	0.431085	1.683310	3.192151	0.000000	1.683310	1	0.466935	0.508256	0.023568	0.001242	
524000	-307.497764	1	896	0.508247	0.508247	0.508247	0.508247	2.621297	2.621297	0.508247	0.508247	1	0.227783	0.198516	0.463935	0.109766	
525000	-306.294657	1	2123	0.568109	0.568109	0.568109	0.568109	2.153572	2.153572	0.568109	0.568109	1	0.249134	0.245075	0.384226	0.121565	
526000	-303.812006	1	2479	1.399741	0.444102	0.444102	0.444102	1.399741	2.782958	0.000000	1.399741	1	0.647495	0.314920	0.035963	0.001622	
527000	-306.092069	1	254	0.603548	0.603548	0.603548	0.603548	1.803084	1.803084	0.000000	0.603548	1	0.440648	0.528759	0.030423	0.000169	
528000	-305.992064	1	405	0.499386	0.499386	0.499386	0.499386	1.842506	1.842506	0.499386	0.499386	1	0.261946	0.241460	0.387410	0.109183	
529000	-306.064708	1	474	0.281497	0.281497	0.281497	0.281497	2.080014	2.080014	0.281497	2.080014	1	0.125357	0.105205	0.369135	0.400303	
530000	-301.166606	1	1850	0.395188	0.395188	0.395188	0.395188	1.266692	2.624060	0.395188	1.266692	1	0.277279	0.220228	0.345739	0.156754	
531000	-305.650421	1	2411	0.532866	0.532866	0.532866	0.532866	1.981021	1.981021	0.000000	0.532866	1	0.455379	0.504104	0.040321	0.000196	
532000	-305.504297	1	2905	0.349399	0.349399	0.349399	0.349399	2.119525	2.119525	0.349399	2.119525	1	0.153646	0.146133	0.334717	0.365504	
