Default schedule
Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
695	0.326619	141	0.035461	164	0.701220	0.815220	695	0.326619	0.347000	0.310757	
740	0.312162	124	0.016129	136	0.757353	0.815220	740	0.312162	0.336000	0.310802	
726	0.352617	126	0.000000	148	0.716216	0.815220	726	0.352617	0.362000	0.310891	
719	0.321280	131	0.000000	150	0.726667	0.815220	719	0.321280	0.340000	0.310942	
757	0.352708	120	0.008333	123	0.723577	0.815220	757	0.352708	0.357000	0.311022	
730	0.378082	119	0.008403	151	0.781457	0.815220	730	0.378082	0.395000	0.311168	
742	0.354447	130	0.007692	128	0.757812	0.815220	742	0.354447	0.361000	0.311255	
718	0.388579	123	0.016260	159	0.723270	0.815220	718	0.388579	0.396000	0.311402	
707	0.352192	154	0.000000	139	0.791367	0.815220	707	0.352192	0.359000	0.311484	
718	0.367688	135	0.007407	147	0.741497	0.815220	718	0.367688	0.374000	0.311592	
735	0.351020	126	0.023810	139	0.820144	0.815220	735	0.351020	0.375000	0.311701	
721	0.298197	125	0.008000	154	0.707792	0.815220	721	0.298197	0.325000	0.311724	
741	0.330634	115	0.008696	144	0.729167	0.815220	741	0.330634	0.351000	0.311792	
701	0.360913	162	0.000000	137	0.737226	0.815220	701	0.360913	0.354000	0.311864	
688	0.345930	161	0.012422	151	0.761589	0.815220	688	0.345930	0.355000	0.311938	
738	0.364499	138	0.028986	124	0.766129	0.815220	738	0.364499	0.368000	0.312034	
728	0.331044	127	0.039370	145	0.717241	0.815220	728	0.331044	0.350000	0.312098	
746	0.388740	122	0.040984	132	0.856061	0.815220	746	0.388740	0.408000	0.312262	
726	0.402204	124	0.032258	150	0.686667	0.815220	726	0.402204	0.399000	0.312409	
730	0.189041	125	0.000000	145	0.668966	1.287446	730	0.189041	0.235000	0.312278	
691	0.395080	151	0.039735	158	0.670886	0.746016	691	0.395080	0.385000	0.312401	
710	0.385915	137	0.036496	153	0.692810	0.746016	710	0.385915	0.385000	0.312524	
722	0.358726	126	0.047619	152	0.598684	0.746016	722	0.358726	0.356000	0.312597	
693	0.357864	149	0.033557	158	0.702532	0.746016	693	0.357864	0.364000	0.312684	
716	0.395251	135	0.014815	149	0.697987	0.746016	716	0.395251	0.389000	0.312813	
723	0.401107	135	0.029630	142	0.654930	0.746016	723	0.401107	0.387000	0.312937	
742	0.168464	120	0.033333	138	0.673913	1.407785	742	0.168464	0.222000	0.312785	
701	0.329529	138	0.028986	161	0.695652	0.900342	701	0.329529	0.347000	0.312842	
744	0.306452	117	0.051282	139	0.625899	0.900342	744	0.306452	0.321000	0.312856	
742	0.292453	121	0.057851	137	0.744526	0.900342	742	0.292453	0.326000	0.312878	
746	0.284182	117	0.034188	137	0.700730	0.900342	746	0.284182	0.312000	0.312876	
730	0.297260	120	0.000000	150	0.720000	0.900342	730	0.297260	0.325000	0.312896	
704	0.301136	147	0.006803	149	0.771812	0.900342	704	0.301136	0.328000	0.312921	
702	0.290598	131	0.007634	167	0.790419	0.900342	702	0.290598	0.337000	0.312961	
704	0.292614	139	0.000000	157	0.732484	0.900342	704	0.292614	0.321000	0.312975	
707	0.275813	142	0.014085	151	0.801325	0.900342	707	0.275813	0.318000	0.312983	
729	0.288066	135	0.044444	136	0.683824	0.900342	729	0.288066	0.309000	0.312976	
704	0.294034	144	0.000000	152	0.743421	0.900342	704	0.294034	0.320000	0.312988	
727	0.305365	126	0.023810	147	0.782313	0.900342	727	0.305365	0.340000	0.313032	
724	0.338398	132	0.030303	144	0.701389	0.900342	724	0.338398	0.350000	0.313093	
724	0.327348	110	0.036364	166	0.692771	0.900342	724	0.327348	0.356000	0.313163	
703	0.361309	142	0.035211	155	0.690323	0.900342	703	0.361309	0.366000	0.313250	
717	0.326360	133	0.007519	150	0.680000	0.900342	717	0.326360	0.337000	0.313289	
700	0.341429	143	0.055944	157	0.681529	0.900342	700	0.341429	0.354000	0.313355	
696	0.317529	145	0.027586	159	0.641509	0.900342	696	0.317529	0.327000	0.313377	
731	0.331053	134	0.052239	135	0.703704	0.900342	731	0.331053	0.344000	0.313427	
722	0.301939	119	0.042017	159	0.654088	0.900342	722	0.301939	0.327000	0.313449	
698	0.320917	137	0.014599	165	0.703030	0.900342	698	0.320917	0.342000	0.313495	
715	0.314685	141	0.021277	144	0.729167	0.900342	715	0.314685	0.333000	0.313527	
661	0.240545	156	0.006410	183	0.830601	0.900342	661	0.240545	0.312000	0.313525	
642	0.236760	160	0.006250	198	0.777778	0.900342	642	0.236760	0.307000	0.313514	
642	0.249221	156	0.006410	202	0.787129	0.900342	642	0.249221	0.320000	0.313524	
646	0.233746	142	0.014085	212	0.735849	0.900342	646	0.233746	0.309000	0.313517	
742	0.349057	116	0.008621	142	0.816901	0.900342	742	0.349057	0.376000	0.313617	
749	0.333778	106	0.018868	145	0.765517	0.900342	749	0.333778	0.363000	0.313697	
740	0.275676	117	0.017094	143	0.741259	0.900342	740	0.275676	0.312000	0.313694	
723	0.301521	131	0.007634	146	0.753425	0.900342	723	0.301521	0.329000	0.313718	
724	0.273481	122	0.049180	154	0.792208	0.900342	724	0.273481	0.326000	0.313738	
721	0.294036	138	0.028986	141	0.787234	0.900342	721	0.294036	0.327000	0.313759	
717	0.283124	146	0.013699	137	0.781022	0.900342	717	0.283124	0.312000	0.313756	
731	0.299590	133	0.030075	136	0.698529	0.900342	731	0.299590	0.318000	0.313763	
708	0.310734	136	0.007353	156	0.711538	0.900342	708	0.310734	0.332000	0.313792	
722	0.332410	120	0.058333	158	0.734177	0.900342	722	0.332410	0.363000	0.313870	
727	0.339752	125	0.024000	148	0.743243	0.900342	727	0.339752	0.360000	0.313943	
696	0.330460	142	0.021127	162	0.691358	0.900342	696	0.330460	0.345000	0.313992	
729	0.348422	136	0.029412	135	0.718519	0.900342	729	0.348422	0.355000	0.314056	
701	0.353780	155	0.000000	144	0.784722	0.900342	701	0.353780	0.361000	0.314130	
746	0.369973	117	0.017094	137	0.781022	0.900342	746	0.369973	0.385000	0.314241	
715	0.373427	137	0.014599	148	0.790541	0.900342	715	0.373427	0.386000	0.314354	
716	0.347765	128	0.031250	156	0.807692	0.900342	716	0.347765	0.379000	0.314455	
733	0.330150	115	0.034783	152	0.756579	0.900342	733	0.330150	0.361000	0.314528	
719	0.315716	132	0.000000	149	0.791946	0.900342	719	0.315716	0.345000	0.314575	
720	0.315278	137	0.007299	143	0.727273	0.900342	720	0.315278	0.332000	0.314602	
715	0.271329	143	0.000000	142	0.788732	0.900342	715	0.271329	0.306000	0.314589	
723	0.269710	128	0.015625	149	0.832215	0.900342	723	0.269710	0.321000	0.314599	
725	0.288276	132	0.000000	143	0.678322	0.900342	725	0.288276	0.306000	0.314586	
733	0.315143	122	0.000000	145	0.806897	0.900342	733	0.315143	0.348000	0.314637	
723	0.304288	144	0.013889	133	0.699248	0.900342	723	0.304288	0.315000	0.314638	
752	0.340426	119	0.016807	129	0.682171	0.900342	752	0.340426	0.346000	0.314686	
719	0.299026	157	0.006369	124	0.750000	0.900342	719	0.299026	0.309000	0.314677	
753	0.314741	113	0.008850	134	0.723881	0.900342	753	0.314741	0.335000	0.314709	
723	0.297372	130	0.038462	147	0.707483	0.900342	723	0.297372	0.324000	0.314723	
713	0.314165	135	0.029630	152	0.684211	0.900342	713	0.314165	0.332000	0.314750	
716	0.283520	136	0.051471	148	0.729730	0.900342	716	0.283520	0.318000	0.314754	
