Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1387997113
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_KNOWN3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Estimating values for taxa and Sites
	Lanius_minor        
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Lanius_minor - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-301.041336	1	1170	0.415154	0.415154	0.415154	0.415154	1.338547	3.062416	0.415154	1.338547	1	0.279734	0.219164	0.349625	0.151477	
502000	-305.876184	1	2700	0.557332	0.557332	0.557332	0.557332	1.853130	1.853130	0.000000	0.557332	1	0.450509	0.514616	0.034701	0.000175	
503000	-305.634151	1	2261	0.518595	0.518595	0.518595	0.518595	2.122519	2.122519	0.000000	0.518595	1	0.457740	0.496562	0.045479	0.000220	
504000	-306.040772	1	2444	0.538640	0.538640	0.538640	0.538640	1.919575	1.919575	0.538640	0.538640	1	0.259649	0.251474	0.372794	0.116083	
505000	-301.235193	1	1830	0.429827	0.429827	0.429827	0.429827	1.308978	2.741882	0.429827	1.308978	1	0.282534	0.234718	0.328880	0.153868	
506000	-305.770540	1	2615	0.508344	0.508344	0.508344	0.508344	2.043337	2.043337	0.000000	0.508344	1	0.460590	0.494333	0.044870	0.000207	
507000	-305.725669	1	409	0.649456	0.649456	0.649456	0.649456	2.000148	2.000148	0.000000	0.649456	1	0.430712	0.536196	0.032878	0.000214	
508000	-305.925949	1	2868	0.523043	0.523043	0.523043	0.523043	1.937542	1.937542	0.523043	0.523043	1	0.257954	0.243689	0.384988	0.113369	
509000	-303.761549	1	1793	0.562146	0.562146	0.562146	0.562146	1.990292	1.990292	0.000000	1.027810	1	0.433397	0.537524	0.028618	0.000461	
510000	-302.651021	1	794	0.453493	0.453493	0.453493	0.453493	1.341618	2.590446	0.000000	1.341618	1	0.470931	0.510911	0.017612	0.000546	
511000	-304.175584	1	415	1.389681	0.548831	0.548831	0.548831	1.389681	2.811931	0.000000	1.389681	1	0.592155	0.378059	0.028641	0.001145	
512000	-306.360091	1	545	0.440863	0.440863	0.440863	0.440863	1.763024	1.763024	0.440863	0.440863	1	0.260889	0.219544	0.420577	0.098989	
513000	-301.235193	1	1830	0.429827	0.429827	0.429827	0.429827	1.308978	2.741882	0.429827	1.308978	1	0.282534	0.234718	0.328880	0.153868	
514000	-307.518060	1	410	0.648528	0.648528	0.648528	0.648528	1.892316	1.892316	0.648528	0.648528	1	0.260683	0.290727	0.313580	0.135009	
515000	-306.541015	1	655	0.398707	0.398707	0.398707	0.398707	1.972710	1.972710	0.398707	0.398707	1	0.239622	0.179013	0.490998	0.090366	
516000	-307.046766	1	2091	0.617364	0.617364	0.617364	0.617364	1.864598	1.864598	0.617364	0.617364	1	0.263002	0.283982	0.323523	0.129494	
517000	-305.434372	1	1336	0.326154	0.326154	0.326154	0.326154	2.077526	2.077526	0.326154	2.077526	1	0.146585	0.133651	0.345836	0.373928	
518000	-306.120077	1	532	1.031113	0.331795	1.031113	0.331795	1.031113	3.330978	0.000000	1.031113	1	0.395510	0.582290	0.021701	0.000499	
519000	-306.993645	1	2495	0.479415	0.479415	0.479415	0.479415	2.509182	2.509182	0.479415	0.479415	1	0.228355	0.191318	0.475838	0.104489	
520000	-305.432214	1	2737	0.597796	0.597796	0.597796	0.597796	2.277317	2.277317	0.000000	0.597796	1	0.439764	0.518671	0.041312	0.000253	
521000	-305.607396	1	1363	0.607464	0.607464	0.607464	0.607464	1.951887	1.951887	0.000000	0.607464	1	0.439305	0.526671	0.033827	0.000198	
522000	-304.468664	1	1538	0.388354	0.388354	0.388354	0.388354	1.169640	2.190080	0.000000	1.169640	1	0.490890	0.492373	0.016353	0.000383	
523000	-309.906997	1	2819	0.501249	0.501249	0.501249	0.501249	1.814197	1.814197	0.000000	0.501249	0	0.463688	0.496904	0.039240	0.000168	
524000	-305.412476	1	251	0.616665	0.616665	0.616665	0.616665	2.206637	2.206637	0.000000	0.616665	1	0.436296	0.524699	0.038760	0.000245	
525000	-301.906368	1	480	0.490857	0.490857	0.490857	0.490857	1.336197	3.232583	0.490857	1.336197	1	0.301806	0.255146	0.307548	0.135500	
526000	-302.246564	1	2910	0.510213	0.510213	0.510213	0.510213	1.243822	2.757366	0.510213	1.243822	1	0.310361	0.278635	0.279704	0.131300	
527000	-303.980977	1	2660	1.032231	0.434305	0.434305	0.434305	1.032231	2.331169	0.000000	1.032231	1	0.639397	0.337561	0.022583	0.000459	
528000	-301.235193	1	1830	0.429827	0.429827	0.429827	0.429827	1.308978	2.741882	0.429827	1.308978	1	0.282534	0.234718	0.328880	0.153868	
529000	-305.907426	1	1138	0.455121	0.455121	0.455121	0.455121	2.048101	2.048101	0.455121	0.455121	1	0.245498	0.204593	0.448921	0.100987	
530000	-301.906368	1	480	0.490857	0.490857	0.490857	0.490857	1.336197	3.232583	0.490857	1.336197	1	0.301806	0.255146	0.307548	0.135500	
531000	-305.500245	1	2436	0.614172	0.614172	0.614172	0.614172	2.306169	2.306169	0.000000	0.614172	1	0.436303	0.522637	0.040798	0.000261	
532000	-306.244161	1	1563	0.504150	0.504150	0.504150	0.504150	2.309976	2.309976	0.504150	0.504150	1	0.238798	0.211282	0.440275	0.109646	
533000	-305.426427	1	526	0.581895	0.581895	0.581895	0.581895	2.273323	2.273323	0.000000	0.581895	1	0.443073	0.514288	0.042390	0.000249	
534000	-305.365180	1	2575	0.584701	0.584701	0.584701	0.584701	2.091103	2.091103	0.000000	0.584701	1	0.443441	0.517917	0.038423	0.000219	
535000	-305.522744	1	105	0.587168	0.587168	0.587168	0.587168	2.338756	2.338756	0.000000	0.587168	1	0.441620	0.514902	0.043217	0.000261	
536000	-304.263165	1	418	0.526296	0.526296	0.526296	0.262197	1.909040	1.909040	0.262197	0.526296	1	0.236972	0.198787	0.445586	0.118655	
537000	-306.562059	1	171	0.715915	0.715915	0.715915	0.715915	1.936440	1.936440	0.000000	0.715915	1	0.418681	0.551729	0.029372	0.000218	
538000	-302.711536	1	1537	0.532609	0.532609	0.532609	0.532609	1.373915	3.553725	0.000000	1.373915	1	0.463425	0.519326	0.016679	0.000571	
539000	-301.906368	1	480	0.490857	0.490857	0.490857	0.490857	1.336197	3.232583	0.490857	1.336197	1	0.301806	0.255146	0.307548	0.135500	
540000	-305.428963	1	611	0.623884	0.623884	0.623884	0.623884	2.166629	2.166629	0.000000	0.623884	1	0.435043	0.527155	0.037562	0.000240	
541000	-304.994976	1	215	0.292720	0.292720	0.292720	0.292720	1.703338	1.703338	0.292720	1.703338	1	0.159783	0.134238	0.356842	0.349137	
542000	-306.156908	1	732	0.652672	0.652672	0.652672	0.652672	1.855707	1.855707	0.000000	0.652672	1	0.430550	0.539732	0.029531	0.000187	
543000	-305.849852	1	665	0.495647	0.495647	0.495647	0.495647	2.109697	2.109697	0.495647	0.495647	1	0.247032	0.219488	0.425106	0.108374	
544000	-306.298005	1	1337	0.257251	0.257251	0.257251	0.257251	1.481439	1.481439	0.257251	1.481439	1	0.162410	0.126364	0.372655	0.338570	
