Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
130000	-465.039247	1	2	1	'1 0 1 1 0 0 1 Z 	D	0.737797	0.045547	0.737797	0.737797	0.045547	0.045547	0.737797	0.000000	0.280384	0.332873	0.009049	0.377694	0.491890	
131000	-462.211799	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.619473	0.008622	0.619473	0.619473	0.619473	0.000000	0.619473	0.008622	0.260444	0.274308	0.178264	0.286984	0.171497	
132000	-462.126583	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.642878	0.000000	0.642878	0.642878	0.642878	0.642878	0.642878	0.042273	0.237874	0.250047	0.250024	0.262055	0.508598	
133000	-461.689442	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.703167	0.059878	0.703167	0.703167	0.703167	0.703167	0.703167	0.000000	0.248563	0.249998	0.249992	0.251447	0.641726	
134000	-462.079403	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.551320	0.063039	0.551320	0.551320	0.551320	0.551320	0.551320	0.000000	0.242917	0.250305	0.249267	0.257511	0.570435	
135000	-461.749717	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.560434	0.051306	0.560434	0.560434	0.560434	0.560434	0.560434	0.000000	0.243619	0.250200	0.249626	0.256555	0.261234	
136000	-462.411615	1	2	0	'1 0 1 1 1 1 1 0 	D	0.689577	0.011922	0.689577	0.689577	0.689577	0.689577	0.689577	0.011922	0.244319	0.249933	0.250159	0.255588	0.425633	
137000	-463.554087	1	2	2	'1 0 1 1 Z 0 1 Z 	D	0.603933	0.032515	0.603933	0.603933	0.000000	0.032515	0.603933	0.000000	0.266472	0.334290	0.001704	0.397534	0.443925	
138000	-469.374866	1	2	1	'1 Z 1 1 0 0 1 0 	D	0.683846	0.000000	0.683846	0.683846	0.068021	0.068021	0.683846	0.068021	0.386534	0.330455	0.019209	0.263802	0.604469	
139000	-465.422050	1	2	3	'1 Z 1 1 Z Z 1 0 	D	0.693667	0.000000	0.693667	0.693667	0.000000	0.000000	0.693667	0.031380	0.364931	0.336420	0.000000	0.298649	0.467565	
