Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1269315673
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model_dep.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
2096000	-467.054826	1	3365	0.595871	0.000000	0.595871	0.595871	0.380182	0.380182	0.595871	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.509698	0.957898	0.940084	0.983243	0.969099	0.325165	0.719356	0.886015	
2097000	-470.180282	1	694	0.501963	0.000000	0.501963	0.501963	0.501963	0.501963	0.501963	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.281993	0.672978	0.105358	0.422626	0.456188	0.900198	0.622739	0.801701	
2098000	-470.182950	1	1570	0.500396	0.000000	0.500396	0.500396	0.500396	0.500396	0.500396	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.626015	0.564214	0.842410	0.294972	0.813712	0.901150	0.048971	0.338162	
2099000	-470.191048	1	1064	0.497422	0.000000	0.497422	0.497422	0.497422	0.497422	0.497422	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.100235	0.992745	0.651955	0.718107	0.932055	0.918746	0.045648	0.515917	
2100000	-470.179684	1	1429	0.507659	0.000000	0.507659	0.507659	0.507659	0.507659	0.507659	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.343655	0.362370	0.276431	0.335845	0.588165	0.211893	0.348422	0.222498	
2101000	-470.180026	1	1060	0.502158	0.000000	0.502158	0.502158	0.502158	0.502158	0.502158	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.979729	0.336112	0.769171	0.829514	0.423437	0.892728	0.004857	0.056143	
2102000	-473.159456	1	2926	0.637352	0.000000	0.637352	0.637352	0.637352	0.637352	0.637352	0.000000	1	0.000002	0.000002	0.999995	0.000002	0.524812	0.633957	0.865401	0.883813	0.426856	0.900985	0.945318	0.134714	
2103000	-470.184502	1	3724	0.510451	0.000000	0.510451	0.510451	0.510451	0.510451	0.510451	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.465480	0.048462	0.310401	0.469120	0.366702	0.730246	0.917061	0.558949	
2104000	-470.829858	1	485	0.453230	0.000000	0.453230	0.453230	0.453230	0.453230	0.453230	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.414800	0.624505	0.073389	0.955165	0.610223	0.166983	0.668104	0.607936	
2105000	-470.218586	1	833	0.491610	0.000000	0.491610	0.491610	0.491610	0.491610	0.491610	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.565369	0.565076	0.307371	0.511355	0.087593	0.499120	0.553050	0.619318	
2106000	-471.199907	1	2169	0.441030	0.000000	0.441030	0.441030	0.441030	0.441030	0.441030	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.599546	0.920950	0.234041	0.874156	0.669585	0.518589	0.421313	0.800239	
2107000	-470.179434	1	3184	0.507427	0.000000	0.507427	0.507427	0.507427	0.507427	0.507427	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.432561	0.393520	0.176125	0.787868	0.762781	0.008784	0.140869	0.025630	
2108000	-470.643526	1	1951	0.460894	0.000000	0.460894	0.460894	0.460894	0.460894	0.460894	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.747653	0.720477	0.292558	0.355364	0.253462	0.734934	0.087505	0.187101	
2109000	-470.180770	1	1963	0.501621	0.000000	0.501621	0.501621	0.501621	0.501621	0.501621	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.303422	0.475923	0.099090	0.141844	0.249100	0.976978	0.454092	0.213395	
2110000	-470.222068	1	1025	0.491051	0.000000	0.491051	0.491051	0.491051	0.491051	0.491051	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.477919	0.530209	0.448381	0.853151	0.068624	0.834541	0.233927	0.939543	
2111000	-470.894711	1	1412	0.450853	0.000000	0.450853	0.450853	0.450853	0.450853	0.450853	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.815297	0.671192	0.572449	0.598551	0.697629	0.098685	0.729732	0.720477	
2112000	-470.183265	1	2307	0.509889	0.000000	0.509889	0.509889	0.509889	0.509889	0.509889	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.266973	0.520099	0.715773	0.485225	0.360628	0.923217	0.770259	0.128732	
2113000	-470.570056	1	3125	0.549353	0.000000	0.549353	0.549353	0.549353	0.549353	0.549353	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.006718	0.507433	0.389280	0.025429	0.149598	0.034981	0.060607	0.840458	
2114000	-470.787402	1	1954	0.454857	0.000000	0.454857	0.454857	0.454857	0.454857	0.454857	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.606278	0.956270	0.062174	0.793686	0.069904	0.909309	0.609707	0.724240	
2115000	-470.671934	1	986	0.459629	0.000000	0.459629	0.459629	0.459629	0.459629	0.459629	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.321933	0.185344	0.644998	0.193384	0.402571	0.809400	0.612494	0.287035	
2116000	-470.188008	1	2715	0.511800	0.000000	0.511800	0.511800	0.511800	0.511800	0.511800	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.724689	0.289066	0.561395	0.524419	0.183205	0.773384	0.483362	0.457585	
2117000	-470.304114	1	1834	0.529688	0.000000	0.529688	0.529688	0.529688	0.529688	0.529688	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.717058	0.545391	0.059695	0.609969	0.924280	0.809348	0.424589	0.196679	
2118000	-470.262084	1	718	0.485798	0.000000	0.485798	0.485798	0.485798	0.485798	0.485798	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.651473	0.553629	0.179723	0.733120	0.425181	0.265586	0.967909	0.756937	
2119000	-471.068031	1	816	0.445038	0.000000	0.445038	0.445038	0.445038	0.445038	0.445038	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.335989	0.055886	0.095089	0.015275	0.781245	0.757649	0.686191	0.549320	
2120000	-470.474929	1	1032	0.543382	0.000000	0.543382	0.543382	0.543382	0.543382	0.543382	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.101541	0.730715	0.448177	0.658588	0.478437	0.303568	0.372329	0.106377	
2121000	-470.178585	1	3109	0.503721	0.000000	0.503721	0.503721	0.503721	0.503721	0.503721	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.671968	0.684599	0.282293	0.608565	0.133166	0.654764	0.502286	0.093767	
2122000	-467.398923	1	2595	0.593253	0.000000	0.593253	0.593253	0.312370	0.312370	0.593253	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.791464	0.764905	0.752460	0.869387	0.808622	0.993471	0.107379	0.106557	
2123000	-470.356638	1	3614	0.534520	0.000000	0.534520	0.534520	0.534520	0.534520	0.534520	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.076016	0.870569	0.706337	0.065532	0.047547	0.243364	0.788851	0.283007	
2124000	-470.196829	1	1713	0.495880	0.000000	0.495880	0.495880	0.495880	0.495880	0.495880	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.967809	0.658450	0.733041	0.017461	0.268481	0.706770	0.385848	0.340596	
2125000	-470.266272	1	2943	0.485333	0.000000	0.485333	0.485333	0.485333	0.485333	0.485333	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.099886	0.336161	0.923269	0.184918	0.463016	0.438575	0.285161	0.656363	
2126000	-471.120098	1	1582	0.575439	0.000000	0.575439	0.575439	0.575439	0.575439	0.575439	0.000000	1	0.000001	0.000001	0.999996	0.000002	0.281429	0.158598	0.556437	0.442508	0.107477	0.823815	0.580842	0.556821	
2127000	-467.707125	1	2851	0.536908	0.000000	0.536908	0.536908	0.326627	0.326627	0.536908	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.171573	0.482586	0.629905	0.739094	0.730661	0.917206	0.756785	0.870677	
2128000	-470.249739	1	2461	0.523507	0.000000	0.523507	0.523507	0.523507	0.523507	0.523507	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.107909	0.442202	0.458820	0.485448	0.911329	0.022036	0.554088	0.094817	
2129000	-472.724956	1	1366	0.626160	0.000000	0.626160	0.626160	0.626160	0.626160	0.626160	0.000000	1	0.000002	0.000002	0.999995	0.000002	0.202220	0.950520	0.369647	0.692790	0.672738	0.905755	0.682147	0.596324	
2130000	-470.227681	1	2525	0.490195	0.000000	0.490195	0.490195	0.490195	0.490195	0.490195	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.143847	0.443213	0.166705	0.056723	0.194635	0.862703	0.252935	0.336345	
2131000	-470.191646	1	3773	0.497248	0.000000	0.497248	0.497248	0.497248	0.497248	0.497248	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.701155	0.043437	0.859654	0.069256	0.139659	0.569421	0.429248	0.935458	
2132000	-470.215272	1	1566	0.492165	0.000000	0.492165	0.492165	0.492165	0.492165	0.492165	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.362258	0.063866	0.401217	0.002356	0.075453	0.180878	0.707451	0.946378	
2133000	-470.252490	1	1452	0.523865	0.000000	0.523865	0.523865	0.523865	0.523865	0.523865	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.140887	0.629634	0.843027	0.225123	0.254066	0.861985	0.429965	0.036259	
2134000	-470.697476	1	1479	0.556392	0.000000	0.556392	0.556392	0.556392	0.556392	0.556392	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.144088	0.968839	0.925649	0.874417	0.356131	0.216075	0.213550	0.771973	
2135000	-470.179922	1	2180	0.502241	0.000000	0.502241	0.502241	0.502241	0.502241	0.502241	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.858502	0.127209	0.100870	0.208057	0.338899	0.847001	0.563912	0.572370	
2136000	-470.782214	1	1746	0.455060	0.000000	0.455060	0.455060	0.455060	0.455060	0.455060	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.684298	0.970268	0.443872	0.747588	0.526963	0.492860	0.969942	0.280758	
2137000	-470.180396	1	1501	0.501880	0.000000	0.501880	0.501880	0.501880	0.501880	0.501880	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.686376	0.330899	0.624628	0.334418	0.492811	0.076891	0.942805	0.717641	
2138000	-467.233699	1	3103	0.578396	0.000000	0.578396	0.578396	0.397331	0.397331	0.578396	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.618067	0.449543	0.236231	0.161824	0.722785	0.619381	0.260263	0.746517	
2139000	-470.595459	1	2844	0.463136	0.000000	0.463136	0.463136	0.463136	0.463136	0.463136	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.245046	0.836520	0.252206	0.247179	0.263652	0.936569	0.780612	0.289365	
2140000	-470.457028	1	147	0.470515	0.000000	0.470515	0.470515	0.470515	0.470515	0.470515	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.581915	0.514833	0.367425	0.973361	0.419626	0.017392	0.250331	0.669726	
2141000	-470.663343	1	1212	0.460007	0.000000	0.460007	0.460007	0.460007	0.460007	0.460007	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.936937	0.516582	0.168797	0.416325	0.471813	0.971091	0.264737	0.494596	
2142000	-470.340126	1	2356	0.533084	0.000000	0.533084	0.533084	0.533084	0.533084	0.533084	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.295673	0.895660	0.553377	0.526021	0.158920	0.550582	0.387849	0.963574	
2143000	-470.223619	1	2627	0.519700	0.000000	0.519700	0.519700	0.519700	0.519700	0.519700	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.966343	0.814965	0.409483	0.571772	0.879154	0.935084	0.831008	0.029915	
2144000	-470.392252	1	2784	0.474657	0.000000	0.474657	0.474657	0.474657	0.474657	0.474657	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.149784	0.795570	0.267291	0.441686	0.169768	0.642607	0.533867	0.973548	
2145000	-470.792484	1	3879	0.454659	0.000000	0.454659	0.454659	0.454659	0.454659	0.454659	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.519873	0.818416	0.891863	0.605353	0.737877	0.341133	0.034213	0.608097	
2146000	-471.848484	1	995	0.600982	0.000000	0.600982	0.600982	0.600982	0.600982	0.600982	0.000000	1	0.000002	0.000001	0.999995	0.000002	0.767424	0.291509	0.998811	0.111590	0.657919	0.820481	0.215046	0.998152	
2147000	-470.178507	1	69	0.506225	0.000000	0.506225	0.506225	0.506225	0.506225	0.506225	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.663835	0.850123	0.018517	0.128163	0.857395	0.786773	0.449031	0.539659	
2148000	-470.273927	1	1455	0.526464	0.000000	0.526464	0.526464	0.526464	0.526464	0.526464	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.843266	0.414619	0.895762	0.153342	0.985708	0.976358	0.287554	0.122968	
2149000	-470.185640	1	3182	0.510923	0.000000	0.510923	0.510923	0.510923	0.510923	0.510923	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.446779	0.926244	0.405673	0.124272	0.967362	0.470166	0.309505	0.968715	
2150000	-471.396147	1	1204	0.435576	0.000000	0.435576	0.435576	0.435576	0.435576	0.435576	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.944736	0.861227	0.286236	0.452348	0.464040	0.627297	0.753354	0.168815	
2151000	-470.229851	1	867	0.489878	0.000000	0.489878	0.489878	0.489878	0.489878	0.489878	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.600864	0.592094	0.122253	0.743042	0.560650	0.098713	0.795758	0.567546	
2152000	-471.795598	1	1257	0.425864	0.000000	0.425864	0.425864	0.425864	0.425864	0.425864	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.438931	0.868911	0.311912	0.761592	0.877265	0.479892	0.061869	0.573000	
2153000	-470.438486	1	3701	0.540863	0.000000	0.540863	0.540863	0.540863	0.540863	0.540863	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.870044	0.719060	0.666245	0.832042	0.212793	0.837570	0.204149	0.851729	
2154000	-470.281463	1	360	0.483737	0.000000	0.483737	0.483737	0.483737	0.483737	0.483737	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.589406	0.237093	0.484280	0.141701	0.610698	0.667013	0.093826	0.569529	
2155000	-470.340126	1	2356	0.533084	0.000000	0.533084	0.533084	0.533084	0.533084	0.533084	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.846067	0.360594	0.072564	0.489773	0.517286	0.814999	0.430354	0.197135	
2156000	-470.522651	1	2891	0.546472	0.000000	0.546472	0.546472	0.546472	0.546472	0.546472	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.867519	0.512521	0.229360	0.456396	0.449770	0.050074	0.787525	0.363612	
2157000	-470.442445	1	2903	0.541144	0.000000	0.541144	0.541144	0.541144	0.541144	0.541144	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.116586	0.660420	0.774236	0.630955	0.148309	0.255353	0.593512	0.083290	
2158000	-470.883754	1	3825	0.451246	0.000000	0.451246	0.451246	0.451246	0.451246	0.451246	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.527964	0.811263	0.559639	0.616687	0.159492	0.895975	0.206487	0.659308	
2159000	-470.226137	1	2846	0.520107	0.000000	0.520107	0.520107	0.520107	0.520107	0.520107	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.407754	0.507039	0.364373	0.994127	0.739285	0.184386	0.332791	0.533433	
2160000	-470.222309	1	3307	0.519484	0.000000	0.519484	0.519484	0.519484	0.519484	0.519484	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.875413	0.631945	0.402230	0.737198	0.451225	0.836249	0.867416	0.889193	
2161000	-467.094939	1	3464	0.588572	0.000000	0.588572	0.588572	0.342298	0.342298	0.588572	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.526228	0.109076	0.675764	0.957140	0.592346	0.465305	0.135941	0.687516	
2162000	-470.186040	1	2642	0.511080	0.000000	0.511080	0.511080	0.511080	0.511080	0.511080	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.262765	0.569593	0.437939	0.644993	0.690305	0.128336	0.499514	0.983721	
2163000	-470.178809	1	1752	0.503378	0.000000	0.503378	0.503378	0.503378	0.503378	0.503378	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.495914	0.639725	0.058436	0.920395	0.237567	0.116589	0.183373	0.416065	
2164000	-467.126940	1	228	0.648197	0.000000	0.648197	0.648197	0.367472	0.367472	0.648197	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.977070	0.040208	0.216812	0.159825	0.725480	0.140006	0.538245	0.138890	
2165000	-470.298854	1	259	0.529155	0.000000	0.529155	0.529155	0.529155	0.529155	0.529155	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.390179	0.405650	0.690647	0.099965	0.394302	0.301300	0.619073	0.578588	
2166000	-470.547020	1	3719	0.465542	0.000000	0.465542	0.465542	0.465542	0.465542	0.465542	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.920656	0.561466	0.989934	0.789510	0.298233	0.690748	0.858903	0.778899	
2167000	-470.221138	1	3421	0.491198	0.000000	0.491198	0.491198	0.491198	0.491198	0.491198	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.363226	0.351525	0.045191	0.161118	0.063606	0.479307	0.821361	0.009951	
2168000	-470.459583	1	2770	0.542340	0.000000	0.542340	0.542340	0.542340	0.542340	0.542340	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.846504	0.965318	0.461373	0.274544	0.308272	0.231191	0.572754	0.362584	
2169000	-467.126940	1	228	0.648197	0.000000	0.648197	0.648197	0.367472	0.367472	0.648197	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.918990	0.073087	0.034402	0.912599	0.076176	0.084594	0.897937	0.768895	
2170000	-470.524856	1	2226	0.466700	0.000000	0.466700	0.466700	0.466700	0.466700	0.466700	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.757562	0.309856	0.449027	0.035793	0.737947	0.557313	0.354840	0.412066	
2171000	-470.186040	1	2642	0.511080	0.000000	0.511080	0.511080	0.511080	0.511080	0.511080	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.383530	0.118564	0.445954	0.630846	0.290307	0.504951	0.663432	0.714294	
2172000	-470.223440	1	3436	0.519670	0.000000	0.519670	0.519670	0.519670	0.519670	0.519670	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.760444	0.126145	0.947236	0.454870	0.483155	0.496312	0.246398	0.841305	
2173000	-470.196373	1	3983	0.514264	0.000000	0.514264	0.514264	0.514264	0.514264	0.514264	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.710187	0.789185	0.543756	0.674184	0.778200	0.440821	0.600253	0.335081	
2174000	-470.312261	1	1230	0.530493	0.000000	0.530493	0.530493	0.530493	0.530493	0.530493	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.864167	0.454541	0.053782	0.966397	0.915945	0.641049	0.245009	0.831370	
2175000	-470.200329	1	3138	0.495064	0.000000	0.495064	0.495064	0.495064	0.495064	0.495064	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.010951	0.984168	0.883003	0.087020	0.699053	0.200596	0.421605	0.187306	
2176000	-471.165250	1	2405	0.442054	0.000000	0.442054	0.442054	0.442054	0.442054	0.442054	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.686454	0.517054	0.350678	0.854758	0.665295	0.642840	0.113075	0.784744	
2177000	-470.278527	1	2281	0.484035	0.000000	0.484035	0.484035	0.484035	0.484035	0.484035	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.787496	0.616705	0.019103	0.778502	0.895559	0.519826	0.241960	0.393634	
2178000	-470.352454	1	2626	0.477544	0.000000	0.477544	0.477544	0.477544	0.477544	0.477544	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.314645	0.847758	0.103904	0.498273	0.260412	0.549461	0.576121	0.517883	
2179000	-470.625971	1	2632	0.552553	0.000000	0.552553	0.552553	0.552553	0.552553	0.552553	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.968906	0.021983	0.340349	0.119702	0.716938	0.482847	0.722286	0.883073	
2180000	-467.094939	1	3464	0.588572	0.000000	0.588572	0.588572	0.342298	0.342298	0.588572	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.041354	0.558367	0.784474	0.447974	0.380272	0.707094	0.381222	0.608338	
2181000	-470.297104	1	875	0.528976	0.000000	0.528976	0.528976	0.528976	0.528976	0.528976	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.385414	0.898025	0.877776	0.069352	0.224318	0.939706	0.173652	0.033357	
2182000	-467.054826	1	3365	0.595871	0.000000	0.595871	0.595871	0.380182	0.380182	0.595871	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.570492	0.020940	0.906730	0.019361	0.831992	0.638127	0.105915	0.334400	
2183000	-470.216419	1	3238	0.491970	0.000000	0.491970	0.491970	0.491970	0.491970	0.491970	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.131702	0.569879	0.256809	0.393343	0.683950	0.568823	0.800370	0.621159	
2184000	-470.507616	1	3268	0.545521	0.000000	0.545521	0.545521	0.545521	0.545521	0.545521	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.606034	0.604479	0.410741	0.976653	0.112950	0.230876	0.659812	0.456671	
2185000	-470.233513	1	1889	0.489358	0.000000	0.489358	0.489358	0.489358	0.489358	0.489358	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.678009	0.475648	0.082155	0.372303	0.582813	0.432311	0.095737	0.968573	
2186000	-470.225386	1	2352	0.490539	0.000000	0.490539	0.490539	0.490539	0.490539	0.490539	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.415635	0.346903	0.505348	0.202014	0.337308	0.741572	0.833341	0.823597	
2187000	-470.178749	1	2630	0.506630	0.000000	0.506630	0.506630	0.506630	0.506630	0.506630	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.652913	0.802149	0.285726	0.022796	0.919650	0.203235	0.252390	0.310212	
2188000	-470.199869	1	1134	0.495168	0.000000	0.495168	0.495168	0.495168	0.495168	0.495168	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.083452	0.778597	0.341346	0.524706	0.551015	0.347192	0.611924	0.037028	
2189000	-470.752302	1	2718	0.559177	0.000000	0.559177	0.559177	0.559177	0.559177	0.559177	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.074743	0.204556	0.775402	0.678532	0.123995	0.583724	0.725144	0.099827	
2190000	-470.559213	1	756	0.464921	0.000000	0.464921	0.464921	0.464921	0.464921	0.464921	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.011997	0.838000	0.307599	0.321325	0.225088	0.548695	0.270820	0.643655	
2191000	-470.279435	1	1223	0.527085	0.000000	0.527085	0.527085	0.527085	0.527085	0.527085	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.025830	0.735055	0.479336	0.602075	0.146062	0.918211	0.107893	0.929379	
2192000	-467.398923	1	2595	0.593253	0.000000	0.593253	0.593253	0.312370	0.312370	0.593253	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.080860	0.299283	0.009416	0.878436	0.173251	0.644244	0.548962	0.766103	
2193000	-470.489206	1	3007	0.468649	0.000000	0.468649	0.468649	0.468649	0.468649	0.468649	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.669367	0.480272	0.259773	0.454026	0.811602	0.459464	0.546029	0.069419	
2194000	-470.900553	1	3878	0.450645	0.000000	0.450645	0.450645	0.450645	0.450645	0.450645	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.302508	0.109312	0.316801	0.314337	0.765729	0.026903	0.128837	0.833583	
2195000	-471.079841	1	784	0.444666	0.000000	0.444666	0.444666	0.444666	0.444666	0.444666	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.652024	0.386441	0.221161	0.754238	0.855983	0.760501	0.267445	0.339959	
2196000	-470.577116	1	1700	0.549768	0.000000	0.549768	0.549768	0.549768	0.549768	0.549768	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.825762	0.178238	0.238383	0.689093	0.239167	0.102076	0.424692	0.987485	
2197000	-470.737976	1	3212	0.456833	0.000000	0.456833	0.456833	0.456833	0.456833	0.456833	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.550503	0.001321	0.715099	0.986675	0.269323	0.056384	0.054474	0.479333	
2198000	-470.245638	1	807	0.522960	0.000000	0.522960	0.522960	0.522960	0.522960	0.522960	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.572896	0.094461	0.506909	0.657928	0.198025	0.922388	0.926973	0.574605	
2199000	-470.203407	1	3341	0.494400	0.000000	0.494400	0.494400	0.494400	0.494400	0.494400	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.234058	0.010410	0.457126	0.236830	0.255381	0.395107	0.490363	0.367703	
2200000	-470.207942	1	1770	0.516870	0.000000	0.516870	0.516870	0.516870	0.516870	0.516870	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.442620	0.444851	0.562514	0.905429	0.071811	0.891086	0.657069	0.589120	
2201000	-470.328928	1	901	0.479417	0.000000	0.479417	0.479417	0.479417	0.479417	0.479417	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.877428	0.081732	0.654656	0.893031	0.662322	0.435811	0.193505	0.186113	
2202000	-467.054826	1	3365	0.595871	0.000000	0.595871	0.595871	0.380182	0.380182	0.595871	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.698830	0.262285	0.955030	0.170141	0.345550	0.420799	0.674348	0.284139	
2203000	-470.178212	1	351	0.504838	0.000000	0.504838	0.504838	0.504838	0.504838	0.504838	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.550976	0.859121	0.695202	0.073549	0.299403	0.473835	0.895843	0.558713	
2204000	-470.752724	1	3727	0.456234	0.000000	0.456234	0.456234	0.456234	0.456234	0.456234	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.759017	0.075066	0.652231	0.775566	0.060230	0.125663	0.325144	0.920398	
2205000	-470.332669	1	1891	0.479109	0.000000	0.479109	0.479109	0.479109	0.479109	0.479109	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.707723	0.268121	0.321102	0.435004	0.631961	0.405829	0.699479	0.385464	
2206000	-470.297589	1	1941	0.482170	0.000000	0.482170	0.482170	0.482170	0.482170	0.482170	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.746619	0.099059	0.883592	0.887688	0.873944	0.913196	0.638595	0.120842	
