Options:
Model:                           Discrete: Independent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_save.tsv
Log File Name:                   tutorial_bayestraits_output_log_ind_save.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1714175767
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      tutorial_bayestraits_output_model_ind.bin
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1000000	-510.187541	1	2	0	'0 1 1 0 	0.258018	0.413275	0.413275	0.258018	0.244015	0.267833	0.232719	0.255433	0.446684	
1001000	-509.104318	1	2	0	'0 1 1 0 	0.255181	0.523585	0.523585	0.255181	0.247440	0.245857	0.254165	0.252538	0.388630	
1002000	-509.328803	1	2	0	'0 1 1 0 	0.291636	0.512307	0.512307	0.291636	0.248124	0.252370	0.247634	0.251872	0.733163	
1003000	-509.510453	1	2	0	'0 1 1 0 	0.229206	0.492367	0.492367	0.229206	0.245442	0.240511	0.259632	0.254416	0.794132	
1004000	-509.785384	1	2	0	'0 1 1 0 	0.262277	0.428662	0.428662	0.262277	0.244959	0.263350	0.236950	0.254741	0.729069	
1005000	-510.868417	1	2	0	'1 0 0 1 	0.271443	0.599526	0.599526	0.271443	0.248864	0.246038	0.253991	0.251107	0.157393	
1006000	-509.864719	1	2	0	'1 0 0 1 	0.289057	0.579889	0.579889	0.289057	0.248906	0.248299	0.251704	0.251090	0.996961	
1007000	-509.070809	1	2	0	'1 0 0 1 	0.276884	0.535489	0.535489	0.276884	0.248191	0.248848	0.251148	0.251813	0.531614	
1008000	-509.226155	1	2	0	'1 0 0 1 	0.239784	0.503859	0.503859	0.239784	0.246378	0.243271	0.256794	0.253556	0.964950	
1009000	-508.875915	1	2	0	'1 0 0 1 	0.244961	0.449015	0.449015	0.244961	0.244894	0.253267	0.246702	0.255137	0.505452	
1010000	-508.763514	1	2	0	'1 0 0 1 	0.257655	0.502345	0.502345	0.257655	0.247068	0.248157	0.251832	0.252943	0.543609	
1011000	-509.145097	1	2	0	'1 0 0 1 	0.261232	0.449461	0.449461	0.261232	0.245717	0.257449	0.242624	0.254209	0.548746	
1012000	-527.160650	1	1	0	'0 0 0 0 	0.318302	0.318302	0.318302	0.318302	0.237789	0.334315	0.177851	0.250046	0.161783	
1013000	-509.465405	1	2	0	'1 0 0 1 	0.294703	0.552183	0.552183	0.294703	0.248700	0.249876	0.250121	0.251303	0.529108	
1014000	-509.296813	1	2	0	'1 0 0 1 	0.230270	0.483995	0.483995	0.230270	0.245235	0.241854	0.258235	0.254675	0.335087	
1015000	-509.791968	1	2	0	'1 0 0 1 	0.296670	0.574866	0.574866	0.296670	0.248949	0.249108	0.250892	0.251051	0.344458	
1016000	-509.960159	1	2	0	'0 1 1 0 	0.257141	0.558341	0.558341	0.257141	0.248103	0.244645	0.255405	0.251846	0.351293	
1017000	-511.468917	1	2	0	'0 1 1 0 	0.298725	0.636407	0.636407	0.298725	0.249394	0.248108	0.251898	0.250600	0.666524	
1018000	-508.876306	1	2	0	'0 1 1 0 	0.270734	0.484495	0.484495	0.270734	0.247075	0.252831	0.247168	0.252926	0.243261	
1019000	-509.144896	1	2	0	'0 1 1 0 	0.286920	0.517447	0.517447	0.286920	0.248114	0.251408	0.248588	0.251889	0.464605	
1020000	-509.526831	1	2	0	'0 1 1 0 	0.299370	0.536471	0.536471	0.299370	0.248585	0.251172	0.248826	0.251416	0.368358	
1021000	-509.760088	1	2	0	'0 1 1 0 	0.289298	0.575181	0.575181	0.289298	0.248865	0.248462	0.251540	0.251133	0.565561	
1022000	-509.104970	1	2	0	'0 1 1 0 	0.285510	0.522031	0.522031	0.285510	0.248158	0.250869	0.249126	0.251847	0.461705	
