Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Mean	beta1 - Mean	alpha2 - Mean	beta2 - Mean	
1039000	-511.467194	1	3102	0.253605	0.458034	0.458034	0.253605	0	0.245665	0.253758	0.246233	0.254344	0.875569	0.030276	0.874824	0.520408	
1040000	-511.549258	1	2959	0.278645	0.496121	0.496121	0.278645	0	0.247546	0.252537	0.247464	0.252453	0.118639	0.234382	0.854810	0.410430	
1041000	-511.848394	1	853	0.231743	0.476266	0.476266	0.231743	0	0.245063	0.243447	0.256591	0.254899	0.086797	0.375314	0.330155	0.822338	
1042000	-511.658889	1	890	0.252335	0.514735	0.514735	0.252335	0	0.247156	0.245838	0.254181	0.252825	0.846800	0.846757	0.004345	0.025481	
1043000	-511.338848	1	1581	0.253399	0.475069	0.475069	0.253399	0	0.246192	0.250625	0.249346	0.253837	0.985656	0.342639	0.534133	0.577216	
1044000	-512.130999	1	489	0.237173	0.417808	0.417808	0.237173	0	0.242947	0.259786	0.240306	0.256962	0.727100	0.807776	0.601024	0.793571	
1045000	-512.276709	1	2845	0.248731	0.535339	0.535339	0.248731	0	0.247461	0.243710	0.256358	0.252471	0.334381	0.738853	0.724302	0.597548	
1046000	-511.742204	1	3865	0.239429	0.492843	0.492843	0.239429	0	0.246047	0.244215	0.255821	0.253916	0.815961	0.597818	0.463661	0.332821	
1047000	-512.111377	1	3293	0.266112	0.441970	0.441970	0.266112	0	0.245652	0.260288	0.239884	0.254176	0.866973	0.661378	0.306624	0.636122	
1048000	-511.965408	1	3541	0.281241	0.557521	0.557521	0.281241	0	0.248559	0.248263	0.251739	0.251439	0.906699	0.616407	0.591653	0.784854	
1049000	-511.944447	1	2891	0.225992	0.455386	0.455386	0.225992	0	0.243827	0.244420	0.255565	0.256187	0.680279	0.056335	0.208762	0.272412	
1050000	-511.709529	1	640	0.238091	0.438838	0.438838	0.238091	0	0.244038	0.253448	0.246504	0.256010	0.301190	0.988815	0.223090	0.051283	
1051000	-511.320438	1	3266	0.258615	0.490573	0.490573	0.258615	0	0.246817	0.249684	0.250296	0.253203	0.687975	0.514400	0.463709	0.819203	
1052000	-512.825457	1	683	0.305698	0.494290	0.494290	0.305698	0	0.248087	0.255494	0.244559	0.251861	0.838318	0.083859	0.350412	0.153448	
1053000	-513.833019	1	3521	0.304976	0.538248	0.538248	0.304976	1	0.248679	0.251485	0.248516	0.251320	0.559965	0.940773	0.167477	0.594039	
1054000	-512.431551	1	3597	0.218390	0.418167	0.418167	0.218390	0	0.241231	0.250454	0.249390	0.258925	0.387917	0.564231	0.549223	0.624953	
1055000	-512.851552	1	1301	0.284306	0.448298	0.448298	0.284306	0	0.246518	0.261453	0.238782	0.253248	0.983963	0.805594	0.571499	0.175589	
1056000	-513.158575	1	1798	0.324845	0.542964	0.542964	0.324845	0	0.248957	0.252322	0.247687	0.251034	0.331779	0.334073	0.599258	0.352153	
1057000	-512.723202	1	3428	0.230875	0.397934	0.397934	0.230875	0	0.241219	0.265645	0.234686	0.258450	0.776641	0.265644	0.718574	0.331235	
1058000	-512.076143	1	3071	0.298057	0.557217	0.557217	0.298057	0	0.248795	0.249915	0.250083	0.251208	0.457459	0.838722	0.414474	0.309990	
1059000	-512.466477	1	2105	0.215190	0.443656	0.443656	0.215190	0	0.242221	0.241049	0.258991	0.257738	0.150590	0.679420	0.290378	0.882527	
1060000	-512.108984	1	148	0.272205	0.558737	0.558737	0.272205	0	0.248419	0.247069	0.252943	0.251568	0.747022	0.532527	0.912634	0.431431	
1061000	-511.518687	1	2100	0.269943	0.524813	0.524813	0.269943	0	0.247865	0.248537	0.251458	0.252140	0.243563	0.592532	0.865157	0.288794	
