Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Mean	beta1 - Mean	alpha2 - Mean	beta2 - Mean	
2113000	-511.773904	1	94	0.273463	0.467127	0.467127	0.273463	0	0.246717	0.256058	0.243994	0.253232	0.476785	0.708852	0.053299	0.643347	
2114000	-511.632095	1	227	0.245503	0.500194	0.500194	0.245503	0	0.246539	0.245324	0.254696	0.253440	0.975118	0.485539	0.083605	0.935498	
2115000	-511.978806	1	2601	0.225421	0.439102	0.439102	0.225421	0	0.243050	0.247869	0.252042	0.257039	0.727834	0.406327	0.401619	0.132744	
2116000	-511.721827	1	2795	0.237592	0.438256	0.438256	0.237592	0	0.243977	0.253418	0.246533	0.256072	0.117390	0.570395	0.933073	0.432121	
2117000	-513.120093	1	3024	0.254111	0.475515	0.475515	0.254111	1	0.246234	0.250735	0.249237	0.253794	0.577753	0.107182	0.815277	0.544169	
2118000	-511.420644	1	1437	0.253231	0.461998	0.461998	0.253231	0	0.245779	0.252870	0.247111	0.254240	0.722691	0.259284	0.026275	0.586906	
2119000	-513.074585	1	975	0.262021	0.502323	0.502323	0.262021	1	0.247206	0.249068	0.250918	0.252808	0.354632	0.207250	0.550511	0.988160	
2120000	-511.473654	1	2137	0.276416	0.500332	0.500332	0.276416	0	0.247574	0.251739	0.248255	0.252432	0.247250	0.368206	0.116633	0.408095	
2121000	-511.405026	1	169	0.253296	0.463697	0.463697	0.253296	0	0.245838	0.252562	0.247416	0.254184	0.194222	0.616994	0.665796	0.613064	
2122000	-511.864629	1	1715	0.260334	0.443621	0.443621	0.260334	0	0.245464	0.258680	0.241429	0.254427	0.412526	0.765965	0.247154	0.765429	
2123000	-511.925863	1	630	0.227101	0.461466	0.461466	0.227101	0	0.244168	0.243795	0.256215	0.255823	0.038067	0.326079	0.833596	0.094016	
2124000	-511.637029	1	872	0.235197	0.452230	0.452230	0.235197	0	0.244401	0.249079	0.250860	0.255661	0.730761	0.332135	0.453831	0.936820	
2125000	-511.742595	1	678	0.258287	0.527890	0.527890	0.258287	0	0.247613	0.246229	0.253789	0.252370	0.616004	0.510983	0.240484	0.738754	
2126000	-511.600319	1	164	0.282376	0.527708	0.527708	0.282376	0	0.248180	0.250065	0.249928	0.251826	0.430217	0.401431	0.475128	0.131880	
2127000	-511.450055	1	2943	0.271271	0.517843	0.517843	0.271271	0	0.247775	0.249282	0.250709	0.252234	0.345672	0.830684	0.139444	0.863027	
2128000	-511.556666	1	1834	0.242410	0.448885	0.448885	0.242410	0	0.244734	0.252460	0.247497	0.255309	0.797947	0.072422	0.935266	0.942795	
2129000	-511.799768	1	1818	0.259514	0.532254	0.532254	0.259514	0	0.247728	0.246211	0.253808	0.252254	0.033780	0.013720	0.792186	0.916193	
2130000	-511.351469	1	1692	0.263324	0.482181	0.482181	0.263324	0	0.246773	0.251794	0.248192	0.253242	0.552974	0.719969	0.409064	0.192320	
2131000	-513.413206	1	1641	0.280482	0.547689	0.547689	0.280482	1	0.248423	0.248625	0.251374	0.251578	0.624737	0.354427	0.755856	0.788743	
2132000	-511.558847	1	510	0.243879	0.448082	0.448082	0.243879	0	0.244790	0.253134	0.246831	0.255244	0.679841	0.921323	0.751555	0.977382	
2133000	-511.352651	1	2030	0.255691	0.494073	0.494073	0.255691	0	0.246796	0.248604	0.251379	0.253221	0.560510	0.484116	0.862074	0.513663	
2134000	-511.912957	1	3078	0.240218	0.504411	0.504411	0.240218	0	0.246409	0.243356	0.256708	0.253528	0.302675	0.338743	0.826042	0.740690	
2135000	-511.854202	1	3254	0.228695	0.442467	0.442467	0.228695	0	0.243490	0.248581	0.251337	0.256592	0.427239	0.954748	0.393871	0.462576	
2136000	-511.713344	1	2815	0.234655	0.442361	0.442361	0.234655	0	0.243949	0.251185	0.248744	0.256122	0.987862	0.214580	0.441233	0.594056	
2137000	-511.332512	1	1589	0.264536	0.491802	0.491802	0.264536	0	0.247049	0.250748	0.249236	0.252967	0.279862	0.496846	0.092667	0.740581	
2138000	-511.774019	1	453	0.290430	0.516331	0.516331	0.290430	0	0.248161	0.251878	0.248122	0.251839	0.845645	0.001567	0.078470	0.188889	
2139000	-511.592496	1	2495	0.279812	0.494747	0.494747	0.279812	0	0.247548	0.252861	0.247144	0.252448	0.555209	0.497004	0.057897	0.887297	
2140000	-511.437101	1	812	0.246829	0.485588	0.485588	0.246829	0	0.246201	0.247350	0.252635	0.253814	0.857694	0.580738	0.871783	0.420194	
2141000	-511.909363	1	2840	0.253177	0.528346	0.528346	0.253177	0	0.247467	0.245111	0.254924	0.252497	0.353609	0.338034	0.790442	0.488591	
2142000	-511.714845	1	563	0.253979	0.443476	0.443476	0.253979	0	0.245158	0.257203	0.242854	0.254785	0.775368	0.757857	0.830006	0.809375	
2143000	-512.467631	1	1566	0.280424	0.452663	0.452663	0.280424	0	0.246528	0.259979	0.240193	0.253299	0.447974	0.182057	0.555467	0.410578	
2144000	-514.709701	1	3823	0.224919	0.398581	0.398581	0.224919	1	0.240697	0.262407	0.237727	0.259169	0.590817	0.526886	0.785939	0.779097	
2145000	-513.072933	1	1631	0.265998	0.504148	0.504148	0.265998	1	0.247366	0.249639	0.250348	0.252648	0.076027	0.223816	0.406318	0.426067	
2146000	-511.424402	1	1250	0.268250	0.514693	0.514693	0.268250	0	0.247640	0.249052	0.250939	0.252370	0.737934	0.385347	0.527035	0.608299	
2147000	-512.082485	1	1334	0.252850	0.534866	0.534866	0.252850	0	0.247583	0.244684	0.255361	0.252371	0.771343	0.469798	0.195949	0.683618	
2148000	-511.578011	1	3506	0.238086	0.472457	0.472457	0.238086	0	0.245333	0.246417	0.253565	0.254685	0.052418	0.833962	0.838958	0.178413	
2149000	-511.744595	1	2903	0.281994	0.543684	0.543684	0.281994	0	0.248398	0.249013	0.250983	0.251605	0.097885	0.671427	0.397824	0.924549	
2150000	-511.766592	1	874	0.253346	0.522031	0.522031	0.253346	0	0.247345	0.245546	0.254480	0.252629	0.390973	0.026158	0.453370	0.365991	
2151000	-511.699409	1	3292	0.246102	0.505653	0.505653	0.246102	0	0.246704	0.244986	0.255043	0.253267	0.372247	0.944208	0.523936	0.847464	
2152000	-511.955947	1	3028	0.275216	0.461874	0.461874	0.275216	0	0.246628	0.257322	0.242762	0.253288	0.183831	0.898561	0.431568	0.488705	
2153000	-511.484700	1	170	0.277551	0.515317	0.515317	0.277551	0	0.247879	0.250424	0.249568	0.252130	0.365813	0.263161	0.219185	0.434975	
2154000	-513.066701	1	3256	0.265365	0.500098	0.500098	0.265365	1	0.247261	0.249946	0.250039	0.252754	0.799986	0.458314	0.676061	0.569464	
2155000	-511.840884	1	3431	0.272070	0.461436	0.461436	0.272070	0	0.246511	0.256911	0.243160	0.253419	0.445945	0.959397	0.840363	0.035914	
2156000	-511.615323	1	1314	0.284691	0.518193	0.518193	0.284691	0	0.248079	0.251086	0.248909	0.251926	0.901815	0.168356	0.120634	0.908955	
2157000	-512.455358	1	514	0.304736	0.509932	0.509932	0.304736	0	0.248314	0.253721	0.246300	0.251664	0.914367	0.178840	0.114390	0.301558	
2158000	-512.290086	1	2771	0.302072	0.570241	0.570241	0.302072	0	0.248965	0.249679	0.250319	0.251037	0.896036	0.442508	0.716665	0.905399	
2159000	-511.371167	1	1170	0.252616	0.467958	0.467958	0.252616	0	0.245942	0.251610	0.248362	0.254086	0.476017	0.773479	0.779506	0.278198	
2160000	-511.953073	1	222	0.227988	0.432742	0.432742	0.227988	0	0.242972	0.250879	0.249023	0.257127	0.648393	0.548383	0.054991	0.250096	
2161000	-511.874286	1	1181	0.284087	0.484380	0.484380	0.284087	0	0.247439	0.254769	0.245263	0.252528	0.612395	0.761252	0.447102	0.295024	
2162000	-511.558847	1	510	0.243879	0.448082	0.448082	0.243879	0	0.244790	0.253134	0.246831	0.255244	0.370439	0.314400	0.611276	0.189799	
2163000	-513.186079	1	327	0.260854	0.516124	0.516124	0.260854	1	0.247459	0.247579	0.252420	0.252542	0.589052	0.118576	0.532338	0.336544	
2164000	-513.136733	1	1958	0.254578	0.499713	0.499713	0.254578	1	0.246891	0.247726	0.252265	0.253118	0.643578	0.483226	0.799665	0.877963	
2165000	-511.859027	1	3808	0.292500	0.513644	0.513644	0.292500	0	0.248158	0.252328	0.247676	0.251838	0.297527	0.045013	0.493841	0.886224	
2166000	-511.318127	1	1815	0.257325	0.486599	0.486599	0.257325	0	0.246668	0.249904	0.250074	0.253354	0.911605	0.209337	0.944442	0.796993	
2167000	-511.743792	1	1272	0.241265	0.435792	0.435792	0.241265	0	0.244115	0.255444	0.244546	0.255895	0.370794	0.844952	0.412251	0.358801	
2168000	-512.013489	1	1144	0.243071	0.515049	0.515049	0.243071	0	0.246807	0.243389	0.256679	0.253125	0.745727	0.650826	0.132716	0.928213	
2169000	-511.859944	1	1660	0.273318	0.548344	0.548344	0.273318	0	0.248301	0.247661	0.252345	0.251693	0.493978	0.797160	0.384814	0.257012	
2170000	-512.185552	1	3027	0.304496	0.541824	0.541824	0.304496	0	0.248714	0.251227	0.248773	0.251286	0.422506	0.824508	0.895968	0.080515	
2171000	-512.645130	1	161	0.222693	0.402135	0.402135	0.222693	0	0.240710	0.259513	0.240495	0.259282	0.785194	0.344650	0.501136	0.944698	
2172000	-511.710335	1	1455	0.285530	0.501660	0.501660	0.285530	0	0.247815	0.252783	0.247223	0.252179	0.800481	0.932891	0.151001	0.404319	
2173000	-511.416051	1	2586	0.245227	0.468216	0.468216	0.245227	0	0.245589	0.249475	0.250487	0.254449	0.475908	0.308839	0.517807	0.102038	
2174000	-514.073485	1	2593	0.315949	0.479161	0.479161	0.315949	0	0.248007	0.258117	0.242005	0.251871	0.215309	0.003710	0.982665	0.526246	
2175000	-511.532829	1	884	0.259715	0.459318	0.459318	0.259715	0	0.245978	0.254959	0.245058	0.254005	0.530174	0.843783	0.153643	0.052750	
2176000	-512.527145	1	2958	0.228036	0.404084	0.404084	0.228036	0	0.241369	0.261407	0.238704	0.258520	0.728215	0.584473	0.640456	0.535443	
2177000	-511.414534	1	1452	0.247349	0.462869	0.462869	0.247349	0	0.245521	0.251078	0.248884	0.254517	0.879555	0.574859	0.536718	0.114142	
2178000	-512.142244	1	1308	0.251989	0.425321	0.425321	0.251989	0	0.244282	0.261987	0.238233	0.255499	0.071189	0.798278	0.783436	0.538993	
2179000	-511.942159	1	3064	0.268123	0.450926	0.450926	0.268123	0	0.246043	0.258468	0.241643	0.253846	0.090379	0.916618	0.602071	0.259946	
2180000	-511.697041	1	2024	0.252945	0.443453	0.443453	0.252945	0	0.245105	0.256939	0.243109	0.254847	0.243325	0.574272	0.541354	0.022681	
2181000	-513.357927	1	78	0.243659	0.494611	0.494611	0.243659	1	0.246305	0.245358	0.254658	0.253679	0.087554	0.105050	0.159355	0.095891	
2182000	-511.513700	1	1546	0.252060	0.453466	0.453466	0.252060	0	0.245432	0.254325	0.245671	0.254572	0.692618	0.379176	0.550635	0.561638	
2183000	-514.661148	1	3647	0.196284	0.468770	0.468770	0.196284	0	0.240771	0.222988	0.278401	0.257840	0.057267	0.509074	0.295594	0.942680	
2184000	-511.754371	1	3658	0.237842	0.435880	0.435880	0.237842	0	0.243888	0.254173	0.245787	0.256152	0.254387	0.504448	0.218384	0.911448	
2185000	-511.962774	1	278	0.238403	0.424803	0.424803	0.238403	0	0.243401	0.257796	0.242239	0.256565	0.952058	0.118826	0.978319	0.347340	
2186000	-512.201407	1	597	0.281656	0.463965	0.463965	0.281656	0	0.246885	0.257820	0.242282	0.253013	0.780290	0.463998	0.557781	0.688777	
2187000	-513.392673	1	3840	0.238888	0.480823	0.480823	0.238888	1	0.245652	0.245486	0.254517	0.254345	0.949531	0.771584	0.432831	0.358575	
2188000	-511.429546	1	1571	0.274053	0.510197	0.510197	0.274053	0	0.247704	0.250383	0.249607	0.252306	0.101419	0.188502	0.860660	0.732749	
2189000	-511.495927	1	1484	0.277744	0.501777	0.501777	0.277744	0	0.247636	0.251770	0.248225	0.252369	0.496839	0.941324	0.791469	0.257774	
2190000	-514.476705	1	3270	0.292555	0.468471	0.468471	0.292555	1	0.247291	0.258213	0.241906	0.252590	0.396298	0.585685	0.767277	0.792904	
2191000	-511.907939	1	2386	0.292272	0.549765	0.549765	0.292272	0	0.248636	0.249774	0.250223	0.251368	0.191076	0.802991	0.848943	0.139603	
2192000	-511.393351	1	3332	0.271507	0.499318	0.499318	0.271507	0	0.247423	0.251098	0.248891	0.252587	0.744614	0.669484	0.449855	0.003220	
2193000	-511.526105	1	637	0.240166	0.473757	0.473757	0.240166	0	0.245497	0.246938	0.253040	0.254525	0.320511	0.335016	0.949841	0.451060	
2194000	-511.633178	1	1990	0.262876	0.527389	0.527389	0.262876	0	0.247731	0.247147	0.252859	0.252263	0.187213	0.897464	0.040295	0.716450	
2195000	-511.451263	1	1208	0.243524	0.474805	0.474805	0.243524	0	0.245714	0.247874	0.252098	0.254315	0.447288	0.313532	0.529898	0.120310	
2196000	-514.666398	1	1451	0.211080	0.422296	0.422296	0.211080	1	0.240554	0.244266	0.255618	0.259562	0.343004	0.319484	0.891624	0.629270	
2197000	-514.265414	1	2142	0.307597	0.511727	0.511727	0.307597	1	0.248383	0.253752	0.246271	0.251594	0.895333	0.797576	0.662245	0.561902	
2198000	-512.205856	1	1851	0.283550	0.467483	0.467483	0.283550	0	0.247031	0.257408	0.242684	0.252878	0.635104	0.432726	0.980948	0.399412	
2199000	-511.781866	1	682	0.237190	0.434412	0.434412	0.237190	0	0.243776	0.254343	0.245617	0.256264	0.429158	0.023791	0.896474	0.440130	
2200000	-512.981157	1	432	0.209784	0.406404	0.406404	0.209784	0	0.239387	0.249285	0.250486	0.260842	0.190841	0.750777	0.834972	0.028821	
2201000	-511.707799	1	2939	0.243440	0.500451	0.500451	0.243440	0	0.246454	0.244699	0.255332	0.253515	0.937749	0.020556	0.498609	0.930757	
2202000	-511.337246	1	260	0.260542	0.497677	0.497677	0.260542	0	0.247054	0.249262	0.250721	0.252962	0.460761	0.423531	0.899412	0.213646	
2203000	-512.069810	1	3988	0.257350	0.540882	0.540882	0.257350	0	0.247821	0.245337	0.254697	0.252145	0.867331	0.965490	0.466590	0.534470	
2204000	-515.012965	1	2906	0.278990	0.432753	0.432753	0.278990	1	0.245807	0.264875	0.235524	0.253794	0.497231	0.473612	0.376045	0.644268	
2205000	-511.728623	1	632	0.233062	0.469254	0.469254	0.233062	0	0.244903	0.245031	0.254967	0.255100	0.863481	0.488185	0.606605	0.448226	
2206000	-512.011442	1	1594	0.228479	0.427277	0.427277	0.228479	0	0.242740	0.252778	0.247131	0.257350	0.443221	0.104521	0.041352	0.699956	
2207000	-511.353079	1	3935	0.263291	0.502649	0.502649	0.263291	0	0.247254	0.249282	0.250704	0.252760	0.695054	0.742121	0.792504	0.271803	
2208000	-511.339110	1	136	0.265552	0.492464	0.492464	0.265552	0	0.247097	0.250859	0.249125	0.252919	0.755663	0.825403	0.523757	0.298608	
2209000	-511.665653	1	3641	0.253359	0.445365	0.445365	0.253359	0	0.245200	0.256566	0.243474	0.254761	0.476001	0.764964	0.819357	0.072274	
2210000	-511.330605	1	3814	0.253583	0.480208	0.480208	0.253583	0	0.246347	0.249895	0.250078	0.253680	0.085437	0.863742	0.707210	0.713841	
2211000	-511.827183	1	1229	0.257579	0.531020	0.531020	0.257579	0	0.247651	0.245897	0.254126	0.252326	0.860854	0.475092	0.015233	0.019858	
2212000	-511.362495	1	3555	0.255415	0.470383	0.470383	0.255415	0	0.246139	0.251894	0.248083	0.253883	0.714087	0.643262	0.182224	0.274688	
2213000	-511.547938	1	954	0.270869	0.475987	0.475987	0.270869	0	0.246867	0.254123	0.245891	0.253119	0.475428	0.694967	0.457084	0.087918	
2214000	-513.042299	1	3981	0.288956	0.603472	0.603472	0.288956	0	0.249100	0.247770	0.252238	0.250891	0.009955	0.688523	0.081077	0.930613	
2215000	-511.316871	1	3680	0.257834	0.486183	0.486183	0.257834	0	0.246677	0.250074	0.249904	0.253345	0.444036	0.365802	0.711616	0.955402	
2216000	-511.387357	1	226	0.264662	0.508746	0.508746	0.264662	0	0.247423	0.248945	0.251044	0.252588	0.069501	0.035440	0.273245	0.154142	
2217000	-511.938969	1	755	0.230729	0.479604	0.479604	0.230729	0	0.245111	0.242584	0.257480	0.254825	0.863994	0.531140	0.223682	0.168250	
2218000	-511.896403	1	3444	0.272198	0.459200	0.459200	0.272198	0	0.246450	0.257380	0.242703	0.253467	0.245984	0.509112	0.040489	0.677440	
2219000	-512.202746	1	3968	0.240093	0.415962	0.415962	0.240093	0	0.243059	0.261577	0.238594	0.256770	0.166328	0.186040	0.446508	0.721679	
2220000	-512.361665	1	2454	0.281042	0.575073	0.575073	0.281042	0	0.248751	0.247626	0.252382	0.251240	0.412359	0.235400	0.299380	0.103169	
2221000	-513.480522	1	2365	0.271273	0.467849	0.467849	0.271273	1	0.246663	0.255571	0.244468	0.253297	0.966205	0.536156	0.715081	0.726953	
2222000	-513.534651	1	2475	0.262765	0.453771	0.453771	0.262765	1	0.245923	0.256790	0.243268	0.254019	0.819351	0.886579	0.541302	0.118457	
2223000	-511.918329	1	1659	0.279206	0.554356	0.554356	0.279206	0	0.248487	0.248156	0.251846	0.251511	0.763134	0.882997	0.712693	0.556999	
2224000	-511.416051	1	2586	0.245227	0.468216	0.468216	0.245227	0	0.245589	0.249475	0.250487	0.254449	0.720322	0.385052	0.520379	0.740978	
2225000	-511.552805	1	3006	0.239722	0.476297	0.476297	0.239722	0	0.245555	0.246406	0.253580	0.254459	0.323222	0.311245	0.596499	0.135012	
2226000	-511.330605	1	3814	0.253583	0.480208	0.480208	0.253583	0	0.246347	0.249895	0.250078	0.253680	0.920609	0.586503	0.277827	0.268617	
2227000	-511.546113	1	2707	0.240209	0.477410	0.477410	0.240209	0	0.245618	0.246409	0.253579	0.254395	0.873030	0.541149	0.831989	0.391427	
2228000	-513.414633	1	2413	0.240742	0.449615	0.449615	0.240742	1	0.244659	0.251721	0.248227	0.255392	0.176605	0.534551	0.189255	0.475629	
2229000	-513.310874	1	2667	0.242284	0.458851	0.458851	0.242284	1	0.245102	0.250270	0.249681	0.254946	0.414976	0.437635	0.146634	0.198874	
2230000	-511.375368	1	1597	0.248280	0.475826	0.475826	0.248280	0	0.245982	0.249138	0.250831	0.254049	0.278900	0.654543	0.676434	0.251532	
2231000	-511.926409	1	3569	0.266659	0.449422	0.449422	0.266659	0	0.245936	0.258547	0.241565	0.253952	0.031151	0.297247	0.503808	0.286302	
2232000	-511.346551	1	1919	0.266687	0.498411	0.498411	0.266687	0	0.247265	0.250372	0.249613	0.252749	0.452217	0.871797	0.098963	0.073331	
2233000	-511.400118	1	3507	0.257192	0.467171	0.467171	0.257192	0	0.246118	0.252881	0.247106	0.253896	0.681188	0.947136	0.783832	0.088277	
2234000	-511.887782	1	848	0.228713	0.466302	0.466302	0.228713	0	0.244483	0.243688	0.256331	0.255498	0.712496	0.665272	0.991727	0.924985	
2235000	-512.379962	1	1593	0.243218	0.411847	0.411847	0.243218	0	0.243048	0.264279	0.236027	0.256645	0.470054	0.405152	0.268110	0.503155	
2236000	-511.695228	1	3132	0.288094	0.524423	0.524423	0.288094	0	0.248239	0.250964	0.249032	0.251765	0.121524	0.187476	0.265535	0.001258	
2237000	-515.545763	1	1844	0.205100	0.471773	0.471773	0.205100	1	0.242307	0.229546	0.271216	0.256931	0.511934	0.441548	0.398476	0.930989	
2238000	-512.179510	1	3531	0.226466	0.419535	0.419535	0.226466	0	0.242145	0.254409	0.245506	0.257940	0.035907	0.282504	0.350781	0.341823	
2239000	-511.992692	1	3938	0.224542	0.444968	0.444968	0.224542	0	0.243243	0.245969	0.253971	0.256817	0.363495	0.128553	0.977470	0.111598	
2240000	-513.595001	1	2209	0.291608	0.505517	0.505517	0.291608	1	0.248008	0.253035	0.246975	0.251981	0.847179	0.207160	0.874384	0.691808	
2241000	-511.373801	1	3618	0.259271	0.502430	0.502430	0.259271	0	0.247120	0.248492	0.251496	0.252892	0.797060	0.244935	0.361107	0.215405	
2242000	-513.459055	1	959	0.334300	0.577083	0.577083	0.334300	0	0.249295	0.251082	0.248920	0.250704	0.562669	0.458514	0.289709	0.240133	
2243000	-511.525386	1	3754	0.273496	0.526058	0.526058	0.273496	0	0.247969	0.248993	0.251001	0.252038	0.683697	0.928004	0.965007	0.335697	
2244000	-511.404213	1	3585	0.251413	0.463117	0.463117	0.251413	0	0.245731	0.252176	0.247797	0.254297	0.763953	0.116102	0.062432	0.023068	
2245000	-511.338835	1	1630	0.252573	0.482232	0.482232	0.252573	0	0.246361	0.249353	0.250621	0.253665	0.920860	0.929651	0.357577	0.739433	
2246000	-511.672974	1	3580	0.234125	0.466261	0.466261	0.234125	0	0.244866	0.245947	0.254033	0.255155	0.531435	0.587052	0.892151	0.422011	
2247000	-512.216773	1	1638	0.257372	0.428138	0.428138	0.257372	0	0.244695	0.262429	0.237820	0.255056	0.587477	0.368507	0.543768	0.310655	
2248000	-512.083070	1	1557	0.301461	0.542326	0.542326	0.301461	0	0.248679	0.250970	0.249028	0.251322	0.787791	0.436564	0.313995	0.940677	
2249000	-513.186028	1	2527	0.247099	0.471341	0.471341	0.247099	1	0.245785	0.249511	0.250453	0.254251	0.736668	0.389014	0.647242	0.479224	
2250000	-512.887280	1	166	0.320334	0.544438	0.544438	0.320334	0	0.248925	0.252024	0.247982	0.251070	0.956605	0.723811	0.290049	0.112477	
2251000	-511.708365	1	1428	0.243477	0.437966	0.437966	0.243477	0	0.244350	0.255589	0.244409	0.255651	0.494918	0.044260	0.458183	0.377770	
2252000	-513.072933	1	1631	0.265998	0.504148	0.504148	0.265998	1	0.247366	0.249639	0.250348	0.252648	0.155575	0.349634	0.033662	0.348188	
2253000	-511.414849	1	1734	0.262362	0.510391	0.510391	0.262362	0	0.247389	0.248359	0.251633	0.252619	0.315524	0.897417	0.341351	0.111516	
2254000	-512.142244	1	1308	0.251989	0.425321	0.425321	0.251989	0	0.244282	0.261987	0.238233	0.255499	0.115292	0.673915	0.259120	0.147795	
2255000	-511.455780	1	2762	0.246880	0.457314	0.457314	0.246880	0	0.245304	0.252034	0.247930	0.254732	0.197229	0.287559	0.996822	0.355962	
2256000	-512.235739	1	3923	0.246751	0.530522	0.530522	0.246751	0	0.247296	0.243455	0.256617	0.252631	0.848764	0.270466	0.950890	0.583848	
2257000	-511.582598	1	2460	0.237022	0.456395	0.456395	0.237022	0	0.244687	0.248904	0.251042	0.255367	0.065081	0.913656	0.968455	0.041573	
2258000	-511.805398	1	268	0.261041	0.446909	0.446909	0.261041	0	0.245615	0.258014	0.242075	0.254296	0.003676	0.910226	0.163485	0.645319	
2259000	-511.451918	1	601	0.256108	0.506386	0.506386	0.256108	0	0.247102	0.247419	0.252578	0.252902	0.149082	0.160445	0.297886	0.533215	
2260000	-516.607235	1	2194	0.360811	0.663944	0.663944	0.360811	1	0.249749	0.249989	0.250011	0.250251	0.221538	0.807967	0.893988	0.540903	
2261000	-511.935756	1	1802	0.266404	0.448697	0.448697	0.266404	0	0.245901	0.258670	0.241446	0.253983	0.993066	0.828831	0.023079	0.601033	
2262000	-512.030582	1	422	0.287751	0.561838	0.561838	0.287751	0	0.248706	0.248785	0.251215	0.251295	0.710636	0.262773	0.710163	0.144622	
2263000	-511.406805	1	3821	0.267049	0.481532	0.481532	0.267049	0	0.246883	0.252603	0.247391	0.253123	0.828015	0.674378	0.758635	0.321449	
2264000	-513.629125	1	3219	0.200212	0.441382	0.441382	0.200212	0	0.239947	0.230655	0.269926	0.259472	0.420089	0.823904	0.354695	0.827087	
2265000	-514.137511	1	2361	0.302300	0.642886	0.642886	0.302300	0	0.249447	0.248270	0.251735	0.250548	0.395882	0.716674	0.680380	0.697060	
2266000	-511.616870	1	824	0.269591	0.468869	0.468869	0.269591	0	0.246636	0.255100	0.244929	0.253335	0.670154	0.454656	0.407438	0.921507	
2267000	-511.549807	1	3526	0.243630	0.489234	0.489234	0.243630	0	0.246154	0.245954	0.254049	0.253843	0.964986	0.059292	0.566744	0.979199	
2268000	-511.809356	1	2496	0.267133	0.540994	0.540994	0.267133	0	0.248064	0.247090	0.252919	0.251927	0.778980	0.274954	0.426621	0.678539	
2269000	-511.746951	1	561	0.262809	0.451723	0.451723	0.262809	0	0.245858	0.257256	0.242815	0.254072	0.563902	0.544461	0.463281	0.207965	
2270000	-511.451918	1	601	0.256108	0.506386	0.506386	0.256108	0	0.247102	0.247419	0.252578	0.252902	0.728127	0.673232	0.307289	0.736610	
2271000	-512.019651	1	3893	0.296300	0.554613	0.554613	0.296300	0	0.248745	0.249892	0.250105	0.251258	0.000723	0.040530	0.760686	0.858104	
2272000	-511.513168	1	3473	0.279389	0.516173	0.516173	0.279389	0	0.247935	0.250598	0.249394	0.252073	0.760872	0.444099	0.347100	0.189869	
2273000	-512.248186	1	2415	0.219283	0.448325	0.448325	0.219283	0	0.242891	0.242412	0.257603	0.257095	0.058198	0.275145	0.487909	0.523552	
2274000	-511.771948	1	1693	0.241846	0.500623	0.500623	0.241846	0	0.246385	0.244202	0.255840	0.253574	0.295389	0.395527	0.529986	0.830773	
2275000	-511.921426	1	3339	0.251484	0.526210	0.526210	0.251484	0	0.247370	0.244850	0.255190	0.252591	0.445228	0.788813	0.513040	0.497299	
2276000	-512.606454	1	621	0.256070	0.416049	0.416049	0.256070	0	0.244052	0.266311	0.234141	0.255496	0.800251	0.576894	0.316063	0.452753	
2277000	-511.584779	1	3954	0.241674	0.486900	0.486900	0.241674	0	0.245989	0.245626	0.254380	0.254005	0.042025	0.655453	0.128719	0.924514	
2278000	-511.398389	1	381	0.258745	0.504765	0.504765	0.258745	0	0.247155	0.248148	0.251842	0.252855	0.963977	0.261090	0.972201	0.810553	
2279000	-513.380923	1	3838	0.244147	0.497966	0.497966	0.244147	1	0.246419	0.245154	0.254868	0.253560	0.107816	0.695842	0.171817	0.667188	
2280000	-511.341324	1	664	0.252016	0.480508	0.480508	0.252016	0	0.246289	0.249454	0.250519	0.253738	0.438412	0.794620	0.550495	0.257702	
2281000	-511.712884	1	431	0.247204	0.438921	0.438921	0.247204	0	0.244613	0.256510	0.243517	0.255361	0.845880	0.987271	0.021954	0.748238	
2282000	-511.513645	1	3262	0.250953	0.452827	0.452827	0.250953	0	0.245354	0.254165	0.245826	0.254654	0.996530	0.216864	0.671920	0.055266	
2283000	-511.522929	1	1707	0.239300	0.464267	0.464267	0.239300	0	0.245122	0.248221	0.251737	0.254920	0.000497	0.260218	0.183266	0.391137	
2284000	-511.545011	1	740	0.248572	0.449515	0.449515	0.248572	0	0.245109	0.254244	0.245744	0.254903	0.263220	0.554701	0.423476	0.560319	
2285000	-511.500305	1	3070	0.249955	0.453377	0.453377	0.249955	0	0.245323	0.253766	0.246218	0.254692	0.079109	0.119658	0.901124	0.355402	
2286000	-511.925952	1	1741	0.238691	0.426478	0.426478	0.238691	0	0.243504	0.257351	0.242672	0.256472	0.081515	0.687706	0.511874	0.421326	
2287000	-511.606196	1	1160	0.263214	0.459427	0.459427	0.263214	0	0.246124	0.255684	0.244350	0.253841	0.149827	0.297363	0.743853	0.563545	
2288000	-511.365409	1	2866	0.249250	0.477421	0.477421	0.249250	0	0.246076	0.249167	0.250803	0.253954	0.484664	0.073493	0.264629	0.333993	
2289000	-511.972803	1	285	0.224989	0.448421	0.448421	0.224989	0	0.243439	0.245399	0.254556	0.256606	0.301051	0.209361	0.537443	0.621632	
2290000	-511.622258	1	567	0.279993	0.533645	0.533645	0.279993	0	0.248222	0.249365	0.250629	0.251784	0.111049	0.407568	0.840334	0.789402	
