Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN5.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1414212132
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_KNOWN5.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Estimating values for taxa and Sites
	Sylvia_mystacea     
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Sylvia_mystacea - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-301.041336	1	1170	0.415154	0.415154	0.415154	0.415154	1.338547	3.062416	0.415154	1.338547	1	0.279734	0.219164	0.349625	0.151477	
502000	-302.711536	1	1537	0.532609	0.532609	0.532609	0.532609	1.373915	3.553725	0.000000	1.373915	1	0.463425	0.519326	0.016679	0.000571	
503000	-305.478840	1	621	0.632471	0.632471	0.632471	0.632471	2.210251	2.210251	0.000000	0.632471	1	0.433146	0.528639	0.037966	0.000249	
504000	-301.166606	1	1850	0.395188	0.395188	0.395188	0.395188	1.266692	2.624060	0.395188	1.266692	1	0.277279	0.220228	0.345739	0.156754	
505000	-304.171284	1	1034	0.913047	0.389153	0.913047	0.389153	0.913047	2.744877	0.389153	0.913047	1	0.325040	0.398900	0.191256	0.084804	
506000	-306.709103	1	1972	0.751249	0.751249	0.751249	0.751249	2.131419	2.131419	0.000000	0.751249	1	0.412147	0.555178	0.032403	0.000273	
507000	-306.073647	1	2798	0.511944	0.511944	0.511944	0.511944	1.872306	1.872306	0.000000	0.511944	1	0.460824	0.499317	0.039682	0.000178	
508000	-303.655024	1	610	0.657230	0.288111	0.657230	0.657230	2.416063	2.416063	0.288111	0.657230	1	0.311275	0.375378	0.236448	0.076899	
509000	-301.406520	1	2602	0.363923	0.363923	0.363923	0.363923	1.138637	3.214188	0.363923	1.138637	1	0.305633	0.199834	0.375144	0.119389	
510000	-305.731653	1	46	0.510108	0.510108	0.510108	0.510108	2.180806	2.180806	0.000000	0.510108	1	0.459263	0.492555	0.047954	0.000229	
511000	-305.619363	1	1607	0.372155	0.372155	0.372155	0.372155	2.145794	2.145794	0.372155	2.145794	1	0.160703	0.158771	0.324148	0.356378	
512000	-305.424493	1	468	0.292868	0.292868	0.292868	0.292868	1.969835	1.969835	0.292868	1.969835	1	0.138153	0.117679	0.362317	0.381851	
513000	-301.041336	1	1170	0.415154	0.415154	0.415154	0.415154	1.338547	3.062416	0.415154	1.338547	1	0.279734	0.219164	0.349625	0.151477	
514000	-301.041336	1	1170	0.415154	0.415154	0.415154	0.415154	1.338547	3.062416	0.415154	1.338547	1	0.279734	0.219164	0.349625	0.151477	
515000	-301.166606	1	1850	0.395188	0.395188	0.395188	0.395188	1.266692	2.624060	0.395188	1.266692	1	0.277279	0.220228	0.345739	0.156754	
516000	-302.690510	1	218	0.540773	0.540773	0.540773	0.540773	1.595855	3.085038	0.000000	1.595855	1	0.444902	0.534719	0.019530	0.000850	
517000	-306.032126	1	933	0.506736	0.506736	0.506736	0.506736	2.220828	2.220828	0.506736	0.506736	1	0.242844	0.217353	0.429532	0.110271	
518000	-301.894467	1	713	0.494655	0.494655	0.494655	0.494655	1.342936	3.029553	0.494655	1.342936	1	0.296875	0.259849	0.301777	0.141498	
519000	-301.894467	1	713	0.494655	0.494655	0.494655	0.494655	1.342936	3.029553	0.494655	1.342936	1	0.296875	0.259849	0.301777	0.141498	
520000	-305.710397	1	249	0.528700	0.528700	0.528700	0.528700	2.308645	2.308645	0.000000	0.528700	1	0.454282	0.497235	0.048235	0.000248	
521000	-305.508064	1	1402	0.627424	0.627424	0.627424	0.627424	2.276618	2.276618	0.000000	0.627424	1	0.433822	0.526428	0.039491	0.000260	
