Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
437	0.443936	563	0.667851	9.035380	0	0.000000	0.570000	0.533763	
472	0.487288	528	0.721591	9.035380	0	0.000000	0.611000	0.533895	
426	0.500000	574	0.710801	9.035380	0	0.000000	0.621000	0.534043	
435	0.485057	565	0.686726	9.035380	0	0.000000	0.599000	0.534154	
449	0.374165	551	0.700544	9.035380	0	0.000000	0.554000	0.534188	
466	0.309013	534	0.719101	9.035380	0	0.000000	0.528000	0.534177	
430	0.295349	570	0.670175	9.035380	0	0.000000	0.509000	0.534135	
411	0.350365	589	0.699491	9.035380	0	0.000000	0.556000	0.534172	
440	0.213636	560	0.660714	9.035380	0	0.000000	0.464000	0.534053	
416	0.331731	584	0.702055	9.035380	0	0.000000	0.548000	0.534077	
450	0.315556	550	0.656364	9.035380	0	0.000000	0.503000	0.534024	
444	0.162162	556	0.651079	9.035380	0	0.000000	0.434000	0.533856	
453	0.121413	547	0.680073	9.035380	0	0.000000	0.427000	0.533677	
448	0.354911	552	0.646739	9.035380	0	0.000000	0.516000	0.533647	
420	0.226190	580	0.701724	9.035380	0	0.000000	0.502000	0.533594	
465	0.305376	535	0.728972	9.035380	0	0.000000	0.532000	0.533592	
449	0.329621	551	0.702359	9.035380	0	0.000000	0.535000	0.533594	
404	0.225248	596	0.691275	9.035380	0	0.000000	0.503000	0.533543	
459	0.455338	541	0.728281	9.035380	0	0.000000	0.603000	0.533659	
485	0.344330	515	0.722330	9.035380	0	0.000000	0.539000	0.533667	
410	0.304878	590	0.671186	9.035380	0	0.000000	0.521000	0.533646	
419	0.467780	581	0.645439	9.035380	0	0.000000	0.571000	0.533708	
464	0.409483	536	0.695896	9.035380	0	0.000000	0.563000	0.533757	
455	0.312088	545	0.706422	9.035380	0	0.000000	0.527000	0.533745	
479	0.315240	521	0.687140	9.035380	0	0.000000	0.509000	0.533705	
460	0.330435	540	0.661111	9.035380	0	0.000000	0.509000	0.533664	
439	0.291572	561	0.696970	9.035380	0	0.000000	0.519000	0.533640	
446	0.262332	554	0.703971	9.035380	0	0.000000	0.507000	0.533597	
450	0.208889	550	0.723636	9.035380	0	0.000000	0.492000	0.533529	
428	0.128505	572	0.674825	9.035380	0	0.000000	0.441000	0.533378	
429	0.473193	571	0.690018	9.035380	0	0.000000	0.597000	0.533481	
443	0.363431	557	0.709156	9.035380	0	0.000000	0.556000	0.533518	
454	0.455947	546	0.703297	9.035380	0	0.000000	0.591000	0.533611	
450	0.197778	550	0.712727	9.035380	0	0.000000	0.481000	0.533526	
468	0.273504	532	0.672932	9.035380	0	0.000000	0.486000	0.533449	
453	0.300221	547	0.683729	9.035380	0	0.000000	0.510000	0.533411	
478	0.359833	522	0.703065	9.035380	0	0.000000	0.539000	0.533420	
463	0.192225	537	0.689013	9.035380	0	0.000000	0.459000	0.533300	
424	0.169811	576	0.708333	9.035380	0	0.000000	0.480000	0.533215	
414	0.415459	586	0.675768	9.035380	0	0.000000	0.568000	0.533270	
441	0.206349	559	0.695886	9.035380	0	0.000000	0.480000	0.533185	
438	0.271689	562	0.729537	9.035380	0	0.000000	0.529000	0.533178	
427	0.435597	573	0.692845	9.035380	0	0.000000	0.583000	0.533258	
452	0.491150	548	0.673358	9.035380	0	0.000000	0.591000	0.533350	
464	0.295259	536	0.723881	9.035380	0	0.000000	0.525000	0.533337	
450	0.333333	550	0.674545	9.035380	0	0.000000	0.521000	0.533317	
429	0.463869	571	0.674256	9.035380	0	0.000000	0.584000	0.533398	
457	0.450766	543	0.703499	9.035380	0	0.000000	0.588000	0.533484	
452	0.336283	548	0.677007	9.035380	0	0.000000	0.523000	0.533468	
440	0.463636	560	0.687500	9.035380	0	0.000000	0.589000	0.533555	
479	0.442589	521	0.675624	9.035380	0	0.000000	0.564000	0.533603	
430	0.339535	570	0.636842	9.035380	0	0.000000	0.509000	0.533565	
424	0.403302	576	0.689236	9.035380	0	0.000000	0.568000	0.533619	
431	0.415313	569	0.683656	9.035380	0	0.000000	0.568000	0.533673	
444	0.490991	556	0.645683	9.035380	0	0.000000	0.577000	0.533741	
491	0.224033	509	0.673870	9.035380	0	0.000000	0.453000	0.533614	
455	0.430769	545	0.664220	9.035380	0	0.000000	0.558000	0.533652	
458	0.283843	542	0.690037	9.035380	0	0.000000	0.504000	0.533606	
479	0.150313	521	0.687140	9.035380	0	0.000000	0.430000	0.533445	
426	0.150235	574	0.668990	9.035380	0	0.000000	0.448000	0.533312	
459	0.183007	541	0.665434	9.035380	0	0.000000	0.444000	0.533173	
454	0.350220	546	0.692308	9.035380	0	0.000000	0.537000	0.533179	
485	0.389691	515	0.695146	9.035380	0	0.000000	0.547000	0.533200	
458	0.244541	542	0.760148	9.035380	0	0.000000	0.524000	0.533186	
464	0.327586	536	0.682836	9.035380	0	0.000000	0.518000	0.533163	
461	0.251627	539	0.732839	9.035380	0	0.000000	0.511000	0.533129	
491	0.478615	509	0.658153	9.035380	0	0.000000	0.570000	0.533185	
440	0.095455	560	0.662500	9.035380	0	0.000000	0.413000	0.533001	
418	0.373206	582	0.676976	9.035380	0	0.000000	0.550000	0.533027	
444	0.481982	556	0.694245	9.035380	0	0.000000	0.600000	0.533129	
478	0.236402	522	0.737548	9.035380	0	0.000000	0.498000	0.533076	
442	0.364253	558	0.713262	9.035380	0	0.000000	0.559000	0.533115	
460	0.367391	540	0.742593	9.035380	0	0.000000	0.570000	0.533171	
431	0.366589	569	0.653779	9.035380	0	0.000000	0.530000	0.533167	
487	0.219713	513	0.754386	9.035380	0	0.000000	0.494000	0.533107	
450	0.088889	550	0.714545	9.035380	0	0.000000	0.433000	0.532955	
435	0.397701	565	0.704425	9.035380	0	0.000000	0.571000	0.533013	
468	0.401709	532	0.686090	9.035380	0	0.000000	0.553000	0.533043	
421	0.334917	579	0.735751	9.035380	0	0.000000	0.567000	0.533094	
439	0.412301	561	0.704100	9.035380	0	0.000000	0.576000	0.533159	
437	0.439359	563	0.699822	9.035380	0	0.000000	0.586000	0.533239	
475	0.452632	525	0.645714	9.035380	0	0.000000	0.554000	0.533270	
443	0.467269	557	0.692998	9.035380	0	0.000000	0.593000	0.533360	
448	0.254464	552	0.688406	9.035380	0	0.000000	0.494000	0.533301	
443	0.309255	557	0.741472	9.035380	0	0.000000	0.550000	0.533326	
437	0.270023	563	0.705151	9.035380	0	0.000000	0.515000	0.533298	
441	0.374150	559	0.731664	9.035380	0	0.000000	0.574000	0.533359	
401	0.436409	599	0.649416	9.035380	0	0.000000	0.564000	0.533405	
454	0.418502	546	0.697802	9.035380	0	0.000000	0.571000	0.533461	
445	0.103371	555	0.646847	9.035380	0	0.000000	0.405000	0.533270	
426	0.363850	574	0.649826	9.035380	0	0.000000	0.528000	0.533262	
448	0.426339	552	0.693841	9.035380	0	0.000000	0.574000	0.533322	
476	0.342437	524	0.687023	9.035380	0	0.000000	0.523000	0.533307	
396	0.383838	604	0.677152	9.035380	0	0.000000	0.561000	0.533348	
442	0.205882	558	0.711470	9.035380	0	0.000000	0.488000	0.533281	
461	0.342733	539	0.723562	9.035380	0	0.000000	0.548000	0.533303	
432	0.372685	568	0.697183	9.035380	0	0.000000	0.557000	0.533337	
420	0.407143	580	0.717241	9.035380	0	0.000000	0.587000	0.533416	
428	0.271028	572	0.636364	9.035380	0	0.000000	0.480000	0.533338	
452	0.389381	548	0.689781	9.035380	0	0.000000	0.554000	0.533368	
493	0.324544	507	0.715976	9.035380	0	0.000000	0.523000	0.533353	
443	0.489842	557	0.687612	9.035380	0	0.000000	0.600000	0.533450	
425	0.355294	575	0.673043	9.035380	0	0.000000	0.538000	0.533457	
392	0.229592	608	0.718750	9.035380	0	0.000000	0.527000	0.533448	
450	0.371111	550	0.745455	9.035380	0	0.000000	0.577000	0.533511	
408	0.365196	592	0.692568	9.035380	0	0.000000	0.559000	0.533548	
445	0.251685	555	0.722523	9.035380	0	0.000000	0.513000	0.533518	
471	0.229299	529	0.731569	9.035380	0	0.000000	0.495000	0.533462	
430	0.297674	570	0.722807	9.035380	0	0.000000	0.540000	0.533472	
404	0.428218	596	0.711409	9.035380	0	0.000000	0.597000	0.533563	
439	0.348519	561	0.702317	9.035380	0	0.000000	0.547000	0.533583	
460	0.445652	540	0.642593	9.035380	0	0.000000	0.552000	0.533609	
480	0.425000	520	0.692308	9.035380	0	0.000000	0.564000	0.533653	
448	0.352679	552	0.715580	9.035380	0	0.000000	0.553000	0.533681	
433	0.436490	567	0.707231	9.035380	0	0.000000	0.590000	0.533761	
460	0.243478	540	0.712963	9.035380	0	0.000000	0.497000	0.533709	
464	0.346983	536	0.652985	9.035380	0	0.000000	0.511000	0.533676	
387	0.289406	613	0.745514	9.035380	0	0.000000	0.569000	0.533727	
444	0.220721	556	0.669065	9.035380	0	0.000000	0.470000	0.533636	
429	0.363636	571	0.674256	9.035380	0	0.000000	0.541000	0.533646	
424	0.280660	576	0.685764	9.035380	0	0.000000	0.514000	0.533619	
426	0.441315	574	0.682927	9.035380	0	0.000000	0.580000	0.533684	
451	0.476718	549	0.683060	9.035380	0	0.000000	0.590000	0.533764	
448	0.345982	552	0.663043	9.035380	0	0.000000	0.521000	0.533746	
453	0.392936	547	0.705667	9.035380	0	0.000000	0.564000	0.533789	
457	0.059081	543	0.699816	9.035380	0	0.000000	0.407000	0.533610	
484	0.088843	516	0.684109	9.035380	0	0.000000	0.396000	0.533416	
431	0.250580	569	0.636204	9.035380	0	0.000000	0.470000	0.533327	
453	0.459161	547	0.696527	9.035380	0	0.000000	0.589000	0.533405	
421	0.396675	579	0.740933	9.035380	0	0.000000	0.596000	0.533493	
436	0.348624	564	0.684397	9.035380	0	0.000000	0.538000	0.533499	
441	0.285714	559	0.670841	9.035380	0	0.000000	0.501000	0.533454	
468	0.309829	532	0.723684	9.035380	0	0.000000	0.530000	0.533449	
431	0.225058	569	0.695958	9.035380	0	0.000000	0.493000	0.533393	
408	0.370098	592	0.704392	9.035380	0	0.000000	0.568000	0.533441	
401	0.428928	599	0.744574	9.035380	0	0.000000	0.618000	0.533558	
458	0.393013	542	0.690037	9.035380	0	0.000000	0.554000	0.533587	
419	0.539379	581	0.722892	9.035380	0	0.000000	0.646000	0.533743	
421	0.382423	579	0.696028	9.035380	0	0.000000	0.564000	0.533785	
422	0.327014	578	0.678201	9.035380	0	0.000000	0.530000	0.533779	
444	0.470721	556	0.660072	9.035380	0	0.000000	0.576000	0.533838	
466	0.171674	534	0.720974	9.035380	0	0.000000	0.465000	0.533743	
445	0.206742	555	0.661261	9.035380	0	0.000000	0.459000	0.533640	
459	0.405229	541	0.685767	9.035380	0	0.000000	0.557000	0.533672	
484	0.386364	516	0.687984	9.035380	0	0.000000	0.542000	0.533683	
497	0.388330	503	0.701789	9.035380	0	0.000000	0.546000	0.533700	
495	0.480808	505	0.683168	9.035380	0	0.000000	0.583000	0.533768	
484	0.475207	516	0.705426	9.035380	0	0.000000	0.594000	0.533850	
454	0.484581	546	0.717949	9.035380	0	0.000000	0.612000	0.533957	
457	0.442013	543	0.716390	9.035380	0	0.000000	0.591000	0.534035	
432	0.483796	568	0.686620	9.035380	0	0.000000	0.599000	0.534123	
483	0.393375	517	0.671180	9.035380	0	0.000000	0.537000	0.534127	
451	0.474501	549	0.673953	9.035380	0	0.000000	0.584000	0.534195	
420	0.307143	580	0.691379	9.035380	0	0.000000	0.530000	0.534189	
464	0.237069	536	0.727612	9.035380	0	0.000000	0.500000	0.534143	
474	0.158228	526	0.716730	9.035380	0	0.000000	0.452000	0.534032	
459	0.004357	541	0.646950	9.035380	0	0.000000	0.352000	0.533786	
391	0.184143	609	0.650246	9.035380	0	0.000000	0.468000	0.533697	
448	0.296875	552	0.686594	9.035380	0	0.000000	0.512000	0.533668	
423	0.479905	577	0.668977	9.035380	0	0.000000	0.589000	0.533742	
443	0.462754	557	0.689408	9.035380	0	0.000000	0.589000	0.533816	
445	0.137079	555	0.695495	9.035380	0	0.000000	0.447000	0.533700	
440	0.397727	560	0.689286	9.035380	0	0.000000	0.561000	0.533737	
417	0.400480	583	0.662093	9.035380	0	0.000000	0.553000	0.533762	
418	0.071770	582	0.682131	9.035380	0	0.000000	0.427000	0.533620	
428	0.366822	572	0.695804	9.035380	0	0.000000	0.555000	0.533648	
444	0.448198	556	0.665468	9.035380	0	0.000000	0.569000	0.533695	
479	0.455115	521	0.727447	9.035380	0	0.000000	0.597000	0.533780	
467	0.351178	533	0.684803	9.035380	0	0.000000	0.529000	0.533773	
463	0.185745	537	0.748603	9.035380	0	0.000000	0.488000	0.533712	
428	0.338785	572	0.683566	9.035380	0	0.000000	0.536000	0.533715	
438	0.180365	562	0.665480	9.035380	0	0.000000	0.453000	0.533609	
424	0.299528	576	0.633681	9.035380	0	0.000000	0.492000	0.533554	
440	0.475000	560	0.691071	9.035380	0	0.000000	0.596000	0.533636	
436	0.293578	564	0.652482	9.035380	0	0.000000	0.496000	0.533586	
425	0.388235	575	0.690435	9.035380	0	0.000000	0.562000	0.533624	
414	0.318841	586	0.656997	9.035380	0	0.000000	0.517000	0.533602	
448	0.310268	552	0.673913	9.035380	0	0.000000	0.511000	0.533572	
405	0.350617	595	0.685714	9.035380	0	0.000000	0.550000	0.533594	
431	0.440835	569	0.660808	9.035380	0	0.000000	0.566000	0.533636	
455	0.428571	545	0.662385	9.035380	0	0.000000	0.556000	0.533666	
417	0.553957	583	0.682676	9.035380	0	0.000000	0.629000	0.533790	
431	0.457077	569	0.713533	9.035380	0	0.000000	0.603000	0.533881	
466	0.429185	534	0.756554	9.035380	0	0.000000	0.604000	0.533972	
478	0.416318	522	0.664751	9.035380	0	0.000000	0.546000	0.533988	
474	0.329114	526	0.730038	9.035380	0	0.000000	0.540000	0.533995	
438	0.312785	562	0.676157	9.035380	0	0.000000	0.517000	0.533973	
417	0.424460	583	0.698113	9.035380	0	0.000000	0.584000	0.534038	
462	0.196970	538	0.669145	9.035380	0	0.000000	0.451000	0.533931	
452	0.336283	548	0.686131	9.035380	0	0.000000	0.528000	0.533923	
469	0.134328	531	0.672316	9.035380	0	0.000000	0.420000	0.533776	
432	0.284722	568	0.670775	9.035380	0	0.000000	0.504000	0.533737	
461	0.214751	539	0.710575	9.035380	0	0.000000	0.482000	0.533671	
423	0.122931	577	0.698440	9.035380	0	0.000000	0.455000	0.533569	
438	0.082192	562	0.683274	9.035380	0	0.000000	0.420000	0.533423	
442	0.171946	558	0.724014	9.035380	0	0.000000	0.480000	0.533355	
418	0.397129	582	0.668385	9.035380	0	0.000000	0.555000	0.533383	
437	0.258581	563	0.658970	9.035380	0	0.000000	0.484000	0.533319	
478	0.294979	522	0.655172	9.035380	0	0.000000	0.483000	0.533255	
427	0.341920	573	0.710297	9.035380	0	0.000000	0.553000	0.533280	
425	0.202353	575	0.673043	9.035380	0	0.000000	0.473000	0.533203	
450	0.173333	550	0.672727	9.035380	0	0.000000	0.448000	0.533095	
375	0.173333	625	0.697600	9.035380	0	0.000000	0.501000	0.533054	
444	0.340090	556	0.685252	9.035380	0	0.000000	0.532000	0.533053	
468	0.418803	532	0.691729	9.035380	0	0.000000	0.564000	0.533092	
429	0.235431	571	0.686515	9.035380	0	0.000000	0.493000	0.533041	
410	0.412195	590	0.703390	9.035380	0	0.000000	0.584000	0.533106	
434	0.237327	566	0.740283	9.035380	0	0.000000	0.522000	0.533092	
454	0.224670	546	0.695971	9.035380	0	0.000000	0.482000	0.533027	
414	0.330918	586	0.692833	9.035380	0	0.000000	0.543000	0.533040	
435	0.360920	565	0.727434	9.035380	0	0.000000	0.568000	0.533084	
434	0.479263	566	0.694346	9.035380	0	0.000000	0.601000	0.533169	
430	0.402326	570	0.740351	9.035380	0	0.000000	0.595000	0.533247	
471	0.348195	529	0.712665	9.035380	0	0.000000	0.541000	0.533257	
435	0.422989	565	0.661947	9.035380	0	0.000000	0.558000	0.533288	
457	0.380744	543	0.674033	9.035380	0	0.000000	0.540000	0.533296	
465	0.406452	535	0.708411	9.035380	0	0.000000	0.568000	0.533339	
451	0.082040	549	0.690346	9.035380	0	0.000000	0.416000	0.533193	
423	0.111111	577	0.731369	9.035380	0	0.000000	0.469000	0.533113	
452	0.500000	548	0.722628	9.035380	0	0.000000	0.622000	0.533223	
433	0.295612	567	0.744268	9.035380	0	0.000000	0.550000	0.533244	
432	0.351852	568	0.707746	9.035380	0	0.000000	0.554000	0.533270	
442	0.169683	558	0.689964	9.035380	0	0.000000	0.460000	0.533179	
467	0.449679	533	0.699812	9.035380	0	0.000000	0.583000	0.533241	
431	0.371230	569	0.708260	9.035380	0	0.000000	0.563000	0.533278	
487	0.250513	513	0.690058	9.035380	0	0.000000	0.476000	0.533207	
450	0.326667	550	0.703636	9.035380	0	0.000000	0.534000	0.533208	
447	0.319911	553	0.670886	9.035380	0	0.000000	0.514000	0.533184	
444	0.236486	556	0.643885	9.035380	0	0.000000	0.463000	0.533098	
