Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_PredDoDo.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1744172805
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_PredDoDo.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ.bin
Estimating values for taxa and Sites
	Raphus_cucullatus   
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Raphus_cucullatus - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-308.190417	1	2805	0.508306	0.508306	0.508306	0.508306	2.378752	2.378752	0.508306	0.508306	0	0.232721	0.204786	0.450527	0.111967	
502000	-306.054746	1	1729	0.648758	0.648758	0.648758	0.648758	1.949628	1.949628	0.000000	0.648758	1	0.431024	0.536970	0.031802	0.000204	
503000	-305.685930	1	1849	0.571102	0.571102	0.571102	0.571102	2.293233	2.293233	0.000000	0.571102	1	0.445229	0.510879	0.043641	0.000251	
504000	-305.937488	1	273	0.627941	0.627941	0.627941	0.627941	1.941311	1.941311	0.000000	0.627941	1	0.435168	0.532104	0.032529	0.000199	
505000	-301.746155	1	2330	0.348125	0.348125	0.348125	0.348125	1.109685	3.140423	0.348125	1.109685	1	0.304258	0.193473	0.383819	0.118450	
506000	-307.266733	1	782	0.495104	0.495104	0.495104	0.495104	1.570857	1.570857	0.495104	0.495104	1	0.280768	0.268042	0.343539	0.107651	
507000	-305.725750	1	2789	0.563937	0.563937	0.563937	0.563937	1.979089	1.979089	0.000000	0.563937	1	0.448461	0.513940	0.037402	0.000198	
508000	-301.855685	1	1222	0.445712	0.445712	0.445712	0.445712	1.170868	3.278551	0.445712	1.170868	1	0.326962	0.242922	0.317901	0.112214	
509000	-305.959641	1	106	0.563591	0.563591	0.563591	0.563591	1.883446	1.883446	0.000000	0.563591	1	0.448984	0.515822	0.035014	0.000181	
510000	-303.528805	1	2647	0.400891	0.400891	0.400891	0.400891	1.491100	3.917920	0.400891	1.491100	0	0.263994	0.189586	0.389064	0.157356	
511000	-301.693378	1	117	0.406819	0.406819	0.406819	0.406819	1.162523	2.530480	0.406819	1.162523	1	0.299578	0.238092	0.325182	0.137148	
512000	-305.851002	1	415	0.565570	0.565570	0.565570	0.565570	2.374274	2.374274	0.000000	0.565570	1	0.445932	0.508177	0.045629	0.000262	
513000	-305.983186	1	722	0.483014	0.483014	0.483014	0.483014	1.984509	1.984509	0.483014	0.483014	1	0.252940	0.223249	0.417869	0.105943	
514000	-305.799447	1	2879	0.609558	0.609558	0.609558	0.609558	1.964072	1.964072	0.000000	0.609558	1	0.438824	0.526986	0.033991	0.000200	
515000	-305.563885	1	1892	0.579436	0.579436	0.579436	0.579436	2.164492	2.164492	0.000000	0.579436	1	0.444176	0.515207	0.040386	0.000231	
516000	-301.638135	1	1463	0.401084	0.401084	0.401084	0.401084	1.098494	3.007066	0.401084	1.098494	1	0.324284	0.228268	0.335664	0.111783	
517000	-305.802364	1	2725	0.526778	0.526778	0.526778	0.526778	2.213726	2.213726	0.000000	0.526778	1	0.455318	0.497931	0.046516	0.000234	
518000	-307.264418	1	157	0.710216	0.710216	0.710216	0.710216	1.794795	1.794795	0.000000	0.710216	1	0.419988	0.553368	0.026458	0.000187	
519000	-302.905570	1	1482	0.505764	0.505764	0.505764	0.505764	1.450482	2.618302	0.000000	1.450482	1	0.454076	0.527317	0.017979	0.000627	
520000	-311.400699	1	2393	0.563745	0.563745	0.563745	0.563745	0.563745	2.976415	0.563745	0.563745	0	0.589336	0.247890	0.133873	0.028901	
521000	-305.590279	1	497	0.596370	0.596370	0.596370	0.596370	2.210870	2.210870	0.000000	0.596370	1	0.440401	0.519244	0.040114	0.000242	
522000	-302.935625	1	891	0.474816	0.474816	0.474816	0.474816	1.023161	3.379135	0.474816	1.023161	1	0.374108	0.258803	0.282031	0.085058	
523000	-305.916179	1	2562	0.614612	0.614612	0.614612	0.614612	1.924154	1.924154	0.000000	0.614612	1	0.437937	0.529076	0.032793	0.000194	
524000	-305.621643	1	2523	0.610193	0.610193	0.610193	0.610193	2.215161	2.215161	0.000000	0.610193	1	0.437558	0.522888	0.039309	0.000245	
525000	-306.911179	1	2428	0.388203	0.388203	0.388203	0.388203	2.051296	2.051296	0.388203	0.388203	1	0.233074	0.168362	0.510794	0.087770	
526000	-305.988499	1	2487	0.483093	0.483093	0.483093	0.483093	1.970317	1.970317	0.483093	0.483093	1	0.253728	0.224338	0.415960	0.105974	
527000	-303.489407	1	2674	1.043173	0.322799	0.322799	0.322799	1.043173	2.590648	0.322799	1.043173	1	0.450812	0.143071	0.297191	0.108926	
528000	-302.297238	1	1175	0.360309	0.360309	0.360309	0.360309	1.050577	2.386506	0.360309	1.050577	1	0.304734	0.222051	0.344810	0.128405	
529000	-303.810168	1	2723	0.751629	0.407590	0.407590	0.265849	2.149604	2.149604	0.265849	0.751629	0	0.237728	0.131317	0.455065	0.175890	
530000	-307.247867	1	2747	0.662795	0.662795	0.662795	0.662795	2.262233	2.262233	0.000000	0.662795	0	0.427112	0.535078	0.037543	0.000267	
531000	-301.429034	1	119	0.410651	0.410651	0.410651	0.410651	1.184269	2.768209	0.410651	1.184269	1	0.301858	0.233346	0.331954	0.132843	
532000	-307.424893	1	2677	0.586684	0.586684	0.586684	0.586684	1.889419	1.889419	0.000000	0.586684	0	0.443930	0.522319	0.033567	0.000184	
533000	-306.058931	1	172	0.521067	0.521067	0.521067	0.521067	2.042799	2.042799	0.521067	0.521067	1	0.253020	0.235766	0.398527	0.112686	
534000	-310.048227	1	2436	1.388218	0.476296	0.476296	0.476296	1.388218	1.388218	0.000000	1.388218	1	0.617374	0.350165	0.031454	0.001008	
535000	-306.274555	1	2880	0.493774	0.493774	0.493774	0.493774	2.251623	2.251623	0.493774	0.493774	1	0.241010	0.210993	0.440516	0.107481	
536000	-305.883066	1	2901	0.660384	0.660384	0.660384	0.660384	2.158582	2.158582	0.000000	0.660384	1	0.428005	0.536079	0.035669	0.000247	
537000	-307.102861	1	1014	0.746182	0.746182	0.746182	0.746182	1.988754	1.988754	0.000000	0.746182	1	0.413401	0.556609	0.029752	0.000239	
538000	-307.400790	1	284	0.658422	0.658422	0.658422	0.658422	2.398013	2.398013	0.000000	0.658422	0	0.427307	0.532281	0.040121	0.000290	
539000	-301.855685	1	1222	0.445712	0.445712	0.445712	0.445712	1.170868	3.278551	0.445712	1.170868	1	0.326962	0.242922	0.317901	0.112214	
540000	-306.216778	1	2430	0.533780	0.533780	0.533780	0.533780	1.898112	1.898112	0.533780	0.533780	1	0.261303	0.252193	0.371659	0.114845	
541000	-306.378908	1	2114	0.608107	0.608107	0.608107	0.608107	2.565141	2.565141	0.000000	0.608107	1	0.436157	0.518008	0.045535	0.000300	
542000	-308.120178	1	739	0.554223	0.554223	0.554223	0.554223	1.837303	1.837303	0.554223	0.554223	0	0.261391	0.260280	0.357794	0.120535	
543000	-305.573300	1	5	0.575469	0.575469	0.575469	0.575469	2.101838	2.101838	0.000000	0.575469	1	0.445346	0.515091	0.039343	0.000220	
544000	-302.797143	1	838	0.665667	0.277259	0.665667	0.277259	1.931957	1.931957	0.277259	0.665667	1	0.198368	0.240723	0.404616	0.156294	
545000	-301.746155	1	2330	0.348125	0.348125	0.348125	0.348125	1.109685	3.140423	0.348125	1.109685	1	0.304258	0.193473	0.383819	0.118450	
546000	-308.422442	1	1181	0.483718	0.483718	0.483718	0.483718	2.437167	2.437167	0.483718	0.483718	0	0.227969	0.191984	0.473077	0.106971	
547000	-305.974277	1	1305	0.539812	0.539812	0.539812	0.539812	2.375628	2.375628	0.000000	0.539812	1	0.451433	0.500090	0.048218	0.000259	
548000	-305.901504	1	487	0.616751	0.616751	0.616751	0.616751	2.395459	2.395459	0.000000	0.616751	1	0.435333	0.522162	0.042228	0.000277	
549000	-305.616399	1	1848	0.557826	0.557826	0.557826	0.557826	2.082190	2.082190	0.000000	0.557826	1	0.449261	0.510161	0.040364	0.000215	
550000	-304.561167	1	1109	1.015578	0.466869	0.466869	0.466869	2.361860	2.361860	0.000000	1.015578	0	0.574416	0.367044	0.057288	0.001252	
551000	-306.085676	1	2107	0.512681	0.512681	0.512681	0.512681	2.127373	2.127373	0.512681	0.512681	1	0.248332	0.226527	0.414013	0.111127	
552000	-306.498201	1	2892	0.547636	0.547636	0.547636	0.547636	1.812529	1.812529	0.547636	0.547636	1	0.266624	0.265283	0.351069	0.117025	
553000	-306.380443	1	2986	0.473733	0.473733	0.473733	0.473733	2.103447	2.103447	0.000000	0.473733	1	0.468100	0.479628	0.052052	0.000219	
554000	-305.584229	1	668	0.565070	0.565070	0.565070	0.565070	2.113757	2.113757	0.000000	0.565070	1	0.447516	0.511816	0.040448	0.000221	
