Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2077959526
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ_KNOWN.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1100000	-309.679037	1	2	0	'0 0 0 0 0 1 0 0 	D	0.526298	0.526298	0.526298	0.526298	0.526298	2.664802	0.526298	0.526298	0.593348	0.240750	0.138361	0.027540	1.486469	
1101000	-309.568173	1	3	0	'2 2 0 2 2 1 0 2 	D	0.641167	0.641167	0.254945	0.641167	0.641167	3.361615	0.254945	0.641167	0.822903	0.098181	0.071907	0.007008	1.742327	
1102000	-309.356356	1	2	0	'1 1 1 1 1 0 1 1 	D	0.654787	0.654787	0.654787	0.654787	0.654787	3.074111	0.654787	0.654787	0.525380	0.296643	0.136203	0.041774	1.725625	
1103000	-310.339247	1	2	0	'1 1 1 1 1 0 1 1 	D	0.737822	0.737822	0.737822	0.737822	0.737822	2.617120	0.737822	0.737822	0.436718	0.358499	0.140336	0.064448	1.062000	
1104000	-306.384597	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.729626	0.729626	0.729626	0.729626	2.233132	2.233132	0.000000	0.729626	0.415370	0.549569	0.034776	0.000285	1.910884	
1105000	-305.391164	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.612981	0.612981	0.612981	0.612981	2.177275	2.177275	0.000000	0.612981	0.437179	0.524189	0.038393	0.000239	1.599911	
1106000	-308.053332	1	2	0	'1 1 1 1 0 0 1 1 	D	0.460834	0.460834	0.460834	0.460834	2.698339	2.698339	0.460834	0.460834	0.219276	0.175988	0.504411	0.100325	1.765182	
1107000	-306.466253	1	2	0	'1 1 1 1 0 0 1 1 	D	0.437162	0.437162	0.437162	0.437162	1.739951	1.739951	0.437162	0.437162	0.261972	0.219666	0.419988	0.098375	1.479906	
1108000	-306.036529	1	2	0	'1 1 1 1 0 0 1 1 	D	0.514449	0.514449	0.514449	0.514449	2.213382	2.213382	0.514449	0.514449	0.243802	0.220977	0.423510	0.111711	1.134560	
1109000	-305.693023	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.514902	0.514902	0.514902	0.514902	2.195831	2.195831	0.000000	0.514902	0.458085	0.494047	0.047637	0.000231	1.414854	
1110000	-305.389658	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.566425	0.566425	0.566425	0.566425	2.081685	2.081685	0.000000	0.566425	0.447395	0.512772	0.039618	0.000216	0.491243	
1111000	-303.655024	1	3	0	'1 2 1 1 0 0 2 1 	D	0.657230	0.288111	0.657230	0.657230	2.416063	2.416063	0.288111	0.657230	0.311275	0.375378	0.236448	0.076899	0.957895	
1112000	-305.428963	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.623884	0.623884	0.623884	0.623884	2.166629	2.166629	0.000000	0.623884	0.435043	0.527155	0.037562	0.000240	1.752877	
1113000	-305.835943	1	2	0	'1 1 1 1 0 0 1 1 	D	0.501804	0.501804	0.501804	0.501804	2.085021	2.085021	0.501804	0.501804	0.248795	0.223806	0.417870	0.109529	1.705800	
1114000	-307.113649	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.729907	0.729907	0.729907	0.729907	1.836605	1.836605	0.000000	0.729907	0.416483	0.556376	0.026940	0.000201	0.950140	
1115000	-305.956722	1	2	0	'1 1 1 1 0 0 1 1 	D	0.528941	0.528941	0.528941	0.528941	2.116713	2.116713	0.528941	0.528941	0.249190	0.232921	0.403444	0.114445	1.071145	
1116000	-308.504554	1	2	0	'1 1 1 1 0 0 1 1 	D	0.336421	0.336421	0.336421	0.336421	1.745560	1.745560	0.336421	0.336421	0.237894	0.154668	0.529023	0.078415	1.675323	
1117000	-306.092357	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.677307	0.677307	0.677307	0.677307	1.944755	1.944755	0.000000	0.677307	0.425612	0.543526	0.030652	0.000210	1.463015	
1118000	-305.359473	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.586133	0.586133	0.586133	0.586133	2.101449	2.101449	0.000000	0.586133	0.443087	0.518144	0.038547	0.000221	1.476091	
1119000	-305.859169	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.622371	0.622371	0.622371	0.622371	1.884020	1.884020	0.000000	0.622371	0.436493	0.531855	0.031465	0.000187	1.593966	
1120000	-306.203527	1	2	0	'1 1 1 1 0 0 1 1 	D	0.509637	0.509637	0.509637	0.509637	1.773075	1.773075	0.509637	0.509637	0.266929	0.252413	0.369794	0.110865	1.658092	
1121000	-306.499845	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.476134	0.476134	0.476134	0.476134	2.374977	2.374977	0.000000	0.476134	0.465439	0.476635	0.057669	0.000258	1.368625	
1122000	-305.478840	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.632471	0.632471	0.632471	0.632471	2.210251	2.210251	0.000000	0.632471	0.433146	0.528639	0.037966	0.000249	1.189516	
1123000	-305.718484	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.650139	0.650139	0.650139	0.650139	2.006694	2.006694	0.000000	0.650139	0.430556	0.536238	0.032990	0.000216	1.643120	
1124000	-307.080585	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.716093	0.716093	0.716093	0.716093	1.801149	1.801149	0.000000	0.716093	0.418941	0.554404	0.026466	0.000190	1.430385	
1125000	-307.507579	1	2	0	'1 1 1 1 0 0 1 1 	D	0.601898	0.601898	0.601898	0.601898	1.667293	1.667293	0.601898	0.601898	0.274583	0.298826	0.301025	0.125566	1.074623	
1126000	-307.729309	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.516907	0.516907	0.516907	0.516907	1.564115	1.564115	0.000000	0.516907	0.460998	0.509584	0.029296	0.000122	1.115406	
1127000	-309.389038	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.891123	0.891123	0.891123	0.891123	2.130012	2.130012	0.000000	0.891123	0.391899	0.577265	0.030495	0.000341	1.476771	
1128000	-308.268684	1	2	0	'1 1 1 1 0 0 1 1 	D	0.450577	0.450577	0.450577	0.450577	2.721410	2.721410	0.450577	0.450577	0.216863	0.170664	0.514245	0.098228	0.853917	
1129000	-305.776762	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.511987	0.511987	0.511987	0.511987	2.250600	2.250600	0.000000	0.511987	0.458366	0.492177	0.049218	0.000239	1.963627	
1130000	-307.812283	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.489553	0.489553	0.489553	0.489553	1.587048	1.587048	0.000000	0.489553	0.467687	0.499327	0.032859	0.000127	1.620084	
1131000	-305.910482	1	2	0	'1 1 1 1 0 0 1 1 	D	0.487567	0.487567	0.487567	0.487567	2.158349	2.158349	0.487567	0.487567	0.243889	0.212838	0.436464	0.106809	1.119594	
1132000	-305.999426	1	2	0	'1 1 1 1 0 0 1 1 	D	0.518011	0.518011	0.518011	0.518011	2.186186	2.186186	0.518011	0.518011	0.245281	0.224075	0.418246	0.112398	1.290596	
1133000	-305.859543	1	2	0	'1 1 1 1 0 0 1 1 	D	0.486894	0.486894	0.486894	0.486894	2.118646	2.118646	0.486894	0.486894	0.245736	0.215024	0.432491	0.106749	0.849220	
1134000	-305.385384	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.560439	0.560439	0.560439	0.560439	2.141127	2.141127	0.000000	0.560439	0.448367	0.509955	0.041453	0.000225	1.431753	
1135000	-305.845707	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.666230	0.666230	0.666230	0.666230	2.354345	2.354345	0.000000	0.666230	0.426056	0.534635	0.039023	0.000285	1.470435	
1136000	-310.075371	1	2	0	'1 1 1 1 0 0 1 1 	D	0.647225	0.647225	0.647225	0.647225	2.867584	2.867584	0.647225	0.647225	0.226938	0.232845	0.403977	0.136239	1.298413	
1137000	-307.580443	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.780221	0.780221	0.780221	0.780221	2.531742	2.531742	0.000000	0.780221	0.406086	0.555016	0.038525	0.000373	1.917781	
1138000	-306.354304	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.613520	0.613520	0.613520	0.613520	2.619967	2.619967	0.000000	0.613520	0.434799	0.518873	0.046018	0.000310	0.971461	
1139000	-307.106132	1	2	0	'1 1 1 1 0 0 1 1 	D	0.624492	0.624492	0.624492	0.624492	2.223571	2.223571	0.624492	0.624492	0.246668	0.258544	0.362849	0.131939	0.751004	
1140000	-305.360936	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.585555	0.585555	0.585555	0.585555	2.098499	2.098499	0.000000	0.585555	0.443224	0.518031	0.038524	0.000221	1.734500	
1141000	-306.007226	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.586520	0.586520	0.586520	0.586520	1.814126	1.814126	0.000000	0.586520	0.444244	0.523930	0.031657	0.000170	1.232805	
1142000	-306.155348	1	2	0	'1 1 1 1 0 0 1 1 	D	0.494477	0.494477	0.494477	0.494477	1.776446	1.776446	0.494477	0.494477	0.265730	0.245247	0.380730	0.108293	1.210165	
1143000	-305.437328	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.547641	0.547641	0.547641	0.547641	2.120055	2.120055	0.000000	0.547641	0.451280	0.506320	0.042179	0.000220	1.183395	
1144000	-307.710878	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.573228	0.573228	0.573228	0.573228	1.543733	1.543733	0.000000	0.573228	0.447806	0.527172	0.024903	0.000119	0.931714	
1145000	-307.544546	1	2	0	'1 1 1 1 0 0 1 1 	D	0.360262	0.360262	0.360262	0.360262	1.833000	1.833000	0.360262	0.360262	0.238892	0.164637	0.513364	0.083107	1.385607	
1146000	-306.804923	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.446470	0.446470	0.446470	0.446470	1.981101	1.981101	0.000000	0.446470	0.475397	0.469917	0.054482	0.000204	0.802465	
1147000	-306.346197	1	2	0	'1 1 1 1 0 0 1 1 	D	0.572372	0.572372	0.572372	0.572372	1.920302	1.920302	0.572372	0.572372	0.260402	0.264085	0.353556	0.121957	0.859181	
1148000	-306.618267	1	2	0	'1 1 1 1 0 0 1 1 	D	0.575008	0.575008	0.575008	0.575008	1.804624	1.804624	0.575008	0.575008	0.266761	0.275414	0.335830	0.121995	1.471961	
1149000	-306.760699	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.540029	0.540029	0.540029	0.540029	1.680606	1.680606	0.000000	0.540029	0.455131	0.513596	0.031130	0.000143	1.954261	
1150000	-306.305596	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.723724	0.723724	0.723724	0.723724	2.224296	2.224296	0.000000	0.723724	0.416401	0.548544	0.034773	0.000281	0.780174	
1151000	-306.005185	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.579213	0.579213	0.579213	0.579213	1.813252	1.813252	0.000000	0.579213	0.445832	0.521913	0.032087	0.000169	0.874001	
1152000	-306.334880	1	2	0	'1 1 1 1 0 0 1 1 	D	0.571306	0.571306	0.571306	0.571306	1.920044	1.920044	0.571306	0.571306	0.260404	0.263727	0.354098	0.121771	1.981725	
1153000	-307.704151	1	2	0	'1 1 1 1 0 0 1 1 	D	0.580548	0.580548	0.580548	0.580548	2.581276	2.581276	0.580548	0.580548	0.233679	0.225798	0.416824	0.123699	1.321219	
1154000	-307.923703	1	2	0	'1 1 1 1 0 0 1 1 	D	0.678409	0.678409	0.678409	0.678409	2.066428	2.066428	0.678409	0.678409	0.251665	0.284270	0.322853	0.141212	0.962686	
1155000	-306.950400	1	2	0	'1 1 1 1 0 0 1 1 	D	0.590910	0.590910	0.590910	0.590910	1.762689	1.762689	0.590910	0.590910	0.269081	0.285076	0.321398	0.124445	1.867511	
1156000	-306.541015	1	2	0	'1 1 1 1 0 0 1 1 	D	0.398707	0.398707	0.398707	0.398707	1.972710	1.972710	0.398707	0.398707	0.239622	0.179013	0.490998	0.090366	1.055448	
1157000	-305.816786	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.670925	0.670925	0.670925	0.670925	2.051914	2.051914	0.000000	0.670925	0.426444	0.540199	0.033127	0.000230	1.111682	
1158000	-306.899597	1	2	0	'0 0 0 0 1 1 0 0 	D	0.477233	0.477233	0.477233	0.477233	1.604442	1.604442	0.477233	0.477233	0.276517	0.254869	0.363457	0.105157	0.313511	
1159000	-306.101986	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.617860	0.617860	0.617860	0.617860	1.813894	1.813894	0.000000	0.617860	0.437635	0.532205	0.029987	0.000173	1.203728	
1160000	-305.784372	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.523170	0.523170	0.523170	0.523170	2.323445	2.323445	0.000000	0.523170	0.455401	0.495140	0.049209	0.000250	1.128970	
1161000	-308.698224	1	2	0	'0 0 0 0 1 1 0 0 	D	0.697942	0.697942	0.697942	0.697942	1.818557	1.818557	0.697942	0.697942	0.261970	0.310667	0.284524	0.142840	0.554821	
1162000	-306.291504	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.519587	0.519587	0.519587	0.519587	2.501068	2.501068	0.000000	0.519587	0.455017	0.491857	0.052853	0.000274	0.799498	
1163000	-305.598922	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.553383	0.553383	0.553383	0.553383	1.956167	1.956167	0.000000	0.553383	0.450904	0.511186	0.037717	0.000193	0.694576	
1164000	-305.380878	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.605862	0.605862	0.605862	0.605862	2.111734	2.111734	0.000000	0.605862	0.438938	0.523366	0.037470	0.000226	0.673691	
1165000	-310.096559	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.719451	0.719451	0.719451	0.719451	1.427651	1.427651	0.000000	0.719451	0.418331	0.563687	0.017869	0.000113	1.001283	
1166000	-305.849852	1	2	0	'0 0 0 0 1 1 0 0 	D	0.495647	0.495647	0.495647	0.495647	2.109697	2.109697	0.495647	0.495647	0.247032	0.219488	0.425106	0.108374	1.387745	
1167000	-305.647708	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.659492	0.659492	0.659492	0.659492	2.213419	2.213419	0.000000	0.659492	0.427941	0.535039	0.036762	0.000257	1.265178	
1168000	-306.690651	1	2	0	'0 0 0 0 1 1 0 0 	D	0.567311	0.567311	0.567311	0.567311	1.754932	1.754932	0.567311	0.567311	0.269668	0.277474	0.332386	0.120472	0.799546	
1169000	-306.003553	1	2	0	'0 0 0 0 1 1 0 0 	D	0.505613	0.505613	0.505613	0.505613	2.207335	2.207335	0.505613	0.505613	0.243349	0.217681	0.428889	0.110081	1.436195	
1170000	-306.529460	1	2	0	'0 0 0 0 1 1 0 0 	D	0.463976	0.463976	0.463976	0.463976	2.376055	2.376055	0.463976	0.463976	0.231385	0.190425	0.476333	0.101858	1.540539	
1171000	-306.591059	1	2	0	'0 0 0 0 1 1 0 0 	D	0.440129	0.440129	0.440129	0.440129	1.700347	1.700347	0.440129	0.440129	0.265263	0.225151	0.410624	0.098962	1.238641	
1172000	-306.401525	1	2	0	'0 0 0 0 1 1 0 0 	D	0.474698	0.474698	0.474698	0.474698	1.707419	1.707419	0.474698	0.474698	0.268747	0.242532	0.383838	0.104883	1.667101	
1173000	-308.042092	1	2	0	'0 0 0 0 1 1 0 0 	D	0.681318	0.681318	0.681318	0.681318	2.179292	2.179292	0.681318	0.681318	0.247056	0.276770	0.333962	0.142212	0.925727	
1174000	-307.776861	1	2	0	'0 0 0 0 1 1 0 0 	D	0.658980	0.658980	0.658980	0.658980	1.862439	1.862439	0.658980	0.658980	0.261753	0.296362	0.305284	0.136602	1.410054	
1175000	-307.270701	1	2	0	'0 0 0 0 1 1 0 0 	D	0.586092	0.586092	0.586092	0.586092	1.670652	1.670652	0.586092	0.586092	0.274722	0.293062	0.309182	0.123035	1.178757	
1176000	-310.060759	1	2	0	'0 0 0 0 0 1 0 0 	D	0.507208	0.507208	0.507208	0.507208	0.507208	3.317584	0.507208	0.507208	0.661513	0.197526	0.122481	0.018480	0.798243	
1177000	-310.506025	1	2	0	'0 0 0 0 0 1 0 0 	D	0.478738	0.478738	0.478738	0.478738	0.478738	2.583143	0.478738	0.478738	0.628074	0.210240	0.139677	0.022010	1.401453	
1178000	-310.241749	1	2	0	'0 0 0 0 0 1 0 0 	D	0.481092	0.481092	0.481092	0.481092	0.481092	3.056342	0.481092	0.481092	0.665870	0.187408	0.129081	0.017642	0.670776	
1179000	-309.622321	1	2	0	'0 0 0 0 0 1 0 0 	D	0.606562	0.606562	0.606562	0.606562	0.606562	2.444090	0.606562	0.606562	0.503521	0.313218	0.139023	0.044238	0.718958	
1180000	-310.392834	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.658271	0.658271	0.658271	0.658271	0.658271	3.295374	0.000000	0.658271	0.599852	0.390816	0.009273	0.000059	1.808174	
1181000	-310.064042	1	2	1	'1 0 0 0 1 1 Z 1 	D	1.335413	0.417086	0.417086	0.417086	1.335413	1.335413	0.000000	1.335413	0.652515	0.315062	0.031437	0.000985	1.914050	
1182000	-310.571148	1	2	0	'1 0 0 0 1 1 0 1 	D	1.363666	0.492866	0.492866	0.492866	1.363666	1.363666	0.492866	1.363666	0.384945	0.230837	0.187239	0.196979	1.863399	
1183000	-305.846110	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.679291	0.679291	0.679291	0.679291	2.269100	2.269100	0.000000	0.679291	0.424038	0.538688	0.037001	0.000274	0.500379	
1184000	-312.991481	1	2	0	'0 0 0 0 0 1 0 0 	D	0.467785	0.467785	0.467785	0.467785	0.467785	1.914489	0.467785	0.467785	0.544764	0.283867	0.138852	0.032517	1.139802	
1185000	-310.096433	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.723123	0.723123	0.723123	0.723123	0.723123	3.086635	0.000000	0.723123	0.538093	0.452823	0.009013	0.000071	0.828045	
1186000	-310.037526	1	2	0	'0 0 1 0 1 1 0 1 	D	0.358113	0.358113	1.089712	0.358113	1.089712	1.089712	0.358113	1.089712	0.134748	0.539371	0.154286	0.171595	1.037388	
1187000	-311.218459	1	2	0	'0 0 1 0 1 1 0 1 	D	0.251739	0.251739	1.367081	0.251739	1.367081	1.367081	0.251739	1.367081	0.071539	0.490443	0.207151	0.230868	1.274797	
1188000	-305.216485	1	3	0	'0 0 1 0 2 2 0 1 	D	0.215715	0.215715	0.767108	0.215715	2.234903	2.234903	0.215715	0.767108	0.077913	0.239736	0.485915	0.196436	1.083647	
1189000	-306.455329	1	2	0	'0 0 0 0 1 1 0 0 	D	0.412472	0.412472	0.412472	0.412472	1.848318	1.848318	0.412472	0.412472	0.250318	0.196177	0.459970	0.093534	0.638472	
1190000	-306.548920	1	2	0	'0 0 0 0 1 1 0 0 	D	0.461344	0.461344	0.461344	0.461344	2.377460	2.377460	0.461344	0.461344	0.230947	0.189148	0.478559	0.101346	1.313827	
1191000	-307.401614	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.568223	0.568223	0.568223	0.568223	1.580584	1.580584	0.000000	0.568223	0.448890	0.524736	0.026248	0.000125	1.914759	
1192000	-305.905277	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.522489	0.522489	0.522489	0.522489	2.377092	2.377092	0.000000	0.522489	0.455197	0.494232	0.050313	0.000258	1.792763	
1193000	-305.932743	1	2	0	'0 0 0 0 1 1 0 0 	D	0.449791	0.449791	0.449791	0.449791	1.992174	1.992174	0.449791	0.449791	0.247816	0.205739	0.446322	0.100124	1.108480	
1194000	-306.805093	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.713102	0.713102	0.713102	0.713102	2.568888	2.568888	0.000000	0.713102	0.416771	0.542122	0.040764	0.000343	1.341468	
1195000	-305.482209	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.574581	0.574581	0.574581	0.574581	1.993867	1.993867	0.000000	0.574581	0.446075	0.516787	0.036937	0.000201	1.149249	
1196000	-306.341060	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.494205	0.494205	0.494205	0.494205	2.419419	2.419419	0.000000	0.494205	0.461128	0.483388	0.055221	0.000262	0.602152	
1197000	-305.875168	1	2	0	'0 0 0 0 1 1 0 0 	D	0.520994	0.520994	0.520994	0.520994	2.005393	2.005393	0.520994	0.520994	0.254222	0.237575	0.395173	0.113030	1.288307	
1198000	-306.059871	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.499555	0.499555	0.499555	0.499555	1.923630	1.923630	0.000000	0.499555	0.463414	0.493606	0.042792	0.000187	1.920616	
1199000	-306.298901	1	2	0	'0 0 0 0 1 1 0 0 	D	0.561774	0.561774	0.561774	0.561774	2.198456	2.198456	0.561774	0.561774	0.247011	0.239932	0.392633	0.120424	0.494673	
1200000	-305.508310	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.574343	0.574343	0.574343	0.574343	2.321703	2.321703	0.000000	0.574343	0.444386	0.511446	0.043912	0.000256	1.001930	
1201000	-311.312607	1	2	2	'0 Z 0 0 1 1 Z 0 	D	0.786378	0.000000	0.786378	0.786378	1.951928	1.951928	0.000000	0.786378	0.211178	0.717191	0.070401	0.001230	1.380656	
1202000	-309.611145	1	2	0	'0 0 0 0 0 1 0 0 	D	0.539873	0.539873	0.539873	0.539873	0.539873	3.257202	0.539873	0.539873	0.630047	0.220878	0.126263	0.022813	1.394577	
1203000	-312.414079	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.773631	0.773631	0.773631	0.773631	0.773631	1.931296	0.000000	0.773631	0.437937	0.554948	0.007058	0.000057	0.876315	
1204000	-309.259948	1	2	0	'0 0 0 0 0 1 0 0 	D	0.611025	0.611025	0.611025	0.611025	0.611025	3.162753	0.611025	0.611025	0.564990	0.268751	0.132586	0.033673	1.773717	
1205000	-309.988210	1	2	0	'0 0 0 0 0 1 0 0 	D	0.503213	0.503213	0.503213	0.503213	0.503213	2.654134	0.503213	0.503213	0.612912	0.224195	0.138475	0.024418	1.731476	
1206000	-310.632293	1	2	0	'1 1 1 1 1 0 1 1 	D	0.761315	0.761315	0.761315	0.761315	0.761315	3.253242	0.761315	0.761315	0.467845	0.335291	0.139297	0.057567	1.446460	
1207000	-309.921312	1	2	0	'1 1 1 1 1 0 1 1 	D	0.679703	0.679703	0.679703	0.679703	0.679703	3.439230	0.679703	0.679703	0.531788	0.295552	0.131596	0.041064	1.426571	
1208000	-310.846732	1	2	0	'1 1 1 1 1 0 1 1 	D	0.745098	0.745098	0.745098	0.745098	0.745098	3.566066	0.745098	0.745098	0.495223	0.320281	0.134117	0.050379	1.643025	
1209000	-310.624323	1	2	0	'1 1 1 1 1 0 1 1 	D	0.645013	0.645013	0.645013	0.645013	0.645013	2.121366	0.645013	0.645013	0.441906	0.365532	0.134212	0.058350	1.363199	
1210000	-309.426748	1	2	0	'1 1 1 1 1 0 1 1 	D	0.670520	0.670520	0.670520	0.670520	0.670520	2.944240	0.670520	0.670520	0.504396	0.310932	0.138301	0.046371	1.533604	
1211000	-309.663976	1	2	0	'1 1 1 1 1 0 1 1 	D	0.622897	0.622897	0.622897	0.622897	0.622897	2.435061	0.622897	0.622897	0.490735	0.323152	0.138835	0.047279	1.171892	
1212000	-312.589540	1	2	0	'1 1 1 1 1 0 1 1 	D	0.811732	0.811732	0.811732	0.811732	0.811732	2.166476	0.811732	0.811732	0.369215	0.408316	0.133912	0.088557	1.183206	
1213000	-310.182176	1	2	0	'1 1 1 1 1 0 1 1 	D	0.577487	0.577487	0.577487	0.577487	0.577487	3.699364	0.577487	0.577487	0.625923	0.233853	0.116501	0.023723	1.067490	
1214000	-301.894467	1	3	0	'2 2 2 2 1 0 2 1 	D	0.494655	0.494655	0.494655	0.494655	1.342936	3.029553	0.494655	1.342936	0.296875	0.259849	0.301777	0.141498	1.847991	
1215000	-305.334455	1	2	0	'0 0 0 0 1 1 0 1 	D	0.276875	0.276875	0.276875	0.276875	1.654856	1.654856	0.276875	1.654856	0.155617	0.126533	0.365614	0.352236	1.241105	
1216000	-305.156019	1	2	0	'0 0 0 0 1 1 0 1 	D	0.334384	0.334384	0.334384	0.334384	2.024093	2.024093	0.334384	2.024093	0.153762	0.141672	0.340719	0.363846	1.097561	
1217000	-305.284730	1	2	0	'0 0 0 0 1 1 0 1 	D	0.301075	0.301075	0.301075	0.301075	1.966305	1.966305	0.301075	1.966305	0.142473	0.123234	0.357731	0.376562	1.906869	
1218000	-305.639033	1	2	0	'0 0 0 0 1 1 0 1 	D	0.357538	0.357538	0.357538	0.357538	2.150171	2.150171	0.357538	2.150171	0.154918	0.149635	0.331229	0.364219	1.914543	
1219000	-305.774222	1	2	0	'0 0 0 0 1 1 0 1 	D	0.259778	0.259778	0.259778	0.259778	1.797776	1.797776	0.259778	1.797776	0.132977	0.104952	0.379679	0.382392	1.275254	
1220000	-305.771819	1	2	0	'0 0 0 0 1 1 0 1 	D	0.258553	0.258553	0.258553	0.258553	1.751023	1.751023	0.258553	1.751023	0.136064	0.106892	0.379824	0.377221	0.926926	
1221000	-302.583368	1	3	1	'0 0 0 0 2 1 Z 2 	D	0.530245	0.530245	0.530245	0.530245	1.468851	2.759729	0.000000	1.468851	0.449493	0.531970	0.017895	0.000643	1.813018	
1222000	-310.114423	1	2	1	'1 1 1 1 1 0 Z 1 	D	0.680531	0.680531	0.680531	0.680531	0.680531	3.014924	0.000000	0.680531	0.562155	0.428177	0.009602	0.000066	1.190006	
1223000	-309.655334	1	2	0	'1 1 1 1 1 0 1 1 	D	0.522655	0.522655	0.522655	0.522655	0.522655	3.122874	0.522655	0.522655	0.635247	0.213897	0.128954	0.021903	1.378515	
1224000	-304.503996	1	3	0	'2 2 1 2 1 0 2 1 	D	0.397320	0.397320	0.898161	0.397320	0.898161	2.315673	0.397320	0.898161	0.219313	0.473274	0.207510	0.099903	0.566374	
1225000	-309.427319	1	2	0	'1 1 1 1 1 0 1 1 	D	0.540145	0.540145	0.540145	0.540145	0.540145	3.027171	0.540145	0.540145	0.613161	0.229672	0.132072	0.025095	1.084782	
1226000	-306.352142	1	2	0	'1 1 1 1 0 0 1 1 	D	0.539412	0.539412	0.539412	0.539412	2.301641	2.301641	0.539412	0.539412	0.241747	0.225635	0.416370	0.116248	1.010559	
1227000	-307.711434	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.411437	0.411437	0.411437	0.411437	1.962645	1.962645	0.000000	0.411437	0.483386	0.452000	0.064403	0.000212	1.529514	
1228000	-305.389418	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.560182	0.560182	0.560182	0.560182	2.166274	2.166274	0.000000	0.560182	0.448282	0.509469	0.042020	0.000229	1.209228	
