Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2140403048
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
525000	-305.908575	1	2	0	'0 0 0 0 1 1 0 0 	D	0.472433	0.472433	0.472433	0.472433	1.892429	1.892429	0.472433	0.472433	0.256495	0.224598	0.414479	0.104427	0.925097	
526000	-305.801958	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.638829	0.638829	0.638829	0.638829	1.934752	1.934752	0.000000	0.638829	0.433021	0.534891	0.031888	0.000200	0.922683	
527000	-306.321669	1	2	0	'0 0 0 0 1 1 0 0 	D	0.438489	0.438489	0.438489	0.438489	1.782362	1.782362	0.438489	0.438489	0.259209	0.216487	0.425777	0.098527	0.703390	
528000	-305.433464	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.554883	0.554883	0.554883	0.554883	2.066728	2.066728	0.000000	0.554883	0.449990	0.509526	0.040272	0.000212	1.357216	
529000	-304.718339	1	3	1	'0 0 2 2 1 1 Z 0 	D	0.694813	0.694813	0.483265	0.483265	2.392346	2.392346	0.000000	0.694813	0.516220	0.426921	0.056320	0.000539	1.462871	
530000	-305.484191	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.578224	0.578224	0.578224	0.578224	1.991514	1.991514	0.000000	0.578224	0.445302	0.517882	0.036614	0.000201	1.703908	
531000	-309.112719	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.801724	0.801724	0.801724	0.801724	1.695771	1.695771	0.000000	0.801724	0.405032	0.571937	0.022842	0.000189	1.097436	
532000	-305.905250	1	2	0	'0 0 0 0 1 1 0 0 	D	0.471757	0.471757	0.471757	0.471757	2.132127	2.132127	0.471757	0.471757	0.243364	0.207233	0.445490	0.103913	1.649374	
533000	-306.319589	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.500444	0.500444	0.500444	0.500444	1.833289	1.833289	0.000000	0.500444	0.463768	0.496118	0.039943	0.000171	0.883667	
534000	-310.313106	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.490504	0.490504	0.490504	0.490504	1.342793	1.342793	0.000000	0.490504	0.467975	0.508435	0.023506	0.000084	0.406210	
535000	-308.368640	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.724531	0.724531	0.724531	0.724531	1.614285	1.614285	0.000000	0.724531	0.417625	0.560124	0.022100	0.000152	0.621146	
536000	-308.560527	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.382754	0.382754	0.382754	0.382754	2.105448	2.105448	0.000000	0.382754	0.487040	0.430458	0.082255	0.000248	1.094992	
537000	-305.905461	1	2	0	'0 0 0 0 1 1 0 0 	D	0.461499	0.461499	0.461499	0.461499	1.926018	1.926018	0.461499	0.461499	0.253217	0.216544	0.427827	0.102412	0.520211	
538000	-313.456732	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.719310	0.719310	0.719310	0.719310	0.719310	1.719588	0.000000	0.719310	0.442524	0.551074	0.006359	0.000043	1.053271	
