Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_PredHaast.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1458042783
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_PredHaast.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ.bin
Estimating values for taxa and Sites
	Hieraaetus_moorei   
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Hieraaetus_moorei - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-301.538604	1	117	0.406819	0.406819	0.406819	0.406819	1.162523	2.530480	0.406819	1.162523	1	0.299020	0.237476	0.326005	0.137499	
502000	-303.127660	1	729	0.514209	0.514209	0.514209	0.514209	1.073973	2.454285	0.514209	1.073973	1	0.335865	0.299734	0.252780	0.111621	
503000	-305.823012	1	1505	0.644689	0.644689	0.644689	0.644689	1.952663	1.952663	0.000000	0.644689	1	0.431795	0.535978	0.032023	0.000204	
504000	-305.843478	1	1974	0.500979	0.500979	0.500979	0.500979	1.991549	1.991549	0.500979	0.500979	1	0.253486	0.230152	0.406875	0.109488	
505000	-306.490453	1	858	0.472738	0.472738	0.472738	0.472738	2.368150	2.368150	0.472738	0.472738	1	0.232842	0.194837	0.468724	0.103597	
506000	-303.605271	1	756	0.959192	0.344351	0.344351	0.344351	0.959192	2.433328	0.344351	0.959192	1	0.465535	0.165570	0.274404	0.094491	
507000	-306.578108	1	2063	0.723843	0.723843	0.723843	0.723843	2.425714	2.425714	0.000000	0.723843	1	0.415564	0.545909	0.038205	0.000321	
508000	-305.617269	1	606	0.544422	0.544422	0.544422	0.544422	1.978486	1.978486	0.000000	0.544422	1	0.452768	0.507978	0.039058	0.000196	
509000	-305.669095	1	853	0.547643	0.547643	0.547643	0.547643	1.945835	1.945835	0.000000	0.547643	1	0.452218	0.509666	0.037926	0.000191	
510000	-306.349263	1	2085	0.412386	0.412386	0.412386	0.412386	1.985783	1.985783	0.412386	0.412386	1	0.241626	0.186167	0.479123	0.093084	
511000	-305.928543	1	2107	0.512681	0.512681	0.512681	0.512681	2.127373	2.127373	0.512681	0.512681	1	0.247546	0.225675	0.415272	0.111507	
512000	-302.418144	1	2723	0.751629	0.407590	0.407590	0.265849	2.149604	2.149604	0.265849	0.751629	1	0.239851	0.132788	0.452527	0.174834	
513000	-305.997295	1	61	0.529079	0.529079	0.529079	0.529079	1.928183	1.928183	0.529079	0.529079	1	0.258714	0.246991	0.379844	0.114451	
514000	-305.005059	1	1642	0.306095	0.306095	0.306095	0.306095	1.864094	1.864094	0.306095	1.864094	1	0.152640	0.132474	0.353080	0.361806	
515000	-306.265385	1	79	0.448296	0.448296	0.448296	0.448296	1.786198	1.786198	0.448296	0.448296	1	0.260246	0.221536	0.417900	0.100318	
516000	-305.749739	1	910	0.655248	0.655248	0.655248	0.655248	2.027316	2.027316	0.000000	0.655248	1	0.429486	0.537090	0.033204	0.000221	
517000	-305.784380	1	786	0.661393	0.661393	0.661393	0.661393	2.319135	2.319135	0.000000	0.661393	1	0.427105	0.534020	0.038599	0.000277	
518000	-302.181462	1	2647	0.400891	0.400891	0.400891	0.400891	1.491100	3.917920	0.400891	1.491100	1	0.266168	0.192553	0.385286	0.155993	
519000	-301.699110	1	1222	0.445712	0.445712	0.445712	0.445712	1.170868	3.278551	0.445712	1.170868	1	0.326262	0.242138	0.319004	0.112596	
