Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN4.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1447766351
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Schedule File:                   birds_nest_coparent_depRJ_KNOWN4.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Estimating values for taxa and Sites
	Passer_domesticus   
Scale Tree:                      0.010244
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - uniform 0.00 100.00 
        q13 - uniform 0.00 100.00 
        q21 - uniform 0.00 100.00 
        q24 - uniform 0.00 100.00 
        q31 - uniform 0.00 100.00 
        q34 - uniform 0.00 100.00 
        q42 - uniform 0.00 100.00 
        q43 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est Passer_domesticus - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
501000	-301.406520	1	2602	0.363923	0.363923	0.363923	0.363923	1.138637	3.214188	0.363923	1.138637	1	0.305633	0.199834	0.375144	0.119389	
502000	-302.711536	1	1537	0.532609	0.532609	0.532609	0.532609	1.373915	3.553725	0.000000	1.373915	1	0.463425	0.519326	0.016679	0.000571	
503000	-305.495987	1	1399	0.627110	0.627110	0.627110	0.627110	2.063508	2.063508	0.000000	0.627110	1	0.434856	0.529658	0.035264	0.000222	
504000	-306.691297	1	1951	0.587282	0.587282	0.587282	0.587282	2.266517	2.266517	0.587282	0.587282	1	0.244854	0.244397	0.385619	0.125131	
505000	-306.213863	1	2260	0.541400	0.541400	0.541400	0.541400	1.782637	1.782637	0.000000	0.541400	1	0.454425	0.511362	0.034052	0.000161	
506000	-306.105832	1	881	0.429713	0.429713	0.429713	0.429713	1.991998	1.991998	0.429713	0.429713	1	0.244627	0.195205	0.463825	0.096344	
507000	-305.115819	1	421	0.299013	0.299013	0.299013	0.299013	1.896315	1.896315	0.299013	1.896315	1	0.146588	0.125779	0.357808	0.369825	
508000	-301.906368	1	480	0.490857	0.490857	0.490857	0.490857	1.336197	3.232583	0.490857	1.336197	1	0.301806	0.255146	0.307548	0.135500	
509000	-305.568514	1	1509	0.561310	0.561310	0.561310	0.561310	2.334966	2.334966	0.000000	0.561310	1	0.447065	0.507382	0.045297	0.000256	
510000	-302.364992	1	2855	0.691219	0.186834	0.691219	0.691219	1.962010	1.962010	0.186834	0.691219	1	0.359687	0.444418	0.143784	0.052111	
