Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
463	0.382289	537	0.530726	9.280260	0	0.000000	0.462000	0.447209	
427	0.266979	573	0.589878	9.280260	0	0.000000	0.452000	0.447218	
466	0.459227	534	0.567416	9.280260	0	0.000000	0.517000	0.447357	
431	0.324826	569	0.546573	9.280260	0	0.000000	0.451000	0.447364	
428	0.415888	572	0.573427	9.280260	0	0.000000	0.506000	0.447480	
441	0.281179	559	0.527728	9.280260	0	0.000000	0.419000	0.447424	
429	0.221445	571	0.528897	9.280260	0	0.000000	0.397000	0.447325	
403	0.255583	597	0.495812	9.280260	0	0.000000	0.399000	0.447229	
466	0.278970	534	0.546816	9.280260	0	0.000000	0.422000	0.447180	
469	0.486141	531	0.517891	9.280260	0	0.000000	0.503000	0.447289	
462	0.235931	538	0.540892	9.280260	0	0.000000	0.400000	0.447197	
457	0.253829	543	0.523020	9.280260	0	0.000000	0.400000	0.447105	
430	0.290698	570	0.484211	9.280260	0	0.000000	0.401000	0.447015	
455	0.378022	545	0.555963	9.280260	0	0.000000	0.475000	0.447069	
452	0.336283	548	0.572993	9.280260	0	0.000000	0.466000	0.447106	
407	0.154791	593	0.543002	9.280260	0	0.000000	0.385000	0.446986	
444	0.490991	556	0.516187	9.280260	0	0.000000	0.505000	0.447098	
468	0.279915	532	0.481203	9.280260	0	0.000000	0.387000	0.446982	
479	0.169102	521	0.472169	9.280260	0	0.000000	0.327000	0.446751	
418	0.291866	582	0.508591	9.280260	0	0.000000	0.418000	0.446695	
453	0.041943	547	0.574040	9.280260	0	0.000000	0.333000	0.446477	
435	0.464368	565	0.520354	9.280260	0	0.000000	0.496000	0.446572	
456	0.458333	544	0.562500	9.280260	0	0.000000	0.515000	0.446703	
489	0.437628	511	0.604697	9.280260	0	0.000000	0.523000	0.446848	
450	0.251111	550	0.590909	9.280260	0	0.000000	0.438000	0.446832	
441	0.195011	559	0.540250	9.280260	0	0.000000	0.388000	0.446720	
441	0.399093	559	0.499106	9.280260	0	0.000000	0.455000	0.446735	
453	0.362031	547	0.493601	9.280260	0	0.000000	0.434000	0.446711	
465	0.277419	535	0.540187	9.280260	0	0.000000	0.418000	0.446657	
436	0.185780	564	0.512411	9.280260	0	0.000000	0.370000	0.446512	
445	0.265169	555	0.488288	9.280260	0	0.000000	0.389000	0.446404	
491	0.315682	509	0.516699	9.280260	0	0.000000	0.418000	0.446351	
430	0.123256	570	0.536842	9.280260	0	0.000000	0.359000	0.446187	
466	0.465665	534	0.567416	9.280260	0	0.000000	0.520000	0.446325	
427	0.428571	573	0.504363	9.280260	0	0.000000	0.472000	0.446373	
420	0.214286	580	0.508621	9.280260	0	0.000000	0.385000	0.446258	
463	0.235421	537	0.513966	9.280260	0	0.000000	0.385000	0.446144	
481	0.434511	519	0.574181	9.280260	0	0.000000	0.507000	0.446258	
472	0.495763	528	0.535985	9.280260	0	0.000000	0.517000	0.446389	
427	0.299766	573	0.560209	9.280260	0	0.000000	0.449000	0.446394	
430	0.193023	570	0.507018	9.280260	0	0.000000	0.372000	0.446256	
445	0.384270	555	0.517117	9.280260	0	0.000000	0.458000	0.446278	
457	0.457330	543	0.565378	9.280260	0	0.000000	0.516000	0.446406	
428	0.411215	572	0.515734	9.280260	0	0.000000	0.471000	0.446451	
460	0.082609	540	0.570370	9.280260	0	0.000000	0.346000	0.446267	
459	0.400871	541	0.534196	9.280260	0	0.000000	0.473000	0.446316	
440	0.406818	560	0.550000	9.280260	0	0.000000	0.487000	0.446390	
417	0.390887	583	0.542024	9.280260	0	0.000000	0.479000	0.446450	
437	0.453089	563	0.557726	9.280260	0	0.000000	0.512000	0.446569	
450	0.355556	550	0.540000	9.280260	0	0.000000	0.457000	0.446588	
450	0.371111	550	0.561818	9.280260	0	0.000000	0.476000	0.446642	
435	0.354023	565	0.502655	9.280260	0	0.000000	0.438000	0.446626	
447	0.400447	553	0.515371	9.280260	0	0.000000	0.464000	0.446657	
449	0.293987	551	0.542650	9.280260	0	0.000000	0.431000	0.446629	
416	0.322115	584	0.544521	9.280260	0	0.000000	0.452000	0.446639	
431	0.366589	569	0.576450	9.280260	0	0.000000	0.486000	0.446710	
405	0.471605	595	0.542857	9.280260	0	0.000000	0.514000	0.446830	
409	0.136919	591	0.558376	9.280260	0	0.000000	0.386000	0.446721	
456	0.311404	544	0.558824	9.280260	0	0.000000	0.446000	0.446720	
485	0.400000	515	0.495146	9.280260	0	0.000000	0.449000	0.446724	
425	0.348235	575	0.554783	9.280260	0	0.000000	0.467000	0.446760	
440	0.431818	560	0.525000	9.280260	0	0.000000	0.484000	0.446827	
467	0.423983	533	0.534709	9.280260	0	0.000000	0.483000	0.446891	
442	0.246606	558	0.544803	9.280260	0	0.000000	0.413000	0.446831	
375	0.408000	625	0.542400	9.280260	0	0.000000	0.492000	0.446911	
414	0.442029	586	0.530717	9.280260	0	0.000000	0.494000	0.446994	
453	0.339956	547	0.586837	9.280260	0	0.000000	0.475000	0.447043	
435	0.273563	565	0.576991	9.280260	0	0.000000	0.445000	0.447040	
427	0.414520	573	0.556719	9.280260	0	0.000000	0.496000	0.447126	
414	0.471014	586	0.510239	9.280260	0	0.000000	0.494000	0.447208	
448	0.450893	552	0.521739	9.280260	0	0.000000	0.490000	0.447283	
452	0.477876	548	0.540146	9.280260	0	0.000000	0.512000	0.447396	
422	0.393365	578	0.543253	9.280260	0	0.000000	0.480000	0.447453	
458	0.329694	542	0.538745	9.280260	0	0.000000	0.443000	0.447445	
441	0.421769	559	0.533095	9.280260	0	0.000000	0.484000	0.447509	
427	0.180328	573	0.551483	9.280260	0	0.000000	0.393000	0.447414	
426	0.258216	574	0.580139	9.280260	0	0.000000	0.443000	0.447407	
443	0.331828	557	0.545781	9.280260	0	0.000000	0.451000	0.447413	
451	0.412417	549	0.493625	9.280260	0	0.000000	0.457000	0.447429	
464	0.385776	536	0.572761	9.280260	0	0.000000	0.486000	0.447496	
461	0.290672	539	0.549165	9.280260	0	0.000000	0.430000	0.447466	
431	0.415313	569	0.564148	9.280260	0	0.000000	0.500000	0.447556	
456	0.337719	544	0.560662	9.280260	0	0.000000	0.459000	0.447576	
426	0.276995	574	0.480836	9.280260	0	0.000000	0.394000	0.447484	
444	0.382883	556	0.485612	9.280260	0	0.000000	0.440000	0.447471	
454	0.409692	546	0.551282	9.280260	0	0.000000	0.487000	0.447538	
475	0.511579	525	0.560000	9.280260	0	0.000000	0.537000	0.447691	
446	0.464126	554	0.537906	9.280260	0	0.000000	0.505000	0.447788	
440	0.450000	560	0.512500	9.280260	0	0.000000	0.485000	0.447852	
436	0.444954	564	0.581560	9.280260	0	0.000000	0.522000	0.447977	
445	0.307865	555	0.572973	9.280260	0	0.000000	0.455000	0.447989	
479	0.450939	521	0.533589	9.280260	0	0.000000	0.494000	0.448067	
451	0.314856	549	0.522769	9.280260	0	0.000000	0.429000	0.448035	
467	0.394004	533	0.485929	9.280260	0	0.000000	0.443000	0.448026	
427	0.428571	573	0.532286	9.280260	0	0.000000	0.488000	0.448093	
396	0.318182	604	0.557947	9.280260	0	0.000000	0.463000	0.448118	
419	0.264916	581	0.571429	9.280260	0	0.000000	0.443000	0.448110	
451	0.352550	549	0.544627	9.280260	0	0.000000	0.458000	0.448126	
436	0.350917	564	0.558511	9.280260	0	0.000000	0.468000	0.448160	
431	0.313225	569	0.520211	9.280260	0	0.000000	0.431000	0.448131	
439	0.451025	561	0.559715	9.280260	0	0.000000	0.512000	0.448237	
474	0.405063	526	0.532319	9.280260	0	0.000000	0.472000	0.448277	
451	0.343681	549	0.551913	9.280260	0	0.000000	0.458000	0.448293	
469	0.281450	531	0.512241	9.280260	0	0.000000	0.404000	0.448219	
433	0.256351	567	0.523810	9.280260	0	0.000000	0.408000	0.448153	
435	0.397701	565	0.516814	9.280260	0	0.000000	0.465000	0.448181	
399	0.431078	601	0.492512	9.280260	0	0.000000	0.468000	0.448213	
428	0.380841	572	0.541958	9.280260	0	0.000000	0.473000	0.448254	
414	0.045894	586	0.552901	9.280260	0	0.000000	0.343000	0.448081	
