Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/emeraldbender/Library/CloudStorage/OneDrive-MontanaStateUniversity/Desktop/disctrait_local/eubird_nest_dodo_indRJpredict/tree.nex
Data File Name:                  /Users/emeraldbender/Library/CloudStorage/OneDrive-MontanaStateUniversity/Desktop/disctrait_local/eubird_nest_dodo_indRJpredict/data.txt
Log File Name:                   eubird_nest_dodo_indRJprecict.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2736979711
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   3000
Iterations:                      2000000
Burn in:                         200000
MCMC ML Start:                   False
Schedule File:                   eubird_nest_dodo_indRJprecict.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      eubird_nest_dodo_indRJ.bin
Estimating values for taxa and Sites
	Raphus_cucullatus   
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1
     Taxa:                       420
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est Raphus_cucullatus - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
330000	-344.742881	1	75	0.007548	0.007548	0.007548	0.007548	1	0.329786	0.485257	0.074838	0.110119	
333000	-344.829809	1	150	0.007812	0.007812	0.007812	0.007812	1	0.323384	0.484788	0.076759	0.115070	
336000	-344.795372	1	224	0.008192	0.008192	0.008192	0.008192	0	0.314462	0.483695	0.079523	0.122320	
339000	-345.015815	1	323	0.006734	0.006734	0.006734	0.006734	1	0.350801	0.484964	0.068935	0.095299	
342000	-345.248443	1	85	0.006518	0.006518	0.006518	0.006518	1	0.356677	0.484386	0.067402	0.091535	
345000	-344.745358	1	324	0.006766	0.006766	0.006766	0.006766	0	0.349931	0.485030	0.069167	0.095871	
348000	-344.929275	1	117	0.006838	0.006838	0.006838	0.006838	1	0.347998	0.485164	0.069686	0.097153	
351000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
354000	-344.852135	1	509	0.006656	0.006656	0.006656	0.006656	0	0.352888	0.484782	0.068385	0.093944	
357000	-342.261416	1	195	0.004305	0.009144	0.004305	0.009144	1	0.109501	0.332086	0.138470	0.419943	
360000	-345.590658	1	12	0.006282	0.006282	0.006282	0.006282	1	0.363220	0.483494	0.065756	0.087530	
363000	-344.980936	1	454	0.008063	0.008063	0.008063	0.008063	1	0.317450	0.484120	0.078586	0.119845	
366000	-344.881779	1	304	0.006629	0.006629	0.006629	0.006629	0	0.353633	0.484711	0.068190	0.093466	
369000	-345.113378	1	382	0.006444	0.006444	0.006444	0.006444	0	0.358698	0.484138	0.066887	0.090278	
372000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
375000	-344.611442	1	467	0.007926	0.007926	0.007926	0.007926	0	0.320664	0.484507	0.077592	0.117237	
378000	-345.253939	1	184	0.008375	0.008375	0.008375	0.008375	1	0.310303	0.483016	0.080842	0.125839	
381000	-345.264086	1	562	0.008651	0.008651	0.008651	0.008651	0	0.304225	0.481819	0.082808	0.131148	
384000	-345.345023	1	98	0.008462	0.008462	0.008462	0.008462	1	0.308371	0.482662	0.081462	0.127505	
387000	-345.153008	1	30	0.006598	0.006598	0.006598	0.006598	1	0.354473	0.484628	0.067971	0.092928	
390000	-344.490938	1	575	0.007219	0.007219	0.007219	0.007219	0	0.338065	0.485474	0.072438	0.104023	
393000	-344.500646	1	231	0.007664	0.007664	0.007664	0.007664	0	0.326958	0.485081	0.075681	0.112281	
396000	-344.499647	1	522	0.007187	0.007187	0.007187	0.007187	0	0.338884	0.485472	0.072205	0.103439	
399000	-345.398394	1	441	0.008510	0.008510	0.008510	0.008510	1	0.307306	0.482457	0.081806	0.128431	
402000	-344.749711	1	115	0.007582	0.007582	0.007582	0.007582	1	0.328955	0.485211	0.075084	0.110750	
405000	-344.541015	1	591	0.007781	0.007781	0.007781	0.007781	0	0.324129	0.484854	0.076533	0.114483	
408000	-344.501864	1	558	0.007180	0.007180	0.007180	0.007180	0	0.339074	0.485471	0.072151	0.103303	
411000	-344.814345	1	82	0.007027	0.007027	0.007027	0.007027	1	0.343037	0.485398	0.071042	0.100524	
414000	-344.553594	1	504	0.007810	0.007810	0.007810	0.007810	0	0.323417	0.484789	0.076749	0.115044	
417000	-344.821997	1	268	0.008224	0.008224	0.008224	0.008224	0	0.313730	0.483583	0.079754	0.122933	
420000	-344.958992	1	583	0.008032	0.008032	0.008032	0.008032	1	0.318169	0.484213	0.078362	0.119257	
423000	-344.755267	1	522	0.007187	0.007187	0.007187	0.007187	1	0.338882	0.485474	0.072205	0.103439	
426000	-344.820265	1	311	0.007791	0.007791	0.007791	0.007791	1	0.323879	0.484834	0.076608	0.114679	
429000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
432000	-344.477168	1	302	0.007558	0.007558	0.007558	0.007558	0	0.329546	0.485243	0.074910	0.110301	
435000	-344.465904	1	488	0.007417	0.007417	0.007417	0.007417	0	0.333066	0.485395	0.073876	0.107663	
438000	-344.465978	1	226	0.007409	0.007409	0.007409	0.007409	0	0.333265	0.485401	0.073818	0.107516	
441000	-344.754119	1	520	0.007601	0.007601	0.007601	0.007601	1	0.328489	0.485183	0.075223	0.111105	
444000	-344.884015	1	385	0.006627	0.006627	0.006627	0.006627	0	0.353688	0.484706	0.068176	0.093431	
447000	-344.711596	1	105	0.008083	0.008083	0.008083	0.008083	0	0.316983	0.484055	0.078732	0.120229	
450000	-344.567127	1	403	0.007840	0.007840	0.007840	0.007840	0	0.322706	0.484721	0.076966	0.115606	
453000	-344.789420	1	370	0.007716	0.007716	0.007716	0.007716	1	0.325689	0.484987	0.076061	0.113263	
456000	-344.820265	1	311	0.007791	0.007791	0.007791	0.007791	1	0.323879	0.484834	0.076608	0.114679	
459000	-345.172927	1	120	0.008292	0.008292	0.008292	0.008292	1	0.312170	0.483336	0.080247	0.124247	
462000	-344.747209	1	336	0.008131	0.008131	0.008131	0.008131	0	0.315866	0.483900	0.079082	0.121152	
465000	-344.745147	1	236	0.007231	0.007231	0.007231	0.007231	1	0.337768	0.485475	0.072521	0.104235	
468000	-345.718532	1	381	0.006093	0.006093	0.006093	0.006093	0	0.368585	0.482570	0.064456	0.084389	
471000	-344.482208	1	434	0.007586	0.007586	0.007586	0.007586	0	0.328851	0.485203	0.075116	0.110830	
474000	-344.468440	1	306	0.007486	0.007486	0.007486	0.007486	0	0.331343	0.485330	0.074380	0.108947	
477000	-344.631680	1	175	0.007961	0.007961	0.007961	0.007961	0	0.319836	0.484413	0.077847	0.117904	
480000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
483000	-344.676405	1	583	0.008032	0.008032	0.008032	0.008032	0	0.318171	0.484210	0.078362	0.119256	
486000	-344.506114	1	189	0.007682	0.007682	0.007682	0.007682	0	0.326502	0.485048	0.075817	0.112633	
489000	-344.660960	1	346	0.008008	0.008008	0.008008	0.008008	0	0.318724	0.484280	0.078191	0.118806	
492000	-344.815810	1	67	0.007024	0.007024	0.007024	0.007024	1	0.343117	0.485395	0.071019	0.100469	
495000	-344.541264	1	585	0.007074	0.007074	0.007074	0.007074	0	0.341800	0.485430	0.071386	0.101383	
498000	-344.503469	1	414	0.007674	0.007674	0.007674	0.007674	0	0.326718	0.485063	0.075752	0.112466	
501000	-344.474500	1	328	0.007302	0.007302	0.007302	0.007302	0	0.335957	0.485460	0.073040	0.105543	
504000	-344.466168	1	125	0.007442	0.007442	0.007442	0.007442	0	0.332437	0.485373	0.074059	0.108130	
507000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
510000	-344.734146	1	222	0.007490	0.007490	0.007490	0.007490	1	0.331238	0.485327	0.074410	0.109025	
513000	-344.734146	1	222	0.007490	0.007490	0.007490	0.007490	1	0.331238	0.485327	0.074410	0.109025	
516000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
519000	-344.968719	1	480	0.006788	0.006788	0.006788	0.006788	1	0.349339	0.485074	0.069325	0.096261	
522000	-344.962210	1	495	0.006560	0.006560	0.006560	0.006560	0	0.355525	0.484515	0.067699	0.092261	
525000	-344.648831	1	352	0.006887	0.006887	0.006887	0.006887	0	0.346708	0.485239	0.070035	0.098018	
528000	-344.774716	1	414	0.007674	0.007674	0.007674	0.007674	1	0.326716	0.485065	0.075752	0.112467	
531000	-344.474500	1	328	0.007302	0.007302	0.007302	0.007302	0	0.335957	0.485460	0.073040	0.105543	
534000	-344.755012	1	360	0.007605	0.007605	0.007605	0.007605	1	0.328400	0.485178	0.075249	0.111173	
537000	-344.678756	1	203	0.008035	0.008035	0.008035	0.008035	0	0.318089	0.484200	0.078388	0.119323	
540000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
543000	-345.044646	1	168	0.006495	0.006495	0.006495	0.006495	0	0.357308	0.484311	0.067240	0.091141	
546000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
549000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
552000	-344.465904	1	488	0.007417	0.007417	0.007417	0.007417	0	0.333066	0.485395	0.073876	0.107663	
555000	-344.736889	1	183	0.007511	0.007511	0.007511	0.007511	1	0.330704	0.485303	0.074567	0.109426	
558000	-344.541685	1	427	0.007782	0.007782	0.007782	0.007782	0	0.324090	0.484851	0.076545	0.114514	
561000	-344.535061	1	424	0.007766	0.007766	0.007766	0.007766	0	0.324487	0.484886	0.076425	0.114203	
564000	-344.511310	1	108	0.007699	0.007699	0.007699	0.007699	0	0.326096	0.485017	0.075939	0.112947	
567000	-344.905000	1	246	0.006872	0.006872	0.006872	0.006872	1	0.347105	0.485217	0.069927	0.097751	
570000	-344.538698	1	379	0.007775	0.007775	0.007775	0.007775	0	0.324266	0.484867	0.076491	0.114376	
573000	-344.568881	1	259	0.007844	0.007844	0.007844	0.007844	0	0.322618	0.484713	0.076993	0.115677	
576000	-344.516992	1	238	0.007716	0.007716	0.007716	0.007716	0	0.325679	0.484985	0.076065	0.113272	
579000	-344.566873	1	243	0.007021	0.007021	0.007021	0.007021	0	0.343187	0.485392	0.071001	0.100421	
582000	-344.490981	1	146	0.007627	0.007627	0.007627	0.007627	0	0.327862	0.485142	0.075410	0.111586	
585000	-345.831191	1	395	0.009064	0.009064	0.009064	0.009064	0	0.295506	0.479701	0.085690	0.139103	
588000	-343.588147	1	225	0.004368	0.004368	0.004368	0.008424	0	0.240681	0.646485	0.030611	0.082223	
591000	-345.695757	1	70	0.006104	0.006104	0.006104	0.006104	0	0.368265	0.482630	0.064532	0.084573	
594000	-344.468774	1	222	0.007490	0.007490	0.007490	0.007490	0	0.331240	0.485326	0.074410	0.109024	
597000	-344.506982	1	419	0.007163	0.007163	0.007163	0.007163	0	0.339494	0.485468	0.072033	0.103005	
600000	-345.096577	1	102	0.006456	0.006456	0.006456	0.006456	0	0.358365	0.484180	0.066971	0.090483	
603000	-344.470394	1	91	0.007507	0.007507	0.007507	0.007507	0	0.330807	0.485306	0.074537	0.109349	
606000	-344.526649	1	28	0.007109	0.007109	0.007109	0.007109	0	0.340900	0.485449	0.071637	0.102013	
609000	-345.086615	1	291	0.006660	0.006660	0.006660	0.006660	1	0.352787	0.484792	0.068411	0.094009	
612000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
615000	-344.475631	1	75	0.007548	0.007548	0.007548	0.007548	0	0.329788	0.485256	0.074838	0.110118	
618000	-345.705328	1	597	0.006216	0.006216	0.006216	0.006216	1	0.365097	0.483190	0.065296	0.086416	
621000	-344.762361	1	314	0.007633	0.007633	0.007633	0.007633	1	0.327716	0.485134	0.075453	0.111697	
624000	-344.495053	1	26	0.007203	0.007203	0.007203	0.007203	0	0.338467	0.485474	0.072323	0.103736	
627000	-341.569445	1	380	0.002145	0.009545	0.009545	0.009545	1	0.060927	0.101593	0.313962	0.523518	
630000	-344.619878	1	425	0.007941	0.007941	0.007941	0.007941	0	0.320312	0.484468	0.077700	0.117520	
633000	-344.613213	1	162	0.006940	0.006940	0.006940	0.006940	0	0.345303	0.485309	0.070418	0.098970	
636000	-341.569445	1	380	0.002145	0.009545	0.009545	0.009545	1	0.060927	0.101593	0.313962	0.523518	
639000	-345.150467	1	107	0.008268	0.008268	0.008268	0.008268	1	0.312718	0.483425	0.080073	0.123783	
642000	-341.065275	1	193	0.002656	0.009259	0.009259	0.009259	1	0.087734	0.144013	0.290843	0.477411	
645000	-344.843657	1	403	0.007840	0.007840	0.007840	0.007840	1	0.322705	0.484723	0.076965	0.115607	
648000	-344.516629	1	286	0.007715	0.007715	0.007715	0.007715	0	0.325705	0.484987	0.076057	0.113252	
651000	-344.742926	1	313	0.007549	0.007549	0.007549	0.007549	1	0.329781	0.485257	0.074840	0.110123	
654000	-345.091833	1	570	0.008502	0.008502	0.008502	0.008502	0	0.307492	0.482490	0.081747	0.128271	
657000	-345.010263	1	469	0.006740	0.006740	0.006740	0.006740	1	0.350636	0.484977	0.068979	0.095408	
660000	-346.259549	1	594	0.009330	0.009330	0.009330	0.009330	0	0.290156	0.478167	0.087492	0.144184	
663000	-344.644340	1	233	0.007982	0.007982	0.007982	0.007982	0	0.319344	0.484355	0.077999	0.118302	
666000	-345.458534	1	178	0.006365	0.006365	0.006365	0.006365	1	0.360888	0.483842	0.066335	0.088935	
669000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
672000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
675000	-344.515000	1	131	0.007140	0.007140	0.007140	0.007140	0	0.340101	0.485461	0.071862	0.102576	
678000	-344.506255	1	326	0.007683	0.007683	0.007683	0.007683	0	0.326490	0.485047	0.075821	0.112642	
681000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
684000	-344.731438	1	282	0.007326	0.007326	0.007326	0.007326	1	0.335343	0.485452	0.073216	0.105989	
687000	-341.569445	1	380	0.002145	0.009545	0.009545	0.009545	1	0.060927	0.101593	0.313962	0.523518	
690000	-344.571774	1	398	0.007012	0.007012	0.007012	0.007012	0	0.343432	0.485384	0.070933	0.100252	
693000	-344.466151	1	35	0.007441	0.007441	0.007441	0.007441	0	0.332454	0.485374	0.074055	0.108118	
696000	-341.240613	1	380	0.002145	0.009545	0.009545	0.009545	0	0.060928	0.101592	0.313967	0.523513	
699000	-344.938255	1	332	0.006827	0.006827	0.006827	0.006827	1	0.348314	0.485144	0.069600	0.096942	
702000	-344.729299	1	96	0.007428	0.007428	0.007428	0.007428	1	0.332791	0.485387	0.073956	0.107867	
705000	-344.511452	1	371	0.007150	0.007150	0.007150	0.007150	0	0.339839	0.485465	0.071936	0.102761	
708000	-345.429153	1	396	0.006385	0.006385	0.006385	0.006385	1	0.360341	0.483918	0.066472	0.089269	
711000	-344.654344	1	57	0.007998	0.007998	0.007998	0.007998	0	0.318968	0.484310	0.078115	0.118608	
714000	-344.829270	1	576	0.007810	0.007810	0.007810	0.007810	1	0.323411	0.484791	0.076750	0.115048	
717000	-344.754907	1	532	0.007189	0.007189	0.007189	0.007189	1	0.338847	0.485474	0.072215	0.103464	
720000	-344.613676	1	444	0.007930	0.007930	0.007930	0.007930	0	0.320569	0.484497	0.077621	0.117313	
723000	-344.731404	1	14	0.007462	0.007462	0.007462	0.007462	1	0.331933	0.485356	0.074206	0.108505	
726000	-344.468975	1	45	0.007492	0.007492	0.007492	0.007492	0	0.331181	0.485323	0.074428	0.109069	
729000	-340.744959	1	193	0.002656	0.009259	0.009259	0.009259	0	0.087735	0.144011	0.290847	0.477407	
732000	-344.465895	1	511	0.007419	0.007419	0.007419	0.007419	0	0.332995	0.485392	0.073897	0.107716	
735000	-341.569445	1	380	0.002145	0.009545	0.009545	0.009545	1	0.060927	0.101593	0.313962	0.523518	
738000	-344.797193	1	341	0.007065	0.007065	0.007065	0.007065	1	0.342046	0.485426	0.071317	0.101211	
741000	-344.894518	1	42	0.007932	0.007932	0.007932	0.007932	1	0.320509	0.484492	0.077638	0.117360	
744000	-344.954714	1	254	0.008026	0.008026	0.008026	0.008026	1	0.318313	0.484231	0.078317	0.119139	
747000	-344.751808	1	275	0.007201	0.007201	0.007201	0.007201	1	0.338530	0.485475	0.072305	0.103690	
750000	-344.467106	1	351	0.007376	0.007376	0.007376	0.007376	0	0.334091	0.485424	0.073578	0.106907	
753000	-344.742058	1	394	0.007247	0.007247	0.007247	0.007247	1	0.337362	0.485474	0.072637	0.104527	
756000	-342.261416	1	195	0.004305	0.009144	0.004305	0.009144	1	0.109501	0.332086	0.138470	0.419943	
759000	-345.458534	1	178	0.006365	0.006365	0.006365	0.006365	1	0.360888	0.483842	0.066335	0.088935	
762000	-344.685014	1	117	0.006838	0.006838	0.006838	0.006838	0	0.347999	0.485163	0.069686	0.097152	
765000	-344.795073	1	285	0.007070	0.007070	0.007070	0.007070	1	0.341915	0.485429	0.071353	0.101303	
768000	-344.466927	1	14	0.007462	0.007462	0.007462	0.007462	0	0.331934	0.485354	0.074207	0.108505	
771000	-344.750674	1	434	0.007586	0.007586	0.007586	0.007586	1	0.328850	0.485205	0.075115	0.110830	
774000	-345.021671	1	23	0.008436	0.008436	0.008436	0.008436	0	0.308954	0.482768	0.081276	0.127001	
