Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1570777294
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         100000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
342000	-464.522022	1	688	0.675919	0.029302	0.675919	0.675919	0.675919	0.000000	0.675919	0.000000	1	0.255865	0.269573	0.192418	0.282144	0.966029	0.411255	0.787141	0.776697	0.754563	0.843493	0.126680	0.975172	
343000	-464.329410	1	353	0.683097	0.015543	0.683097	0.683097	0.683097	0.000000	0.683097	0.015543	1	0.258699	0.267443	0.199157	0.274702	0.733890	0.489416	0.991364	0.782198	0.164756	0.799944	0.113139	0.878360	
344000	-465.858673	1	825	0.579226	0.015510	0.579226	0.579226	0.000000	0.000000	0.579226	0.000000	1	0.288042	0.334535	0.000000	0.377423	0.256639	0.690496	0.996450	0.524656	0.373107	0.288807	0.250942	0.332423	
345000	-464.361458	1	824	0.655248	0.010903	0.655248	0.655248	0.655248	0.010903	0.655248	0.010903	1	0.258588	0.269124	0.193785	0.278503	0.996325	0.224659	0.637442	0.952262	0.349831	0.463337	0.301647	0.554438	
346000	-466.114569	1	545	0.581693	0.054692	0.581693	0.581693	0.581693	0.581693	0.581693	0.000000	0	0.245168	0.250126	0.249778	0.254929	0.378730	0.346227	0.402284	0.062847	0.744349	0.599531	0.169165	0.500603	
347000	-464.001598	1	877	0.582998	0.051837	0.582998	0.582998	0.582998	0.582998	0.582998	0.000000	1	0.244711	0.250105	0.249793	0.255391	0.926243	0.277693	0.621230	0.292291	0.547209	0.786539	0.379395	0.392388	
348000	-466.268952	1	899	0.784407	0.000000	0.784407	0.784407	0.027775	0.784407	0.784407	0.027775	1	0.248310	0.250789	0.247749	0.253152	0.567216	0.712718	0.970420	0.171622	0.024920	0.962662	0.641593	0.636263	
349000	-463.867959	1	757	0.599742	0.043243	0.599742	0.599742	0.599742	0.599742	0.599742	0.000000	1	0.245547	0.250028	0.250022	0.254403	0.015883	0.026188	0.124313	0.425220	0.621520	0.617304	0.562097	0.936905	
350000	-463.880357	1	612	0.674718	0.060915	0.674718	0.674718	0.674718	0.674718	0.674718	0.000000	1	0.247930	0.250003	0.249969	0.252098	0.663336	0.908561	0.370434	0.630813	0.593387	0.621681	0.802488	0.336276	
351000	-463.739530	1	15	0.648912	0.045935	0.648912	0.648912	0.648912	0.648912	0.648912	0.000000	1	0.247315	0.249995	0.250037	0.252652	0.922766	0.344856	0.180345	0.858626	0.036081	0.053366	0.127779	0.239194	
352000	-464.000332	1	849	0.591011	0.038740	0.591011	0.591011	0.591011	0.591011	0.591011	0.000000	1	0.245112	0.250013	0.250112	0.254763	0.335919	0.999378	0.646703	0.581522	0.740507	0.799322	0.205481	0.134390	
353000	-464.343763	1	569	0.560616	0.039503	0.560616	0.560616	0.560616	0.560616	0.560616	0.000000	1	0.243315	0.250096	0.249982	0.256607	0.426139	0.644944	0.353306	0.389764	0.445323	0.068737	0.107673	0.653316	
354000	-464.592408	1	285	0.616671	0.037288	0.616671	0.616671	0.616671	0.616671	0.616671	0.037288	1	0.241328	0.250099	0.249673	0.258901	0.163403	0.787842	0.061504	0.505120	0.609604	0.479422	0.496796	0.409487	
355000	-464.799943	1	91	0.581450	0.023658	0.581450	0.581450	0.581450	0.581450	0.581450	0.000000	1	0.244423	0.249780	0.250923	0.254874	0.840529	0.954438	0.540738	0.838533	0.748691	0.536698	0.127311	0.872123	
356000	-464.081708	1	192	0.636467	0.029938	0.636467	0.636467	0.636467	0.636467	0.636467	0.029938	1	0.242191	0.250042	0.249827	0.257939	0.386032	0.711745	0.049829	0.467329	0.405031	0.376681	0.564091	0.331465	
357000	-465.173928	1	256	0.783136	0.042810	0.783136	0.783136	0.783136	0.783136	0.783136	0.000000	1	0.249281	0.249991	0.250019	0.250708	0.763244	0.560000	0.798316	0.346229	0.535699	0.648990	0.475014	0.157527	
358000	-464.038705	1	349	0.579994	0.052367	0.579994	0.579994	0.579994	0.579994	0.579994	0.000000	1	0.244543	0.250116	0.249765	0.255576	0.268540	0.823439	0.063519	0.282677	0.302157	0.412371	0.171954	0.275439	
359000	-465.833858	1	859	0.593514	0.006853	0.593514	0.593514	0.000000	0.000000	0.593514	0.006853	1	0.314547	0.335322	0.000000	0.350131	0.986610	0.723287	0.291756	0.365603	0.302733	0.553816	0.163967	0.733986	
360000	-465.550493	1	225	0.691035	0.000000	0.691035	0.691035	0.033282	0.691035	0.691035	0.033282	1	0.250568	0.254319	0.237606	0.257507	0.987900	0.908507	0.737092	0.099399	0.490276	0.687576	0.329975	0.477115	
361000	-463.789866	1	905	0.608495	0.049830	0.608495	0.608495	0.608495	0.608495	0.608495	0.000000	1	0.245936	0.250041	0.249937	0.254085	0.897638	0.346477	0.656909	0.842716	0.023662	0.225389	0.350649	0.186228	
362000	-464.038705	1	349	0.579994	0.052367	0.579994	0.579994	0.579994	0.579994	0.579994	0.000000	1	0.244543	0.250116	0.249765	0.255576	0.430809	0.068871	0.973085	0.066106	0.788326	0.184945	0.159043	0.898124	
363000	-463.730018	1	321	0.627733	0.046562	0.627733	0.627733	0.627733	0.627733	0.627733	0.000000	1	0.246666	0.250009	0.250016	0.253309	0.719701	0.611201	0.489758	0.916614	0.172355	0.247682	0.594231	0.572952	
364000	-464.148444	1	653	0.682773	0.027791	0.682773	0.682773	0.682773	0.682773	0.682773	0.027791	1	0.244592	0.250007	0.249950	0.255450	0.931134	0.263289	0.150516	0.890163	0.488177	0.638117	0.180503	0.631069	
365000	-463.730018	1	321	0.627733	0.046562	0.627733	0.627733	0.627733	0.627733	0.627733	0.000000	1	0.246666	0.250009	0.250016	0.253309	0.701860	0.702932	0.971048	0.383829	0.670350	0.068864	0.618877	0.448205	
366000	-464.976510	1	101	0.690586	0.000000	0.690586	0.690586	0.690586	0.690586	0.690586	0.030159	1	0.241033	0.249981	0.250117	0.258868	0.134212	0.228637	0.467440	0.695674	0.447498	0.105070	0.356969	0.999817	
367000	-464.452902	1	690	0.603325	0.081457	0.603325	0.603325	0.603325	0.603325	0.603325	0.000000	1	0.245607	0.250099	0.249636	0.254658	0.251148	0.058671	0.147042	0.519143	0.601864	0.176179	0.904114	0.991542	
368000	-463.763746	1	558	0.613851	0.049323	0.613851	0.613851	0.613851	0.613851	0.613851	0.000000	1	0.246155	0.250032	0.249958	0.253855	0.073630	0.653054	0.774531	0.307469	0.527071	0.329802	0.001613	0.030555	
369000	-464.525954	1	325	0.721108	0.015239	0.721108	0.721108	0.000000	0.721108	0.721108	0.015239	1	0.251272	0.254792	0.236055	0.257881	0.232625	0.590810	0.050217	0.527696	0.459573	0.529791	0.428552	0.056297	
370000	-464.817149	1	124	0.649536	0.020370	0.649536	0.649536	0.649536	0.000000	0.649536	0.000000	1	0.257979	0.271132	0.187553	0.283336	0.441456	0.543369	0.808492	0.191569	0.958403	0.218701	0.125221	0.058915	
371000	-464.179352	1	184	0.602128	0.029484	0.602128	0.602128	0.602128	0.602128	0.602128	0.029484	1	0.239606	0.250095	0.249644	0.260656	0.098865	0.860084	0.661091	0.186767	0.005422	0.675732	0.993038	0.321179	
372000	-465.266599	1	301	0.785330	0.015302	0.785330	0.785330	0.785330	0.015302	0.785330	0.015302	1	0.254622	0.258184	0.226051	0.261143	0.202234	0.405319	0.466927	0.433791	0.772888	0.326082	0.859492	0.811786	
373000	-464.817149	1	124	0.649536	0.020370	0.649536	0.649536	0.649536	0.000000	0.649536	0.000000	1	0.257979	0.271132	0.187553	0.283336	0.546797	0.655161	0.375246	0.146799	0.171577	0.477605	0.526327	0.223718	
374000	-463.942923	1	923	0.657907	0.068278	0.657907	0.657907	0.657907	0.657907	0.657907	0.000000	1	0.247533	0.250016	0.249919	0.252532	0.116083	0.394111	0.034423	0.034147	0.808824	0.720177	0.337281	0.185816	
375000	-464.601727	1	224	0.693750	0.035851	0.693750	0.693750	0.693750	0.693750	0.693750	0.035851	1	0.245372	0.250016	0.249936	0.254676	0.732696	0.452917	0.280368	0.369558	0.198485	0.862367	0.585691	0.756526	
376000	-464.356185	1	546	0.660341	0.017507	0.660341	0.660341	0.660341	0.000000	0.660341	0.017507	1	0.259241	0.270045	0.191848	0.278866	0.811439	0.683887	0.354174	0.467522	0.210930	0.755807	0.735203	0.465125	
377000	-464.163948	1	496	0.607722	0.072967	0.607722	0.607722	0.607722	0.607722	0.607722	0.000000	1	0.245845	0.250083	0.249718	0.254354	0.114100	0.695260	0.902038	0.153618	0.299004	0.940419	0.811613	0.636409	
378000	-464.233652	1	289	0.675216	0.031335	0.675216	0.675216	0.675216	0.675216	0.675216	0.000000	1	0.247917	0.249953	0.250173	0.251957	0.854388	0.496855	0.480885	0.125404	0.706983	0.426723	0.873904	0.857952	
379000	-463.824182	1	71	0.665945	0.043342	0.665945	0.665945	0.665945	0.665945	0.665945	0.000000	1	0.247740	0.249985	0.250060	0.252215	0.577910	0.697444	0.679129	0.871659	0.484485	0.819660	0.017275	0.911703	
380000	-464.581798	1	44	0.622739	0.010068	0.622739	0.622739	0.000000	0.622739	0.622739	0.010068	1	0.250274	0.259299	0.222753	0.267675	0.558410	0.133449	0.796314	0.351298	0.784103	0.710958	0.850356	0.593214	
381000	-464.252607	1	398	0.563392	0.050949	0.563392	0.563392	0.563392	0.563392	0.563392	0.000000	1	0.243524	0.250174	0.249657	0.256645	0.650677	0.197701	0.577646	0.823692	0.885089	0.981087	0.687162	0.261087	
382000	-463.789866	1	905	0.608495	0.049830	0.608495	0.608495	0.608495	0.608495	0.608495	0.000000	1	0.245936	0.250041	0.249937	0.254085	0.486461	0.042831	0.667858	0.915312	0.907152	0.876211	0.780223	0.483641	
383000	-463.744453	1	983	0.622444	0.045867	0.622444	0.622444	0.622444	0.622444	0.622444	0.000000	1	0.246479	0.250012	0.250018	0.253491	0.594788	0.412493	0.593155	0.613540	0.802170	0.503726	0.834082	0.870203	
384000	-465.463831	1	601	0.613508	0.109170	0.613508	0.613508	0.613508	0.613508	0.613508	0.000000	1	0.245874	0.250076	0.249586	0.254464	0.960952	0.480777	0.308690	0.166309	0.846162	0.302163	0.043461	0.030203	
385000	-464.619222	1	609	0.591003	0.035113	0.591003	0.591003	0.591003	0.591003	0.591003	0.035113	1	0.239115	0.250158	0.249479	0.261248	0.629534	0.008052	0.543679	0.814732	0.323221	0.117270	0.154298	0.430912	
386000	-464.603544	1	83	0.645814	0.000000	0.645814	0.645814	0.645814	0.645814	0.645814	0.035918	1	0.237589	0.250004	0.250079	0.262328	0.084587	0.940100	0.313301	0.858916	0.927324	0.285953	0.313995	0.730068	
387000	-466.006500	1	196	0.607786	0.072958	0.607786	0.607786	0.607786	0.607786	0.607786	0.000000	0	0.246282	0.250091	0.249743	0.253884	0.814609	0.776590	0.183129	0.890991	0.013711	0.153616	0.408142	0.697661	
388000	-464.472711	1	755	0.671748	0.020999	0.671748	0.671748	0.020999	0.671748	0.671748	0.020999	1	0.251564	0.256503	0.231374	0.260560	0.845019	0.454923	0.899131	0.240190	0.708452	0.780675	0.508780	0.023915	
389000	-465.061977	1	227	0.531363	0.026109	0.531363	0.531363	0.531363	0.531363	0.531363	0.026109	1	0.231137	0.250395	0.248613	0.269855	0.177847	0.852511	0.145499	0.353033	0.023832	0.330998	0.242864	0.875755	
390000	-464.211614	1	286	0.602275	0.030136	0.602275	0.602275	0.602275	0.602275	0.602275	0.030136	1	0.239672	0.250098	0.249637	0.260593	0.892701	0.878368	0.021351	0.033427	0.959981	0.959903	0.132950	0.568395	
391000	-464.394982	1	776	0.563147	0.024479	0.563147	0.563147	0.563147	0.563147	0.563147	0.024479	1	0.235154	0.250167	0.249335	0.265344	0.437734	0.671575	0.654385	0.761009	0.509053	0.543106	0.925121	0.739174	
392000	-464.972571	1	401	0.593440	0.021608	0.593440	0.593440	0.593440	0.021608	0.593440	0.021608	1	0.257303	0.276436	0.174224	0.292037	0.991379	0.044206	0.194903	0.772871	0.958357	0.099810	0.107488	0.165332	
393000	-464.034061	1	517	0.675650	0.069872	0.675650	0.675650	0.675650	0.675650	0.675650	0.000000	1	0.247938	0.250007	0.249941	0.252114	0.293800	0.895585	0.454154	0.658007	0.967819	0.379412	0.117675	0.527430	
394000	-465.348506	1	747	0.577905	0.097403	0.577905	0.577905	0.577905	0.577905	0.577905	0.000000	1	0.244136	0.250187	0.249286	0.256392	0.328106	0.521511	0.075049	0.924750	0.908802	0.621485	0.948169	0.730203	
395000	-465.872021	1	247	0.770081	0.104642	0.770081	0.770081	0.770081	0.770081	0.770081	0.000000	1	0.249167	0.249994	0.249974	0.250866	0.327014	0.082140	0.657120	0.634340	0.424526	0.231163	0.875745	0.879992	
396000	-463.898747	1	556	0.613549	0.062815	0.613549	0.613549	0.613549	0.613549	0.613549	0.000000	1	0.246123	0.250061	0.249821	0.253994	0.726364	0.945950	0.513533	0.589942	0.995156	0.011750	0.903337	0.045307	
397000	-465.374074	1	952	0.787895	0.038375	0.787895	0.787895	0.787895	0.787895	0.787895	0.000000	1	0.249310	0.249990	0.250025	0.250675	0.929340	0.096773	0.088269	0.080283	0.531473	0.908870	0.191767	0.974112	
398000	-464.866121	1	769	0.664652	0.008072	0.664652	0.664652	0.008072	0.664652	0.664652	0.008072	1	0.249066	0.255498	0.233792	0.261645	0.858951	0.900918	0.495874	0.908240	0.704114	0.402849	0.569160	0.809920	
399000	-464.155923	1	42	0.715617	0.057248	0.715617	0.715617	0.715617	0.715617	0.715617	0.000000	1	0.248627	0.249994	0.250000	0.251379	0.205862	0.150086	0.783956	0.606545	0.656340	0.415567	0.744837	0.745454	
400000	-463.743881	1	920	0.627402	0.044633	0.627402	0.627402	0.627402	0.627402	0.627402	0.000000	1	0.246652	0.250004	0.250039	0.253305	0.408642	0.546297	0.881090	0.461774	0.827983	0.058737	0.436054	0.963769	
401000	-464.296838	1	913	0.663330	0.012504	0.663330	0.663330	0.012504	0.663330	0.663330	0.012504	1	0.250260	0.256338	0.231509	0.261893	0.433366	0.185512	0.826437	0.081300	0.444323	0.816991	0.723578	0.005045	
402000	-463.923229	1	953	0.591410	0.044128	0.591410	0.591410	0.591410	0.591410	0.591410	0.000000	1	0.245148	0.250048	0.249981	0.254823	0.479806	0.633188	0.353036	0.012716	0.679874	0.354629	0.808522	0.043518	
403000	-464.212258	1	961	0.613013	0.031294	0.613013	0.613013	0.613013	0.613013	0.613013	0.031294	1	0.240629	0.250082	0.249698	0.259591	0.477735	0.408904	0.368632	0.025398	0.203471	0.838529	0.930941	0.333872	
404000	-463.892745	1	78	0.686228	0.054079	0.686228	0.686228	0.686228	0.686228	0.686228	0.000000	1	0.248160	0.249996	0.250002	0.251842	0.123761	0.587444	0.387997	0.746730	0.695588	0.975224	0.998996	0.947201	
405000	-463.920347	1	67	0.590030	0.047762	0.590030	0.590030	0.590030	0.590030	0.590030	0.000000	1	0.245083	0.250069	0.249904	0.254945	0.660602	0.563693	0.370372	0.803473	0.910417	0.909318	0.140016	0.695149	
406000	-464.976783	1	861	0.595018	0.035385	0.595018	0.595018	0.595018	0.000000	0.595018	0.000000	1	0.251771	0.281547	0.157061	0.309621	0.385392	0.384511	0.526183	0.920343	0.228823	0.070974	0.858024	0.855289	
407000	-463.801542	1	790	0.632695	0.060696	0.632695	0.632695	0.632695	0.632695	0.632695	0.000000	1	0.246822	0.250031	0.249902	0.253245	0.850469	0.719233	0.857723	0.778057	0.099485	0.525917	0.897931	0.633783	
408000	-466.222936	1	665	0.681111	0.047485	0.681111	0.681111	0.681111	0.681111	0.681111	0.000000	0	0.248360	0.249992	0.250044	0.251605	0.743408	0.757165	0.008895	0.742077	0.839931	0.696737	0.829417	0.496512	
409000	-464.541505	1	974	0.651479	0.089778	0.651479	0.651479	0.651479	0.651479	0.651479	0.000000	1	0.247301	0.250026	0.249835	0.252837	0.567534	0.782053	0.802347	0.204920	0.036760	0.529080	0.272868	0.469180	
410000	-465.244507	1	711	0.647600	0.018082	0.647600	0.647600	0.647600	0.647600	0.647600	0.000000	1	0.247118	0.249788	0.250729	0.252366	0.124644	0.709896	0.597551	0.373688	0.533017	0.361549	0.881578	0.925423	
411000	-464.215604	1	177	0.596463	0.030875	0.596463	0.596463	0.596463	0.596463	0.596463	0.000000	1	0.245329	0.249930	0.250381	0.254360	0.467770	0.951597	0.917098	0.853386	0.877612	0.873454	0.779723	0.618813	
412000	-465.005822	1	231	0.666826	0.020684	0.666826	0.666826	0.666826	0.666826	0.666826	0.000000	1	0.247667	0.249871	0.250447	0.252015	0.482921	0.815879	0.543584	0.956022	0.768175	0.302739	0.942882	0.207659	
413000	-465.540144	1	80	0.809713	0.064755	0.809713	0.809713	0.809713	0.809713	0.809713	0.000000	1	0.249444	0.249995	0.249999	0.250562	0.714779	0.815703	0.377009	0.060053	0.918467	0.192257	0.905700	0.263735	
414000	-465.458907	1	793	0.638011	0.112224	0.638011	0.638011	0.638011	0.638011	0.638011	0.000000	1	0.246787	0.250037	0.249726	0.253451	0.778312	0.158277	0.048289	0.388026	0.971462	0.163817	0.274857	0.094861	
415000	-464.829955	1	47	0.656711	0.097724	0.656711	0.656711	0.656711	0.656711	0.656711	0.000000	1	0.247414	0.250021	0.249832	0.252733	0.754988	0.112114	0.789501	0.601807	0.065104	0.003728	0.597369	0.867488	
416000	-465.011992	1	926	0.762845	0.013398	0.762845	0.762845	0.762845	0.000000	0.762845	0.013398	1	0.256068	0.260383	0.219539	0.264011	0.165469	0.810917	0.234473	0.553903	0.857923	0.056264	0.589584	0.150506	
417000	-467.982457	1	101	0.690586	0.000000	0.690586	0.690586	0.690586	0.690586	0.690586	0.030159	0	0.240820	0.249975	0.250131	0.259073	0.725799	0.460691	0.500901	0.398425	0.611673	0.425129	0.003870	0.659873	
418000	-465.056212	1	272	0.710289	0.000000	0.710289	0.710289	0.710289	0.710289	0.710289	0.045862	1	0.242851	0.250034	0.250045	0.257069	0.013038	0.954095	0.719715	0.555387	0.787527	0.294951	0.758769	0.673982	
419000	-463.923229	1	953	0.591410	0.044128	0.591410	0.591410	0.591410	0.591410	0.591410	0.000000	1	0.245148	0.250048	0.249981	0.254823	0.580536	0.928854	0.960698	0.412506	0.998520	0.717053	0.308330	0.851439	
420000	-464.609989	1	32	0.642878	0.000000	0.642878	0.642878	0.642878	0.642878	0.642878	0.042273	1	0.237669	0.250046	0.250023	0.262261	0.988087	0.171942	0.247400	0.128389	0.516117	0.632950	0.548728	0.023353	
421000	-464.356185	1	546	0.660341	0.017507	0.660341	0.660341	0.660341	0.000000	0.660341	0.017507	1	0.259241	0.270045	0.191848	0.278866	0.328492	0.270714	0.958901	0.977281	0.372783	0.523334	0.733155	0.679514	
422000	-463.789812	1	127	0.661760	0.057410	0.661760	0.661760	0.661760	0.661760	0.661760	0.000000	1	0.247643	0.250006	0.249971	0.252380	0.199001	0.060432	0.139120	0.538067	0.196987	0.489249	0.878652	0.584295	
423000	-463.950454	1	638	0.587056	0.046406	0.587056	0.587056	0.587056	0.587056	0.587056	0.000000	1	0.244928	0.250069	0.249917	0.255085	0.736872	0.001465	0.034858	0.779016	0.223321	0.989504	0.283494	0.580275	
424000	-465.019357	1	673	0.603133	0.020816	0.603133	0.603133	0.603133	0.020816	0.603133	0.000000	1	0.256132	0.274594	0.177301	0.291973	0.763872	0.164031	0.786961	0.119497	0.719100	0.901178	0.551917	0.487613	
425000	-464.563713	1	577	0.556248	0.016198	0.556248	0.556248	0.556248	0.556248	0.556248	0.016198	1	0.233167	0.250000	0.249717	0.267117	0.346786	0.719572	0.312411	0.626883	0.047759	0.273312	0.418056	0.323509	
426000	-464.027395	1	927	0.606510	0.026493	0.606510	0.606510	0.606510	0.606510	0.606510	0.026493	1	0.239728	0.250066	0.249719	0.260487	0.564874	0.322751	0.981066	0.577835	0.703344	0.624660	0.979273	0.392630	
427000	-464.179177	1	317	0.718123	0.056834	0.718123	0.718123	0.718123	0.718123	0.718123	0.000000	1	0.248660	0.249993	0.250002	0.251345	0.081186	0.255838	0.107669	0.628684	0.314738	0.164130	0.726457	0.527071	
428000	-464.446338	1	491	0.662209	0.019815	0.662209	0.662209	0.000000	0.662209	0.662209	0.019815	1	0.252810	0.258313	0.226123	0.262754	0.922222	0.658147	0.007541	0.106552	0.137555	0.893925	0.855924	0.946231	
429000	-463.834577	1	633	0.602608	0.045058	0.602608	0.602608	0.602608	0.602608	0.602608	0.000000	1	0.245679	0.250033	0.249994	0.254294	0.780546	0.153538	0.575962	0.596171	0.346842	0.235570	0.676640	0.503562	
430000	-463.812460	1	938	0.630587	0.061187	0.630587	0.630587	0.630587	0.630587	0.630587	0.000000	1	0.246751	0.250034	0.249893	0.253322	0.906066	0.115646	0.667494	0.974273	0.199721	0.661418	0.592436	0.546515	
431000	-463.766790	1	897	0.645193	0.042730	0.645193	0.645193	0.645193	0.645193	0.645193	0.000000	1	0.247208	0.249989	0.250069	0.252735	0.843925	0.121191	0.305194	0.574046	0.864464	0.886514	0.220948	0.194055	
432000	-464.058577	1	499	0.577079	0.049601	0.577079	0.577079	0.577079	0.577079	0.577079	0.000000	1	0.244379	0.250114	0.249797	0.255711	0.446469	0.223704	0.958613	0.456889	0.359633	0.238033	0.617728	0.530079	
433000	-464.601727	1	224	0.693750	0.035851	0.693750	0.693750	0.693750	0.693750	0.693750	0.035851	1	0.245372	0.250016	0.249936	0.254676	0.816981	0.228392	0.878632	0.010021	0.325970	0.527924	0.360516	0.201952	
434000	-465.569044	1	97	0.667332	0.013457	0.667332	0.667332	0.667332	0.000000	0.667332	0.000000	1	0.258919	0.267641	0.197664	0.275775	0.545022	0.882219	0.546629	0.488456	0.487908	0.208998	0.520328	0.297128	
435000	-463.892745	1	78	0.686228	0.054079	0.686228	0.686228	0.686228	0.686228	0.686228	0.000000	1	0.248160	0.249996	0.250002	0.251842	0.382004	0.866476	0.418352	0.873544	0.706306	0.385873	0.498310	0.368807	
436000	-466.525744	1	779	0.545398	0.007138	0.545398	0.545398	0.007138	0.000000	0.545398	0.007138	1	0.305855	0.335560	0.000053	0.358531	0.855177	0.200867	0.660490	0.344601	0.618261	0.525275	0.329038	0.565473	
437000	-464.090584	1	990	0.636773	0.074756	0.636773	0.636773	0.636773	0.636773	0.636773	0.000000	1	0.246917	0.250038	0.249839	0.253207	0.358230	0.676960	0.310723	0.945163	0.263989	0.420019	0.064059	0.469108	
438000	-464.260082	1	341	0.643528	0.014381	0.643528	0.643528	0.643528	0.000000	0.643528	0.014381	1	0.259702	0.271847	0.186263	0.282188	0.060852	0.388201	0.266973	0.084045	0.417048	0.549556	0.170193	0.373605	
439000	-464.027395	1	927	0.606510	0.026493	0.606510	0.606510	0.606510	0.606510	0.606510	0.026493	1	0.239728	0.250066	0.249719	0.260487	0.995321	0.073859	0.068337	0.097661	0.164779	0.780302	0.811436	0.544127	
440000	-464.030677	1	962	0.591128	0.037327	0.591128	0.591128	0.591128	0.591128	0.591128	0.000000	1	0.245111	0.250001	0.250153	0.254734	0.546671	0.138420	0.745504	0.243914	0.901516	0.395406	0.568832	0.425422	
441000	-463.810764	1	764	0.661988	0.043053	0.661988	0.661988	0.661988	0.661988	0.661988	0.000000	1	0.247647	0.249985	0.250063	0.252305	0.802536	0.416681	0.858191	0.752984	0.389096	0.994885	0.381456	0.619417	
442000	-465.572791	1	328	0.663830	0.026607	0.663830	0.663830	0.000000	0.000000	0.663830	0.000000	1	0.285695	0.335309	0.000000	0.378996	0.059446	0.704656	0.154578	0.900158	0.020510	0.236284	0.812556	0.542985	
443000	-463.865703	1	885	0.682804	0.051523	0.682804	0.682804	0.682804	0.682804	0.682804	0.000000	1	0.248096	0.249994	0.250012	0.251898	0.219357	0.479533	0.876310	0.674428	0.207059	0.487867	0.615365	0.102622	
444000	-464.507644	1	329	0.658059	0.026666	0.658059	0.658059	0.658059	0.026666	0.658059	0.000000	1	0.254691	0.268225	0.196312	0.280773	0.495812	0.922627	0.884235	0.703107	0.075207	0.277388	0.161326	0.620370	
445000	-464.525708	1	201	0.595364	0.012261	0.595364	0.595364	0.595364	0.595364	0.595364	0.012261	1	0.237273	0.249833	0.250310	0.262584	0.425756	0.391208	0.090124	0.674301	0.483185	0.618129	0.364117	0.677836	
446000	-464.732889	1	833	0.614372	0.020436	0.614372	0.614372	0.614372	0.000000	0.614372	0.020436	1	0.259686	0.276033	0.175112	0.289170	0.114684	0.090582	0.943345	0.642343	0.191334	0.538769	0.363348	0.172651	
447000	-463.865703	1	885	0.682804	0.051523	0.682804	0.682804	0.682804	0.682804	0.682804	0.000000	1	0.248096	0.249994	0.250012	0.251898	0.886959	0.224009	0.324280	0.453037	0.215884	0.441998	0.378515	0.724377	
448000	-465.677886	1	248	0.726188	0.023735	0.726188	0.726188	0.023735	0.023735	0.726188	0.000000	1	0.300441	0.334277	0.002609	0.362674	0.388373	0.190663	0.851413	0.522635	0.200002	0.989141	0.481966	0.450346	
449000	-464.462407	1	906	0.698167	0.018596	0.698167	0.698167	0.000000	0.698167	0.698167	0.018596	1	0.252145	0.256229	0.232016	0.259610	0.174907	0.928655	0.531626	0.556455	0.091462	0.872114	0.738798	0.445503	
450000	-467.207945	1	331	0.646168	0.049020	0.646168	0.646168	0.646168	0.000000	0.646168	0.000000	0	0.250753	0.276440	0.172701	0.300106	0.032896	0.987650	0.643531	0.313539	0.074100	0.466476	0.449617	0.627229	
451000	-464.713153	1	318	0.551904	0.027899	0.551904	0.551904	0.551904	0.551904	0.551904	0.027899	1	0.234199	0.250273	0.249039	0.266489	0.543050	0.887242	0.201297	0.419290	0.307806	0.488113	0.289535	0.299088	
452000	-463.923229	1	953	0.591410	0.044128	0.591410	0.591410	0.591410	0.591410	0.591410	0.000000	1	0.245148	0.250048	0.249981	0.254823	0.070861	0.848347	0.836628	0.546806	0.476714	0.493478	0.522277	0.871407	
453000	-464.343763	1	569	0.560616	0.039503	0.560616	0.560616	0.560616	0.560616	0.560616	0.000000	1	0.243315	0.250096	0.249982	0.256607	0.736946	0.838146	0.953473	0.888315	0.229454	0.595063	0.199497	0.710553	
454000	-464.612857	1	235	0.684029	0.025360	0.684029	0.684029	0.684029	0.000000	0.684029	0.000000	1	0.256508	0.268009	0.196922	0.278562	0.128014	0.756995	0.156543	0.576459	0.566654	0.393309	0.851886	0.482461	
