Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
131000	-461.286318	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.055086	0.638273	0.638273	0.638273	0.638273	0.638273	0.000000	0.638273	0.247190	0.249956	0.250023	0.252832	0.632833	
132000	-461.885783	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.055596	0.724049	0.724049	0.724049	0.724049	0.724049	0.000000	0.724049	0.248840	0.250006	0.249994	0.251159	0.973003	
133000	-464.199794	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.135491	0.628249	0.628249	0.628249	0.628249	0.628249	0.000000	0.628249	0.246431	0.249621	0.250045	0.253902	0.919565	
134000	-461.691251	1	2	0	'1 0 0 0 0 0 1 0 	D	0.015007	0.642623	0.642623	0.642623	0.642623	0.642623	0.015007	0.642623	0.241811	0.250106	0.249940	0.258143	1.308383	
135000	-466.928832	1	2	1	'Z 0 0 0 0 0 1 0 	D	0.000000	0.675420	0.675420	0.675420	0.675420	0.675420	0.134734	0.675420	0.244010	0.249995	0.250193	0.255802	3.559727	
136000	-461.569249	1	2	0	'1 0 0 0 0 0 1 0 	D	0.020589	0.669600	0.669600	0.669600	0.669600	0.669600	0.020589	0.669600	0.243768	0.249995	0.249988	0.256248	2.242377	
137000	-463.410121	1	2	0	'1 0 0 0 0 0 1 0 	D	0.007551	0.552479	0.552479	0.552479	0.552479	0.552479	0.007551	0.552479	0.231210	0.252030	0.249190	0.267570	0.462220	
138000	-467.028235	1	2	1	'Z 0 0 0 0 0 1 0 	D	0.000000	0.440285	0.440285	0.440285	0.440285	0.440285	0.052473	0.440285	0.202034	0.242433	0.252756	0.302776	1.129833	
139000	-461.606748	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.041080	0.688506	0.688506	0.688506	0.688506	0.688506	0.000000	0.688506	0.248336	0.250068	0.249983	0.251613	0.846248	
140000	-462.955820	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.069009	0.788713	0.788713	0.788713	0.788713	0.788713	0.000000	0.788713	0.249384	0.249996	0.249996	0.250624	0.851093	
141000	-463.553042	1	2	1	'1 0 0 1 0 0 Z 0 	D	0.068224	0.742825	0.742825	0.068224	0.742825	0.742825	0.000000	0.742825	0.248665	0.216993	0.261395	0.272947	1.350263	
142000	-466.251937	1	2	2	'Z 0 Z 1 0 0 1 0 	D	0.000000	0.841018	0.000000	0.020826	0.841018	0.841018	0.020826	0.841018	0.347397	0.000499	0.334911	0.317193	1.182596	
143000	-465.723125	1	2	2	'1 0 1 Z 0 0 Z 0 	D	0.050069	0.732400	0.050069	0.000000	0.732400	0.732400	0.000000	0.732400	0.272877	0.002121	0.335450	0.389552	4.534298	
144000	-462.972242	1	2	2	'1 0 Z 1 0 0 Z 0 	D	0.021295	0.607047	0.000000	0.021295	0.607047	0.607047	0.000000	0.607047	0.284836	0.000694	0.334601	0.379869	0.890510	
145000	-464.380514	1	2	0	'1 0 0 1 0 0 1 0 	D	0.027707	0.528376	0.528376	0.027707	0.528376	0.528376	0.027707	0.528376	0.252809	0.148771	0.286027	0.312393	1.533877	
146000	-464.098689	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.127992	0.733930	0.733930	0.733930	0.733930	0.733930	0.000000	0.733930	0.248841	0.249940	0.249994	0.251226	1.757285	
147000	-461.370730	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.046272	0.595546	0.595546	0.595546	0.595546	0.595546	0.000000	0.595546	0.245601	0.249957	0.250057	0.254385	1.297157	
148000	-462.387702	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.094690	0.615380	0.615380	0.615380	0.615380	0.615380	0.000000	0.615380	0.246232	0.249658	0.250081	0.254029	0.993363	
149000	-462.518405	1	2	1	'1 0 0 Z 0 0 1 0 	D	0.007491	0.603685	0.603685	0.000000	0.603685	0.603685	0.007491	0.603685	0.260611	0.172167	0.276311	0.290911	0.486202	
150000	-464.402500	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.123328	0.559166	0.559166	0.559166	0.559166	0.559166	0.000000	0.559166	0.242744	0.248822	0.250283	0.258152	0.376703	
151000	-461.715804	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.029446	0.611626	0.611626	0.611626	0.611626	0.611626	0.000000	0.611626	0.246233	0.250397	0.249918	0.253452	1.175675	
152000	-465.865836	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.159273	0.769066	0.769066	0.769066	0.769066	0.769066	0.000000	0.769066	0.249144	0.249956	0.249989	0.250912	3.521845	
153000	-463.061414	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.039543	0.788993	0.788993	0.788993	0.788993	0.788993	0.000000	0.788993	0.249387	0.250023	0.249991	0.250598	1.814883	
154000	-461.697854	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.072621	0.675431	0.675431	0.675431	0.675431	0.675431	0.000000	0.675431	0.248063	0.249936	0.250011	0.251990	1.693349	
155000	-464.376152	1	2	1	'1 0 0 1 0 0 Z 0 	D	0.085750	0.638085	0.638085	0.085750	0.638085	0.638085	0.000000	0.638085	0.239094	0.189160	0.270866	0.300880	0.410597	
156000	-463.910720	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.054717	0.843533	0.843533	0.843533	0.843533	0.843533	0.000000	0.843533	0.249635	0.250003	0.249996	0.250365	0.283965	
157000	-461.937085	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.050990	0.728376	0.728376	0.728376	0.728376	0.728376	0.000000	0.728376	0.248891	0.250017	0.249992	0.251100	1.533986	
158000	-461.395395	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.051221	0.672403	0.672403	0.672403	0.672403	0.672403	0.000000	0.672403	0.248036	0.250012	0.249999	0.251954	0.691334	
159000	-461.864145	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.081971	0.646437	0.646437	0.646437	0.646437	0.646437	0.000000	0.646437	0.247343	0.249846	0.250034	0.252777	1.022600	
160000	-462.238235	1	2	2	'1 0 0 Z 0 0 Z 0 	D	0.040899	0.665438	0.665438	0.000000	0.665438	0.665438	0.000000	0.665438	0.253445	0.183786	0.272613	0.290156	1.510729	
161000	-461.519281	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.036849	0.591911	0.591911	0.591911	0.591911	0.591911	0.000000	0.591911	0.245409	0.250173	0.250003	0.254414	0.432292	
162000	-461.446360	1	2	1	'1 0 0 0 0 0 Z 0 	D	0.047774	0.678738	0.678738	0.678738	0.678738	0.678738	0.000000	0.678738	0.248162	0.250031	0.249993	0.251814	1.981628	
163000	-463.132713	1	2	3	'0 1 Z Z 1 1 Z 1 	D	0.023319	0.696537	0.000000	0.000000	0.696537	0.696537	0.000000	0.696537	0.295748	0.000000	0.335258	0.368994	0.501296	
164000	-464.394423	1	2	3	'0 1 Z Z 1 1 Z 1 	D	0.011938	0.535420	0.000000	0.000000	0.535420	0.535420	0.000000	0.535420	0.285884	0.000000	0.334249	0.379867	0.780625	
165000	-463.392284	1	2	3	'0 1 Z Z 1 1 Z 1 	D	0.026940	0.588451	0.000000	0.000000	0.588451	0.588451	0.000000	0.588451	0.269012	0.000000	0.334751	0.396237	1.676298	
